phase B: NB=2162160 |mods|=131 mass=1.7945
phase B: 2380 restarts best_left=0.02748 (1431.3s)
phase B: 2400 restarts best_left=0.02748 (1441.0s)
phase B: 2420 restarts best_left=0.02748 (1449.2s)
phase B: 2440 restarts best_left=0.02748 (1457.6s)
phase B: 2460 restarts best_left=0.02748 (1468.1s)
phase B: 2480 restarts best_left=0.02748 (1480.0s)
phase B: 2500 restarts best_left=0.02748 (1490.3s)
phase B: 2520 restarts best_left=0.02748 (1503.6s)
phase B: 2540 restarts best_left=0.02748 (1519.0s)
phase B: 2560 restarts best_left=0.02748 (1532.3s)
phase B: 2580 restarts best_left=0.02748 (1544.5s)
phase B: 2600 restarts best_left=0.02748 (1554.7s)
phase B: 2620 restarts best_left=0.02748 (1565.1s)
phase B: 2640 restarts best_left=0.02748 (1573.5s)
phase B: 2660 restarts best_left=0.02748 (1582.5s)
phase B: 2680 restarts best_left=0.02748 (1593.8s)
phase B: 2700 restarts best_left=0.02748 (1606.8s)
phase B: 2720 restarts best_left=0.02748 (1615.7s)
phase B: 2740 restarts best_left=0.02748 (1625.9s)
phase B: 2760 restarts best_left=0.02748 (1638.8s)
phase B: 2780 restarts best_left=0.02748 (1650.2s)
phase B: 2800 restarts best_left=0.02748 (1663.0s)
phase B: 2820 restarts best_left=0.02748 (1675.1s)
phase B: 2840 restarts best_left=0.02748 (1685.2s)
phase B: 2860 restarts best_left=0.02748 (1697.7s)
phase B: 2880 restarts best_left=0.02748 (1711.4s)
phase B: 2900 restarts best_left=0.02748 (1722.7s)
phase B: 2920 restarts best_left=0.02748 (1733.3s)
phase B: 2940 restarts best_left=0.02748 (1747.0s)
phase B: 2960 restarts best_left=0.02748 (1758.8s)
phase B: 2980 restarts best_left=0.02748 (1768.9s)
phase B: 3000 restarts best_left=0.02748 (1778.1s)
phase B: 3020 restarts best_left=0.02748 (1790.1s)
phase B: 3040 restarts best_left=0.02748 (1799.3s)
phase B: 3060 restarts best_left=0.02748 (1807.5s)
phase B: 3080 restarts best_left=0.02748 (1817.3s)
