rotation	id	translation	layers	rA	rB	vertices	edges	cross_edges	status	seconds
w[165]~	w_165~_81a458d0e0c7	((Fraction(-289, 249), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(14, 83), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(-161, 498), Fraction(0, 1), Fraction(0, 1), Fraction(163, 498), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	33	SAT	0.756
w[165]	w_165_cacfd5cc2cfc	((Fraction(-409, 249), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(82, 249), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(-169, 249), Fraction(0, 1), Fraction(0, 1), Fraction(85, 249), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	33	SAT	0.953
w[165]~	w_165~_225d5af86331	((Fraction(-349, 332), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(1, 12), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(195, 332), Fraction(0, 1), Fraction(0, 1), Fraction(-29, 332), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	33	SAT	0.687
w[165]	w_165_b96e26df66a6	((Fraction(503, 498), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 166), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(-40, 249), Fraction(0, 1), Fraction(0, 1), Fraction(14, 83), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	32	SAT	0.735
w[165]~	w_165~_6757c0630c8f	((Fraction(-271, 996), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-27, 332), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(-355, 332), Fraction(0, 1), Fraction(0, 1), Fraction(251, 996), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	33	SAT	0.651
w[165]^2	w_165^2_22d5e67a2e87	((Fraction(34757, 27556), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-7873, 82668), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(-19675, 27556), Fraction(0, 1), Fraction(0, 1), Fraction(20331, 27556), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	32	SAT	0.670
w[165]	w_165_ea9663122c1b	((Fraction(-157, 249), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(27, 166), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(-164, 249), Fraction(0, 1), Fraction(0, 1), Fraction(1, 6), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	32	SAT	0.724
w[165]~	w_165~_371affefe07f	((Fraction(-14, 83), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(41, 249), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 498), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 498), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	33	SAT	0.657
w[165]^2	w_165^2_762ea2cee655	((Fraction(-132175, 82668), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(7549, 82668), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(46235, 82668), Fraction(0, 1), Fraction(0, 1), Fraction(-6885, 27556), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	31	SAT	0.709
w[165]^2	w_165^2_b7b5cb3fc2e5	((Fraction(-47221, 41334), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(6559, 41334), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(-7216, 20667), Fraction(0, 1), Fraction(0, 1), Fraction(6886, 20667), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	31	SAT	0.818
w[165]^2	w_165^2_4ad87ee4baf7	((Fraction(116105, 82668), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-6777, 27556), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(7873, 82668), Fraction(0, 1), Fraction(0, 1), Fraction(-7873, 82668), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)))	3	1.6	1.6	2881	8622	31	SAT	0.782
t28^2	t28^2_168bf7b74b20	((Fraction(-4933, 9408), Fraction(0, 1), Fraction(0, 1), Fraction(673, 9408), Fraction(55, 3136), Fraction(0, 1), Fraction(0, 1), Fraction(-55, 9408)), (Fraction(0, 1), Fraction(895, 9408), Fraction(-895, 9408), Fraction(0, 1), Fraction(0, 1), Fraction(-275, 9408), Fraction(55, 3136), Fraction(0, 1)))	3	1.6	1.6	2881	17244	65	SAT	1.649
t28^2	t28^2_f53e8f642a4e	((Fraction(12995, 9408), Fraction(0, 1), Fraction(0, 1), Fraction(-747, 3136), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 12), Fraction(-1, 12), Fraction(0, 1), Fraction(0, 1), Fraction(55, 3136), Fraction(-55, 3136), Fraction(0, 1)))	3	1.6	1.6	2881	17244	62	SAT	2.092
t28^2	t28^2_a36ca42baa00	((Fraction(-3025, 18816), Fraction(0, 1), Fraction(0, 1), Fraction(3025, 18816), Fraction(55, 6272), Fraction(0, 1), Fraction(0, 1), Fraction(55, 18816)), (Fraction(0, 1), Fraction(37, 6272), Fraction(37, 6272), Fraction(0, 1), Fraction(0, 1), Fraction(-55, 18816), Fraction(55, 6272), Fraction(0, 1)))	3	1.6	1.6	2881	17244	60	SAT	1.677
t28^2	t28^2_9065f2c66d2e	((Fraction(-20953, 18816), Fraction(0, 1), Fraction(0, 1), Fraction(3025, 18816), Fraction(55, 6272), Fraction(0, 1), Fraction(0, 1), Fraction(-55, 6272)), (Fraction(0, 1), Fraction(-6161, 18816), Fraction(5939, 18816), Fraction(0, 1), Fraction(0, 1), Fraction(-165, 6272), Fraction(55, 6272), Fraction(0, 1)))	3	1.6	1.6	2881	17244	56	SAT	2.114
w[15]	w_15_a3604dc5f7e1	((Fraction(-5, 32), Fraction(0, 1), Fraction(1, 32), Fraction(0, 1), Fraction(0, 1), Fraction(5, 32), Fraction(0, 1), Fraction(1, 96)), (Fraction(0, 1), Fraction(1, 96), Fraction(0, 1), Fraction(-1, 96), Fraction(1, 96), Fraction(0, 1), Fraction(1, 32), Fraction(0, 1)))	3	1.6	1.6	2881	17250	66	SAT	1.550
w[15]~	w_15~_f75f3edacf69	((Fraction(-5, 32), Fraction(0, 1), Fraction(-1, 32), Fraction(0, 1), Fraction(0, 1), Fraction(5, 32), Fraction(0, 1), Fraction(-1, 96)), (Fraction(0, 1), Fraction(1, 96), Fraction(0, 1), Fraction(1, 96), Fraction(1, 96), Fraction(0, 1), Fraction(-1, 32), Fraction(0, 1)))	3	1.6	1.6	2881	17250	66	SAT	1.821
w[15]^2	w_15^2_516ff521719e	((Fraction(227, 192), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-11, 64), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 12), Fraction(0, 1), Fraction(7, 64), Fraction(-1, 12), Fraction(0, 1), Fraction(-7, 64), Fraction(0, 1)))	3	1.6	1.6	2881	17244	60	SAT	1.570
w[15]~	w_15~_8bcefa172cd0	((Fraction(-9, 32), Fraction(0, 1), Fraction(5, 32), Fraction(0, 1), Fraction(0, 1), Fraction(7, 96), Fraction(0, 1), Fraction(-1, 32)), (Fraction(0, 1), Fraction(17, 32), Fraction(0, 1), Fraction(-1, 32), Fraction(-7, 32), Fraction(0, 1), Fraction(-1, 32), Fraction(0, 1)))	3	1.6	1.6	2881	17256	64	SAT	1.866
w[15]^2	w_15^2_ea36a3b78ee0	((Fraction(-49, 384), Fraction(0, 1), Fraction(7, 128), Fraction(0, 1), Fraction(0, 1), Fraction(49, 384), Fraction(0, 1), Fraction(7, 384)), (Fraction(0, 1), Fraction(5, 128), Fraction(0, 1), Fraction(-7, 384), Fraction(5, 128), Fraction(0, 1), Fraction(7, 128), Fraction(0, 1)))	3	1.6	1.6	2881	17244	60	SAT	1.647
t16~	t16~_7b057a35c57b	((Fraction(269, 192), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-47, 192), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 12), Fraction(-3, 64), Fraction(0, 1), Fraction(-1, 12), Fraction(0, 1), Fraction(0, 1), Fraction(1, 64)))	3	1.6	1.6	2881	17244	60	SAT	1.604
t16	t16_a37c8d1b773f	((Fraction(269, 192), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-47, 192), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 12), Fraction(3, 64), Fraction(0, 1), Fraction(-1, 12), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 64)))	3	1.6	1.6	2881	17244	60	SAT	1.547
w[15]~	w_15~_1e8ff4544d1f	((Fraction(-23, 48), Fraction(0, 1), Fraction(-1, 16), Fraction(0, 1), Fraction(0, 1), Fraction(1, 16), Fraction(0, 1), Fraction(1, 48)), (Fraction(0, 1), Fraction(5, 48), Fraction(0, 1), Fraction(5, 48), Fraction(-5, 48), Fraction(0, 1), Fraction(-1, 16), Fraction(0, 1)))	3	1.6	1.6	2881	17246	62	SAT	1.568
w[15]^2	w_15^2_d6c869cc0d22	((Fraction(-37, 192), Fraction(0, 1), Fraction(7, 64), Fraction(0, 1), Fraction(0, 1), Fraction(1, 192), Fraction(0, 1), Fraction(-7, 192)), (Fraction(0, 1), Fraction(31, 192), Fraction(0, 1), Fraction(-35, 192), Fraction(-31, 192), Fraction(0, 1), Fraction(7, 64), Fraction(0, 1)))	3	1.6	1.6	2881	17244	60	SAT	1.489
t16^2	t16^2_9b6b1f054f64	((Fraction(4163, 3072), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-235, 1024), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 12), Fraction(93, 1024), Fraction(0, 1), Fraction(-1, 12), Fraction(0, 1), Fraction(0, 1), Fraction(-31, 1024)))	3	1.6	1.6	2881	17244	60	SAT	1.562
t16~	t16~_f4d936cc2742	((Fraction(-21, 128), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 128), Fraction(0, 1), Fraction(21, 128), Fraction(-1, 128), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 384), Fraction(1, 128), Fraction(0, 1), Fraction(1, 384), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 128)))	3	1.6	1.6	2881	17244	60	SAT	1.605
t16	t16_5d982269d5b5	((Fraction(-21, 128), Fraction(0, 1), Fraction(0, 1), Fraction(1, 128), Fraction(0, 1), Fraction(21, 128), Fraction(1, 128), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 384), Fraction(-1, 128), Fraction(0, 1), Fraction(1, 384), Fraction(0, 1), Fraction(0, 1), Fraction(1, 128)))	3	1.6	1.6	2881	17244	60	SAT	1.628
w[15]~	w_15~_9fe3b34607a4	((Fraction(65, 48), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-11, 48), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 12), Fraction(0, 1), Fraction(-1, 16), Fraction(-1, 12), Fraction(0, 1), Fraction(1, 16), Fraction(0, 1)))	3	1.6	1.6	2881	17244	60	SAT	1.536
w[15]^2	w_15^2_5b5621dd7b1c	((Fraction(-105, 128), Fraction(0, 1), Fraction(7, 128), Fraction(0, 1), Fraction(0, 1), Fraction(17, 384), Fraction(0, 1), Fraction(-7, 384)), (Fraction(0, 1), Fraction(-27, 128), Fraction(0, 1), Fraction(-77, 384), Fraction(27, 128), Fraction(0, 1), Fraction(7, 128), Fraction(0, 1)))	3	1.6	1.6	2881	17244	54	SAT	1.529
t16^2	t16^2_ce8fec204a32	((Fraction(-961, 6144), Fraction(0, 1), Fraction(0, 1), Fraction(31, 2048), Fraction(0, 1), Fraction(961, 6144), Fraction(31, 2048), Fraction(0, 1)), (Fraction(0, 1), Fraction(21, 2048), Fraction(-31, 2048), Fraction(0, 1), Fraction(21, 2048), Fraction(0, 1), Fraction(0, 1), Fraction(31, 2048)))	3	1.6	1.6	2881	17244	60	SAT	1.660
w[15]	w_15_d65cf2919d9d	((Fraction(-9, 32), Fraction(0, 1), Fraction(-5, 32), Fraction(0, 1), Fraction(0, 1), Fraction(7, 96), Fraction(0, 1), Fraction(1, 32)), (Fraction(0, 1), Fraction(17, 32), Fraction(0, 1), Fraction(1, 32), Fraction(-7, 32), Fraction(0, 1), Fraction(1, 32), Fraction(0, 1)))	3	1.6	1.6	2881	17256	64	SAT	5.662
t16~	t16~_25eec60b5dcc	((Fraction(-107, 192), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 64), Fraction(0, 1), Fraction(5, 64), Fraction(1, 64), Fraction(0, 1)), (Fraction(0, 1), Fraction(17, 192), Fraction(5, 64), Fraction(0, 1), Fraction(-17, 192), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 64)))	3	1.6	1.6	2881	17244	60	SAT	1.580
t16	t16_45427e75d1fc	((Fraction(-107, 192), Fraction(0, 1), Fraction(0, 1), Fraction(1, 64), Fraction(0, 1), Fraction(5, 64), Fraction(-1, 64), Fraction(0, 1)), (Fraction(0, 1), Fraction(17, 192), Fraction(-5, 64), Fraction(0, 1), Fraction(-17, 192), Fraction(0, 1), Fraction(0, 1), Fraction(1, 64)))	3	1.6	1.6	2881	17244	60	SAT	1.500
t16^2	t16^2_ecae45c90fd5	((Fraction(-1477, 3072), Fraction(0, 1), Fraction(0, 1), Fraction(31, 1024), Fraction(0, 1), Fraction(193, 3072), Fraction(-31, 1024), Fraction(0, 1)), (Fraction(0, 1), Fraction(319, 3072), Fraction(-155, 1024), Fraction(0, 1), Fraction(-319, 3072), Fraction(0, 1), Fraction(0, 1), Fraction(31, 1024)))	3	1.6	1.6	2881	17244	60	SAT	1.529
w[15]	w_15_ffe21626f6c2	((Fraction(-23, 48), Fraction(0, 1), Fraction(1, 16), Fraction(0, 1), Fraction(0, 1), Fraction(1, 16), Fraction(0, 1), Fraction(-1, 48)), (Fraction(0, 1), Fraction(5, 48), Fraction(0, 1), Fraction(-5, 48), Fraction(-5, 48), Fraction(0, 1), Fraction(1, 16), Fraction(0, 1)))	3	1.6	1.6	2881	17246	62	SAT	1.498
t16~	t16~_d1d17ee2d778	((Fraction(-469, 384), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 128), Fraction(0, 1), Fraction(31, 384), Fraction(1, 128), Fraction(0, 1)), (Fraction(0, 1), Fraction(-95, 384), Fraction(11, 128), Fraction(0, 1), Fraction(95, 384), Fraction(0, 1), Fraction(0, 1), Fraction(-1, 128)))	3	1.6	1.6	2881	17244	54	SAT	1.502
t16	t16_e7594331fcb1	((Fraction(-469, 384), Fraction(0, 1), Fraction(0, 1), Fraction(1, 128), Fraction(0, 1), Fraction(31, 384), Fraction(-1, 128), Fraction(0, 1)), (Fraction(0, 1), Fraction(-95, 384), Fraction(-11, 128), Fraction(0, 1), Fraction(95, 384), Fraction(0, 1), Fraction(0, 1), Fraction(1, 128)))	3	1.6	1.6	2881	17244	54	SAT	1.615
t16^2	t16^2_7b04e45ab98e	((Fraction(-2329, 2048), Fraction(0, 1), Fraction(0, 1), Fraction(31, 2048), Fraction(0, 1), Fraction(449, 6144), Fraction(-31, 2048), Fraction(0, 1)), (Fraction(0, 1), Fraction(-491, 2048), Fraction(-341, 2048), Fraction(0, 1), Fraction(491, 2048), Fraction(0, 1), Fraction(0, 1), Fraction(31, 2048)))	3	1.6	1.6	2881	17244	54	SAT	1.509
w[15]	w_15_93e53c816b74	((Fraction(65, 48), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(0, 1), Fraction(-11, 48), Fraction(0, 1), Fraction(0, 1)), (Fraction(0, 1), Fraction(1, 12), Fraction(0, 1), Fraction(1, 16), Fraction(-1, 12), Fraction(0, 1), Fraction(-1, 16), Fraction(0, 1)))	3	1.6	1.6	2881	17244	60	SAT	1.615
w[15]	T0	zero	3	2.4	2.4	5029	35934	0	UNSAT	97.977
w[15]	T0	zero	3	2.2	2.2	4525	31914	0	UNSAT	76.298
w[15]	T0	zero	3	2.0	2.0	3997	27846	0	UNSAT	39.754
w[15]	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.241
w[15]	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.147
w[3]	T0	zero	3	2.4	2.4	2515	17934	0	SAT	0.137
w[11]	T0	zero	3	2.4	2.4	4555	33408	0	SAT	0.112
w[3]	T0	zero	3	2.2	2.2	2263	15924	0	SAT	0.067
w[3]	T0	zero	3	2.0	2.0	1999	13890	0	SAT	0.073
w[11]	T0	zero	3	2.2	2.2	4099	29670	0	SAT	0.132
t16	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.246
t28	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.246
w[3]	T0	zero	3	1.9	1.9	1867	12414	0	SAT	0.171
w[3]	T0	zero	3	1.8	1.8	1699	10836	0	SAT	0.061
w[11]	T0	zero	3	2.0	2.0	3631	25914	0	SAT	0.100
w[11]	T0	zero	3	1.9	1.9	3409	23274	0	SAT	0.130
t16	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.140
t28	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.173
w[11]	T0	zero	3	1.8	1.8	3085	20178	0	SAT	0.082
t16	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.117
t28	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.161
t16	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.283
t28	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.176
t16	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.369
t28	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.218
w[3]~	T0	zero	3	2.4	2.4	2515	17934	0	SAT	0.125
w[3]^2	T0	zero	3	2.4	2.4	2515	17934	0	SAT	0.120
w[3]~	T0	zero	3	2.2	2.2	2263	15924	0	SAT	0.067
w[3]^2	T0	zero	3	2.2	2.2	2263	15924	0	SAT	0.068
w[3]~	T0	zero	3	2.0	2.0	1999	13890	0	SAT	0.072
w[3]^2	T0	zero	3	2.0	2.0	1999	13890	0	SAT	0.072
w[33]~	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.197
w[33]^2	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.258
w[5]	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.190
w[3]~	T0	zero	3	1.9	1.9	1867	12414	0	SAT	0.174
t28	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.239
w[3]^2	T0	zero	3	1.9	1.9	1867	12414	0	SAT	0.166
w[3]~	T0	zero	3	1.8	1.8	1699	10836	0	SAT	0.058
w[3]^2	T0	zero	3	1.8	1.8	1699	10836	0	SAT	0.059
w[33]~	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.183
w[33]^2	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.118
w[5]	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.130
t28	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.181
w[33]~	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.268
w[33]^2	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.244
w[5]~	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.173
w[5]^2	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.190
w[5]	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.186
t28	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.158
w[33]~	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.103
w[33]^2	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.244
w[5]~	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.121
w[5]^2	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.171
w[33]~	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.254
w[33]^2	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.146
w[5]	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.154
t28	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.170
w[55]~	T0	zero	3	2.4	2.4	5029	17934	0	SAT	0.099
w[55]^2	T0	zero	3	2.4	2.4	5029	17934	0	SAT	0.112
w[5]~	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.117
w[5]	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.176
w[5]^2	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.212
t28	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.216
w[55]~	T0	zero	3	2.2	2.2	4525	15924	0	SAT	0.092
w[55]^2	T0	zero	3	2.2	2.2	4525	15924	0	SAT	0.083
w[55]~	T0	zero	3	2.0	2.0	3997	13890	0	SAT	0.070
w[55]^2	T0	zero	3	2.0	2.0	3997	13890	0	SAT	0.132
w[5]~	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.240
w[5]^2	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.133
w[55]~	T0	zero	3	1.9	1.9	3733	12414	0	SAT	0.081
w[33]	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.199
w[55]^2	T0	zero	3	1.9	1.9	3733	12414	0	SAT	0.088
w[55]~	T0	zero	3	1.8	1.8	3397	10836	0	SAT	0.138
w[55]^2	T0	zero	3	1.8	1.8	3397	10836	0	SAT	0.192
t28~	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.297
w[5]~	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.186
w[5]^2	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.247
w[33]	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.186
w[165]~	T0	zero	3	2.4	2.4	5029	17934	0	SAT	0.104
w[165]^2	T0	zero	3	2.4	2.4	5029	17934	0	SAT	0.097
w[11]~	T0	zero	3	2.4	2.4	4555	33408	0	SAT	0.179
w[165]~	T0	zero	3	2.2	2.2	4525	15924	0	SAT	0.077
w[11]^2	T0	zero	3	2.4	2.4	4981	35832	0	SAT	0.283
w[165]^2	T0	zero	3	2.2	2.2	4525	15924	0	SAT	0.097
t28~	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.170
w[11]~	T0	zero	3	2.2	2.2	4099	29670	0	SAT	0.104
w[33]	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.262
w[165]~	T0	zero	3	2.0	2.0	3997	13890	0	SAT	0.066
w[165]^2	T0	zero	3	2.0	2.0	3997	13890	0	SAT	0.068
w[11]^2	T0	zero	3	2.2	2.2	4477	31764	0	SAT	0.112
w[11]~	T0	zero	3	2.0	2.0	3631	25914	0	SAT	0.094
w[165]~	T0	zero	3	1.9	1.9	3733	12414	0	SAT	0.065
w[165]^2	T0	zero	3	1.9	1.9	3733	12414	0	SAT	0.078
w[33]	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.103
w[165]~	T0	zero	3	1.8	1.8	3397	10836	0	SAT	0.097
t28~	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.162
w[11]^2	T0	zero	3	2.0	2.0	3949	27696	0	SAT	0.098
w[165]^2	T0	zero	3	1.8	1.8	3397	10836	0	SAT	0.089
w[11]~	T0	zero	3	1.9	1.9	3409	23274	0	SAT	0.193
w[11]~	T0	zero	3	1.8	1.8	3085	20178	0	SAT	0.104
w[33]	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.258
w[11]^2	T0	zero	3	1.9	1.9	3691	24762	0	SAT	0.156
t28~	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.168
w[11]^2	T0	zero	3	1.8	1.8	3355	21606	0	SAT	0.167
w[55]	T0	zero	3	2.4	2.4	5029	17934	0	SAT	0.102
t16~	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.241
t16^2	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.147
w[55]	T0	zero	3	2.2	2.2	4525	15924	0	SAT	0.096
t28~	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.216
w[55]	T0	zero	3	2.0	2.0	3997	13890	0	SAT	0.069
w[15]^2	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.298
w[55]	T0	zero	3	1.9	1.9	3733	12414	0	SAT	0.077
t16~	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.137
t16^2	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.134
w[55]	T0	zero	3	1.8	1.8	3397	10836	0	SAT	0.140
t28^2	T0	zero	3	2.4	2.4	5029	35868	0	SAT	0.266
t16~	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.117
w[15]^2	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.104
w[165]	T0	zero	3	2.4	2.4	5029	17934	0	SAT	0.166
t16^2	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.244
w[165]	T0	zero	3	2.2	2.2	4525	15924	0	SAT	0.071
t16~	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.165
t28^2	T0	zero	3	2.2	2.2	4525	31848	0	SAT	0.169
w[165]	T0	zero	3	2.0	2.0	3997	13890	0	SAT	0.065
w[15]^2	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.346
t16^2	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.227
w[165]	T0	zero	3	1.9	1.9	3733	12414	0	SAT	0.062
t16~	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.246
w[165]	T0	zero	3	1.8	1.8	3397	10836	0	SAT	0.074
t28^2	T0	zero	3	2.0	2.0	3997	27780	0	SAT	0.265
t16^2	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.218
w[15]^2	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.209
w[15]^2	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.093
t28^2	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.163
t28^2	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.193
w[15]~	T0	zero	3	2.4	2.4	5029	35934	0	UNSAT	53.812
w[15]~	T0	zero	3	2.2	2.2	4525	31914	0	UNSAT	40.405
w[15]~	T0	zero	3	2.0	2.0	3997	27846	0	UNSAT	85.439
w[15]~	T0	zero	3	1.9	1.9	3733	24828	0	SAT	0.235
w[15]~	T0	zero	3	1.8	1.8	3397	21672	0	SAT	0.145
w[15]	T0	zero	4	2.4	2.4	14761	133962	0	timeout	300.004
w[15]	T0	zero	4	2.2	2.2	12997	114258	0	UNSAT	116.229
w[15]	T0	zero	4	2.0	2.0	10861	91566	0	UNSAT	133.653
w[15]	T0	zero	4	1.9	1.9	9925	81864	0	SAT	0.435
w[15]	T0	zero	4	1.8	1.8	8881	71136	0	SAT	0.253
