[1/37] {'graphs': 1, 'dags': 521052, 'profile_dags': 494648, 'ss_skip': 306434, 'dicut_skip': 139616, 'packed_heur': 1082, 'packed_exact': 47516, 'cand': 0} t=21s
[2/37] {'graphs': 2, 'dags': 975340, 'profile_dags': 927368, 'ss_skip': 566122, 'dicut_skip': 276668, 'packed_heur': 2030, 'packed_exact': 82548, 'cand': 0} t=37s
[3/37] {'graphs': 3, 'dags': 1439228, 'profile_dags': 1369448, 'ss_skip': 833814, 'dicut_skip': 412206, 'packed_heur': 3055, 'packed_exact': 120373, 'cand': 0} t=54s
[4/37] {'graphs': 4, 'dags': 1966188, 'profile_dags': 1865248, 'ss_skip': 1179754, 'dicut_skip': 488474, 'packed_heur': 4870, 'packed_exact': 192150, 'cand': 0} t=82s
[5/37] {'graphs': 5, 'dags': 2467812, 'profile_dags': 2340536, 'ss_skip': 1479098, 'dicut_skip': 609738, 'packed_heur': 6205, 'packed_exact': 245495, 'cand': 0} t=105s
[6/37] {'graphs': 6, 'dags': 2910940, 'profile_dags': 2762548, 'ss_skip': 1737888, 'dicut_skip': 731532, 'packed_heur': 7401, 'packed_exact': 285727, 'cand': 0} t=123s
[7/37] {'graphs': 7, 'dags': 3381596, 'profile_dags': 3205532, 'ss_skip': 2063288, 'dicut_skip': 778620, 'packed_heur': 9032, 'packed_exact': 354592, 'cand': 0} t=151s
[8/37] {'graphs': 8, 'dags': 3850988, 'profile_dags': 3649084, 'ss_skip': 2367860, 'dicut_skip': 863000, 'packed_heur': 10468, 'packed_exact': 407756, 'cand': 0} t=173s
[9/37] {'graphs': 9, 'dags': 4331016, 'profile_dags': 4101328, 'ss_skip': 2695814, 'dicut_skip': 912272, 'packed_heur': 12152, 'packed_exact': 481090, 'cand': 0} t=203s
[10/37] {'graphs': 10, 'dags': 4799296, 'profile_dags': 4543928, 'ss_skip': 2991502, 'dicut_skip': 1004520, 'packed_heur': 13623, 'packed_exact': 534283, 'cand': 0} t=225s
[11/37] {'graphs': 11, 'dags': 5417392, 'profile_dags': 5117088, 'ss_skip': 3466570, 'dicut_skip': 1004520, 'packed_heur': 15674, 'packed_exact': 630324, 'cand': 0} t=261s
[12/37] {'graphs': 12, 'dags': 6006132, 'profile_dags': 5668152, 'ss_skip': 3866334, 'dicut_skip': 1072520, 'packed_heur': 17427, 'packed_exact': 711871, 'cand': 0} t=293s
[13/37] {'graphs': 13, 'dags': 6509048, 'profile_dags': 6145352, 'ss_skip': 4163868, 'dicut_skip': 1205972, 'packed_heur': 18472, 'packed_exact': 757040, 'cand': 0} t=313s
[14/37] {'graphs': 14, 'dags': 7081728, 'profile_dags': 6676656, 'ss_skip': 4613652, 'dicut_skip': 1212284, 'packed_heur': 20219, 'packed_exact': 830501, 'cand': 0} t=342s
[15/37] {'graphs': 15, 'dags': 7652304, 'profile_dags': 7206016, 'ss_skip': 5058588, 'dicut_skip': 1219676, 'packed_heur': 22025, 'packed_exact': 905727, 'cand': 0} t=371s
[16/37] {'graphs': 16, 'dags': 8220000, 'profile_dags': 7732664, 'ss_skip': 5496614, 'dicut_skip': 1229288, 'packed_heur': 23846, 'packed_exact': 982916, 'cand': 0} t=402s
[17/37] {'graphs': 17, 'dags': 8781152, 'profile_dags': 8254544, 'ss_skip': 5921310, 'dicut_skip': 1241480, 'packed_heur': 25766, 'packed_exact': 1065988, 'cand': 0} t=434s
