[1/323] {'graphs': 1, 'dags': 5725556, 'profile_dags': 5024936, 'ss_skip': 2419624, 'packed_cegar': 2605312, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=605s
[2/323] {'graphs': 2, 'dags': 10530616, 'profile_dags': 9332332, 'ss_skip': 4177994, 'packed_cegar': 5154338, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=1229s
[3/323] {'graphs': 3, 'dags': 15637488, 'profile_dags': 13820172, 'ss_skip': 6666122, 'packed_cegar': 7154050, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=1656s
[4/323] {'graphs': 4, 'dags': 20333144, 'profile_dags': 18031100, 'ss_skip': 8361066, 'packed_cegar': 9670034, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=2223s
[5/323] {'graphs': 5, 'dags': 24750040, 'profile_dags': 22024060, 'ss_skip': 9885354, 'packed_cegar': 12138706, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=2829s
[6/323] {'graphs': 6, 'dags': 29641280, 'profile_dags': 26371760, 'ss_skip': 11965770, 'packed_cegar': 14405990, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=3330s
[7/323] {'graphs': 7, 'dags': 35133792, 'profile_dags': 31183260, 'ss_skip': 14496222, 'packed_cegar': 16687038, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=3782s
[8/323] {'graphs': 8, 'dags': 40567824, 'profile_dags': 35952948, 'ss_skip': 16970838, 'packed_cegar': 18982110, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=4272s
[9/323] {'graphs': 9, 'dags': 45635184, 'profile_dags': 40458540, 'ss_skip': 18937622, 'packed_cegar': 21520918, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=4765s
[10/323] {'graphs': 10, 'dags': 50072680, 'profile_dags': 44428396, 'ss_skip': 20832818, 'packed_cegar': 23595578, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=5277s
[11/323] {'graphs': 11, 'dags': 55171104, 'profile_dags': 48992196, 'ss_skip': 22577746, 'packed_cegar': 26414450, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=6121s
[12/323] {'graphs': 12, 'dags': 60893556, 'profile_dags': 53968572, 'ss_skip': 25460376, 'packed_cegar': 28508196, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=6557s
[13/323] {'graphs': 13, 'dags': 66878404, 'profile_dags': 59133868, 'ss_skip': 28631256, 'packed_cegar': 30502612, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=7009s
[14/323] {'graphs': 14, 'dags': 72762544, 'profile_dags': 64231612, 'ss_skip': 31646504, 'packed_cegar': 32585108, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=7495s
[15/323] {'graphs': 15, 'dags': 77582504, 'profile_dags': 68520212, 'ss_skip': 33616908, 'packed_cegar': 34903304, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=8065s
[16/323] {'graphs': 16, 'dags': 82507824, 'profile_dags': 72896592, 'ss_skip': 35703516, 'packed_cegar': 37193076, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=8596s
[17/323] {'graphs': 17, 'dags': 86602648, 'profile_dags': 76602568, 'ss_skip': 37171432, 'packed_cegar': 39431136, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=9190s
[18/323] {'graphs': 18, 'dags': 91333328, 'profile_dags': 80790632, 'ss_skip': 39384192, 'packed_cegar': 41406440, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=9657s
[19/323] {'graphs': 19, 'dags': 95520128, 'profile_dags': 84577040, 'ss_skip': 40961184, 'packed_cegar': 43615856, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=10169s
[20/323] {'graphs': 20, 'dags': 99580480, 'profile_dags': 88253248, 'ss_skip': 42421716, 'packed_cegar': 45831532, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=10787s
[21/323] {'graphs': 21, 'dags': 104901296, 'profile_dags': 92912660, 'ss_skip': 45008932, 'packed_cegar': 47903728, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=11221s
[22/323] {'graphs': 22, 'dags': 109574176, 'profile_dags': 97082716, 'ss_skip': 46890268, 'packed_cegar': 50192448, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=11718s
[23/323] {'graphs': 23, 'dags': 113911480, 'profile_dags': 100995388, 'ss_skip': 48445952, 'packed_cegar': 52549436, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=12280s
[24/323] {'graphs': 24, 'dags': 119123152, 'profile_dags': 105598816, 'ss_skip': 50715278, 'packed_cegar': 54883538, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=12835s
[25/323] {'graphs': 25, 'dags': 123569540, 'profile_dags': 109582640, 'ss_skip': 52521684, 'packed_cegar': 57060956, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=13402s
[26/323] {'graphs': 26, 'dags': 128595664, 'profile_dags': 114037528, 'ss_skip': 54696578, 'packed_cegar': 59340950, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=14064s
[27/323] {'graphs': 27, 'dags': 135244904, 'profile_dags': 119668448, 'ss_skip': 58639270, 'packed_cegar': 61029178, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=14440s
[28/323] {'graphs': 28, 'dags': 141981132, 'profile_dags': 125358096, 'ss_skip': 62679042, 'packed_cegar': 62679054, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=14811s
[29/323] {'graphs': 29, 'dags': 146989884, 'profile_dags': 129799092, 'ss_skip': 64848108, 'packed_cegar': 64950984, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=15402s
[30/323] {'graphs': 30, 'dags': 152305436, 'profile_dags': 134452952, 'ss_skip': 67447560, 'packed_cegar': 67005392, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=16216s
[31/323] {'graphs': 31, 'dags': 156688460, 'profile_dags': 138422216, 'ss_skip': 68912460, 'packed_cegar': 69509756, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=17049s
[32/323] {'graphs': 32, 'dags': 161795060, 'profile_dags': 142976648, 'ss_skip': 70879108, 'packed_cegar': 72097540, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=17905s
[33/323] {'graphs': 33, 'dags': 167476668, 'profile_dags': 147882720, 'ss_skip': 73992444, 'packed_cegar': 73890276, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=18332s
[34/323] {'graphs': 34, 'dags': 173053952, 'profile_dags': 152715680, 'ss_skip': 76951688, 'packed_cegar': 75763992, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=18765s
[35/323] {'graphs': 35, 'dags': 177828496, 'profile_dags': 157023088, 'ss_skip': 78598056, 'packed_cegar': 78425032, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=19627s
[36/323] {'graphs': 36, 'dags': 185327544, 'profile_dags': 163273896, 'ss_skip': 83313020, 'packed_cegar': 79960876, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=19954s
[37/323] {'graphs': 37, 'dags': 191141868, 'profile_dags': 168328464, 'ss_skip': 86196438, 'packed_cegar': 82132026, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=20527s
[38/323] {'graphs': 38, 'dags': 196297744, 'profile_dags': 172894696, 'ss_skip': 88376916, 'packed_cegar': 84517780, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=21418s
[39/323] {'graphs': 39, 'dags': 201008696, 'profile_dags': 177143648, 'ss_skip': 89885004, 'packed_cegar': 87258644, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=23032s
[40/323] {'graphs': 40, 'dags': 205846968, 'profile_dags': 181474152, 'ss_skip': 91662992, 'packed_cegar': 89811160, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=24099s
[41/323] {'graphs': 41, 'dags': 210031896, 'profile_dags': 185254536, 'ss_skip': 93128984, 'packed_cegar': 92125552, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=25192s
[42/323] {'graphs': 42, 'dags': 214768688, 'profile_dags': 189506384, 'ss_skip': 94888584, 'packed_cegar': 94617800, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=25851s
[43/323] {'graphs': 43, 'dags': 221117284, 'profile_dags': 194931892, 'ss_skip': 98457360, 'packed_cegar': 96474532, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=26442s
[44/323] {'graphs': 44, 'dags': 225497380, 'profile_dags': 198900652, 'ss_skip': 99923316, 'packed_cegar': 98977336, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=27749s
[45/323] {'graphs': 45, 'dags': 232713784, 'profile_dags': 204982144, 'ss_skip': 104105040, 'packed_cegar': 100877104, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=28283s
[46/323] {'graphs': 46, 'dags': 238882324, 'profile_dags': 210284764, 'ss_skip': 107464134, 'packed_cegar': 102820630, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=28833s
[47/323] {'graphs': 47, 'dags': 245029548, 'profile_dags': 215601612, 'ss_skip': 110514160, 'packed_cegar': 105087452, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=29410s
[48/323] {'graphs': 48, 'dags': 252268052, 'profile_dags': 221696468, 'ss_skip': 114718954, 'packed_cegar': 106977514, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=29953s
[49/323] {'graphs': 49, 'dags': 258227076, 'profile_dags': 226860000, 'ss_skip': 117732872, 'packed_cegar': 109127128, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=30668s
[50/323] {'graphs': 50, 'dags': 264250144, 'profile_dags': 232068412, 'ss_skip': 120812900, 'packed_cegar': 111255512, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=31367s
[51/323] {'graphs': 51, 'dags': 270614260, 'profile_dags': 237500356, 'ss_skip': 124451846, 'packed_cegar': 113048510, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=31801s
[52/323] {'graphs': 52, 'dags': 276491420, 'profile_dags': 242621804, 'ss_skip': 127217918, 'packed_cegar': 115403886, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=32404s
