[1/325] {'graphs': 1, 'dags': 5105440, 'profile_dags': 4481884, 'ss_skip': 2528342, 'packed_cegar': 1953542, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=615s
[2/325] {'graphs': 2, 'dags': 10169888, 'profile_dags': 8953736, 'ss_skip': 4842264, 'packed_cegar': 4111472, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=1111s
[3/325] {'graphs': 3, 'dags': 15294288, 'profile_dags': 13443372, 'ss_skip': 7420756, 'packed_cegar': 6022616, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=1494s
[4/325] {'graphs': 4, 'dags': 20525520, 'profile_dags': 18031812, 'ss_skip': 9954740, 'packed_cegar': 8077072, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=1921s
[5/325] {'graphs': 5, 'dags': 24945388, 'profile_dags': 21997132, 'ss_skip': 11742910, 'packed_cegar': 10254222, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=2396s
[6/325] {'graphs': 6, 'dags': 29950928, 'profile_dags': 26423756, 'ss_skip': 13967530, 'packed_cegar': 12456226, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=2963s
[7/325] {'graphs': 7, 'dags': 34369244, 'profile_dags': 30399020, 'ss_skip': 15652546, 'packed_cegar': 14746474, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=3468s
[8/325] {'graphs': 8, 'dags': 38809452, 'profile_dags': 34364124, 'ss_skip': 17539906, 'packed_cegar': 16824218, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=3913s
[9/325] {'graphs': 9, 'dags': 43023084, 'profile_dags': 38174700, 'ss_skip': 19106890, 'packed_cegar': 19067810, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=4462s
[10/325] {'graphs': 10, 'dags': 47660056, 'profile_dags': 42332932, 'ss_skip': 20849680, 'packed_cegar': 21483252, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=5085s
[11/325] {'graphs': 11, 'dags': 52173212, 'profile_dags': 46336748, 'ss_skip': 22921452, 'packed_cegar': 23415296, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=5479s
