14	7	3	3	5	UNSAT-exhausted	1.5	
14	7	3	4	2	UNSAT-exhausted	2.0	
14	7	2	1	12	UNSAT-exhausted	1.5	
14	7	2	2	10	UNSAT-exhausted	1.3	
14	7	2	3	8	UNSAT-exhausted	1.5	
14	7	2	4	6	UNSAT-exhausted	1.6	
14	7	2	5	4	UNSAT-exhausted	1.8	
14	7	2	6	2	UNSAT-exhausted	2.2	
15	7	14	1	1	UNSAT-exhausted	392.9	
15	7	13	1	2	UNSAT-exhausted	5.5	
15	7	12	1	3	UNSAT-exhausted	4.3	
15	7	11	1	4	UNSAT-exhausted	3.4	
15	7	10	1	5	UNSAT-exhausted	3.3	
15	7	9	1	6	UNSAT-exhausted	3.2	
15	7	8	1	7	UNSAT-exhausted	3.2	
15	7	7	1	8	UNSAT-exhausted	3.1	
18	6	17	1	1	UNSAT-exhausted	687.1	
18	6	16	1	2	UNSAT-exhausted	1.4	
18	6	15	1	3	UNSAT-exhausted	1.3	
18	6	14	1	4	UNSAT-exhausted	1.5	
18	6	13	1	5	UNSAT-exhausted	1.1	
18	6	12	1	6	UNSAT-exhausted	1.5	
12	6	2	6	0	TIMEOUT	900.1	
15	6	7	2	1	UNSAT-exhausted	1007.3	
15	6	6	1	9	UNSAT-exhausted	0.2	
15	6	6	2	3	UNSAT-exhausted	0.3	
15	6	5	1	10	UNSAT-exhausted	0.2	
15	6	5	2	5	UNSAT-exhausted	0.3	
16	6	5	3	1	TIMEOUT	1800.1	
16	6	4	1	12	UNSAT-exhausted	0.4	
16	6	4	2	8	UNSAT-exhausted	0.3	
16	6	4	3	4	UNSAT-exhausted	0.6	
16	6	4	4	0	UNSAT-exhausted	5.5	
16	6	3	1	13	UNSAT-exhausted	0.4	
16	6	3	2	10	UNSAT-exhausted	0.4	
14	7	2	7	0	TIMEOUT	1800.2	
15	7	7	2	1	TIMEOUT	1800.2	
15	7	6	1	9	UNSAT-exhausted	3.6	
15	7	6	2	3	UNSAT-exhausted	4.3	
15	7	5	1	10	UNSAT-exhausted	3.5	
15	7	5	2	5	UNSAT-exhausted	3.8	
18	6	11	1	7	TIMEOUT	1800.1	
18	6	10	1	8	UNSAT-exhausted	0.7	
18	6	9	1	9	UNSAT-exhausted	1.7	
15	6	5	3	0	TIMEOUT	1800.1	
15	6	4	1	11	UNSAT-exhausted	0.3	
15	6	4	2	7	UNSAT-exhausted	0.3	
15	6	4	3	3	UNSAT-exhausted	0.7	
