# CW(117,36) C-driver: |Z_117^*|=72, 48 subgroups, max_orbits=30 signed=True case_timeout=1800s
  case |H|=72 r=6 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=72 r=6 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=72 r=6 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=36 r=10 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=36 r=8 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=36 r=9 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=36 r=9 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=36 r=9 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=10 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=10 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=10 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=12 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=12 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=12 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=8 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=8 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=8 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=8 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=8 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=24 r=8 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=18 r=15 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=18 r=15 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=18 r=13 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=20 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=18 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=13 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=13 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=13 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=13 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=13 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=13 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=15 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=15 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=15 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=18 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=14 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=12 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=14 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=21 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=21 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=21 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=14 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=12 r=12 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=20 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=20 chi#2: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=8 r=20 chi#3: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=23 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=23 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=27 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=23 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=23 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=21 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=25 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=21 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
  case |H|=6 r=23 chi#1: DONE nodes=1 leaves=0 wits=0 time=0.0
# done CW(117,36): 55 cases complete, 0 exceeded, 0.0s, 0 witnesses
