# CW(96,36) C-driver: |Z_96^*|=32, 38 subgroups, max_orbits=64 signed=False case_timeout=3600s
  case |H|=32 r=12 chi#0: DONE nodes=7 leaves=0 wits=0 time=0.0
  case |H|=16 r=16 chi#0: DONE nodes=3363 leaves=360 wits=0 time=0.0
  case |H|=16 r=18 chi#0: DONE nodes=13777 leaves=848 wits=0 time=0.0
  case |H|=16 r=18 chi#0: DONE nodes=13335 leaves=1368 wits=0 time=0.0
  case |H|=16 r=18 chi#0: DONE nodes=14041 leaves=848 wits=0 time=0.0
  case |H|=16 r=20 chi#0: DONE nodes=34 leaves=0 wits=0 time=0.0
  case |H|=16 r=15 chi#0: DONE nodes=2058 leaves=216 wits=0 time=0.0
  case |H|=16 r=15 chi#0: DONE nodes=2058 leaves=216 wits=0 time=0.0
  case |H|=8 r=26 chi#0: DONE nodes=24844906 leaves=408096 wits=0 time=3.1
  case |H|=8 r=30 chi#0: DONE nodes=607634027 leaves=99633600 wits=0 time=115.8
  case |H|=8 r=25 chi#0: DONE nodes=16420883 leaves=874800 wits=0 time=1.8
  case |H|=8 r=26 chi#0: DONE nodes=10725083 leaves=1270080 wits=0 time=1.8
  case |H|=8 r=22 chi#0: DONE nodes=707372 leaves=37504 wits=0 time=0.1
  case |H|=8 r=32 chi#0: DONE nodes=162280882 leaves=19714464 wits=0 time=29.5
  case |H|=8 r=26 chi#0: DONE nodes=26440111 leaves=408096 wits=0 time=3.3
  case |H|=8 r=27 chi#0: DONE nodes=63667247 leaves=9604560 wits=0 time=11.7
  case |H|=8 r=27 chi#0: DONE nodes=63667244 leaves=9604560 wits=0 time=11.8
  case |H|=8 r=25 chi#0: DONE nodes=16558898 leaves=874800 wits=0 time=1.8
  case |H|=8 r=22 chi#0: DONE nodes=644270 leaves=37504 wits=0 time=0.1
  EXCEEDED |H|=4 r=39 chi#0: EXCEEDED nodes=19373490176 leaves=2725826656 time=3600.0
  EXCEEDED |H|=4 r=48 chi#0: EXCEEDED nodes=23401070592 leaves=1608216360 time=3600.1
  case |H|=4 r=30 chi#0: DONE nodes=876863637 leaves=14600064 wits=0 time=111.9
  EXCEEDED |H|=4 r=37 chi#0: EXCEEDED nodes=31434211328 leaves=1089074182 time=3600.1
!! |H|=4 r=40 chi#0 WITNESS [-1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, -1, 0, -1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, -1, 0, 1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0]
!! |H|=4 r=40 chi#0 WITNESS [0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, -1, 0, -1, 0, 1, 0, 1, 0, 0, 0, 1, 0, -1, 0, 1, 0, 1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, -1, 0, -1, 0, -1, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0]
!! |H|=4 r=40 chi#0 WITNESS [-1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, -1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, -1, 0, 1, 0, 1, 0, 1, 0, 0, 0, -1, 0, 0, 0, -1, 0, 1, 0, -1, 0, 1, 0, 0, 0, 0, 0, -1, 0, 1, 0, -1, 0, -1, 0, -1, 0]
!! |H|=4 r=40 chi#0 WITNESS [0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, -1, 0, 1, 0, 1, 0, 0, 0, 1, 0, -1, 0, 1, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, -1, 0, 1, 0, 1, 0, 1, 0, 0, 0, -1, 0, -1, 0, -1, 0, 1, 0, -1, 0, 1, 0, 0, 0, 0, 0, -1, 0, 1, 0, -1, 0, -1, 0, -1, 0]
!! |H|=4 r=40 chi#0 WITNESS [-1, 0, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, -1, 0, -1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, -1, 0, 1, 0, -1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, -1, 0, -1, 0, 1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 0, -1, 0, 1, 0, 0, 0, 0, 0, -1, 0, 1, 0, -1, 0, 1, 0, -1, 0]
