[mdag n=6 M=15 6/0] checked=200000 bytau=[(2, 187318), (3, 12396), (4, 286)] t=120s
[mdag n=6 M=15 6/0] checked=400000 bytau=[(2, 363310), (3, 34861), (4, 1730), (5, 92), (6, 7)] t=200s
[mdag n=6 M=15 6/0] checked=600000 bytau=[(2, 536332), (3, 59895), (4, 3547), (5, 211), (6, 15)] t=288s
[mdag n=6 M=15 6/0] checked=800000 bytau=[(2, 713772), (3, 80719), (4, 5097), (5, 383), (6, 29)] t=375s
[mdag n=6 M=15 6/0] checked=1000000 bytau=[(2, 885822), (3, 106727), (4, 6978), (5, 443), (6, 30)] t=455s
[mdag n=6 M=15 6/0] checked=1200000 bytau=[(2, 1031165), (3, 151863), (4, 14909), (5, 1852), (6, 206), (7, 5)] t=519s
[mdag n=6 M=15 6/0] checked=1400000 bytau=[(2, 1171940), (3, 199436), (4, 24691), (5, 3539), (6, 384), (7, 10)] t=573s
[mdag n=6 M=15 6/0] checked=1600000 bytau=[(2, 1308412), (3, 249925), (4, 35435), (5, 5588), (6, 625), (7, 15)] t=625s
[mdag n=6 M=15 6/0] checked=1800000 bytau=[(2, 1449662), (3, 298720), (4, 44241), (5, 6677), (6, 685), (7, 15)] t=671s
[mdag n=6 M=15 6/0] checked=2000000 bytau=[(2, 1585752), (3, 350627), (4, 54757), (5, 8081), (6, 768), (7, 15)] t=719s
[mdag n=6 M=15 6/0] checked=2200000 bytau=[(2, 1722233), (3, 401859), (4, 65048), (5, 9631), (6, 1065), (7, 121), (8, 34), (9, 8), (10, 1)] t=776s
[mdag n=6 M=15 6/0] checked=2400000 bytau=[(2, 1883944), (3, 437637), (4, 67482), (5, 9707), (6, 1066), (7, 121), (8, 34), (9, 8), (10, 1)] t=835s
[mdag n=6 M=15 6/0] checked=2600000 bytau=[(2, 2030571), (3, 483672), (4, 74159), (5, 10348), (6, 1086), (7, 121), (8, 34), (9, 8), (10, 1)] t=903s
[mdag n=6 M=15 6/0] checked=2800000 bytau=[(2, 2173478), (3, 532298), (4, 81743), (5, 11181), (6, 1136), (7, 121), (8, 34), (9, 8), (10, 1)] t=957s
[mdag n=6 M=15 6/0] checked=3000000 bytau=[(2, 2314280), (3, 581739), (4, 90378), (5, 12248), (6, 1191), (7, 121), (8, 34), (9, 8), (10, 1)] t=1002s
[mdag n=6 M=15 6/0] checked=3200000 bytau=[(2, 2473569), (3, 619680), (4, 93054), (5, 12341), (6, 1192), (7, 121), (8, 34), (9, 8), (10, 1)] t=1067s
[mdag n=6 M=15 6/0] checked=3400000 bytau=[(2, 2614848), (3, 670149), (4, 100699), (5, 12930), (6, 1210), (7, 121), (8, 34), (9, 8), (10, 1)] t=1114s
[mdag n=6 M=15 6/0] checked=3600000 bytau=[(2, 2762483), (3, 714712), (4, 107745), (5, 13657), (6, 1239), (7, 121), (8, 34), (9, 8), (10, 1)] t=1169s
[mdag n=6 M=15 6/0] checked=3800000 bytau=[(2, 2920576), (3, 752218), (4, 111643), (5, 14126), (6, 1273), (7, 121), (8, 34), (9, 8), (10, 1)] t=1229s
[mdag n=6 M=15 6/0] checked=4000000 bytau=[(2, 3060549), (3, 800893), (4, 120781), (5, 16018), (6, 1585), (7, 131), (8, 34), (9, 8), (10, 1)] t=1286s
[mdag n=6 M=15 6/0] checked=4200000 bytau=[(2, 3170061), (3, 857621), (4, 141950), (5, 24303), (6, 4568), (7, 1080), (8, 324), (9, 79), (10, 13), (11, 1)] t=1338s
[mdag n=6 M=15 6/0] checked=4400000 bytau=[(2, 3264987), (3, 928881), (4, 169014), (5, 30369), (6, 5242), (7, 1090), (8, 324), (9, 79), (10, 13), (11, 1)] t=1384s
[mdag n=6 M=15 6/0] checked=4600000 bytau=[(2, 3370094), (3, 994668), (4, 190191), (5, 35703), (6, 6918), (7, 1735), (8, 533), (9, 133), (10, 23), (11, 2)] t=1432s
[mdag n=6 M=15 6/0] checked=4800000 bytau=[(2, 3456673), (3, 1066224), (4, 219954), (5, 44458), (6, 9352), (7, 2420), (8, 720), (9, 170), (10, 27), (11, 2)] t=1487s
[mdag n=6 M=15 6/0] checked=5000000 bytau=[(2, 3563191), (3, 1133754), (4, 240319), (5, 48662), (6, 10314), (7, 2733), (8, 808), (9, 188), (10, 29), (11, 2)] t=1534s
[mdag n=6 M=15 6/0] checked=5200000 bytau=[(2, 3674791), (3, 1194520), (4, 259706), (5, 54201), (6, 12103), (7, 3378), (8, 1017), (9, 242), (10, 39), (11, 3)] t=1600s
[mdag n=6 M=15 6/0] checked=5400000 bytau=[(2, 3765556), (3, 1261648), (4, 288997), (5, 63216), (6, 14788), (7, 4213), (8, 1247), (9, 288), (10, 44), (11, 3)] t=1657s
[mdag n=6 M=15 6/0] checked=5600000 bytau=[(2, 3874362), (3, 1330250), (4, 308773), (5, 65934), (6, 14886), (7, 4213), (8, 1247), (9, 288), (10, 44), (11, 3)] t=1697s
[mdag n=6 M=15 6/0] checked=5800000 bytau=[(2, 3969293), (3, 1400479), (4, 334883), (5, 72355), (6, 16503), (7, 4732), (8, 1389), (9, 316), (10, 47), (11, 3)] t=1741s
[mdag n=6 M=15 6/0] checked=6000000 bytau=[(2, 4086228), (3, 1464556), (4, 351312), (5, 74716), (6, 16675), (7, 4755), (8, 1392), (9, 316), (10, 47), (11, 3)] t=1779s
[mdag n=6 M=15 6/0] checked=6200000 bytau=[(2, 4206573), (3, 1524718), (4, 366096), (5, 78022), (6, 17691), (7, 5063), (8, 1462), (9, 325), (10, 47), (11, 3)] t=1825s
[mdag n=6 M=15 6/0] checked=6400000 bytau=[(2, 4332378), (3, 1587075), (4, 377118), (5, 78825), (6, 17704), (7, 5063), (8, 1462), (9, 325), (10, 47), (11, 3)] t=1878s
[mdag n=6 M=15 6/0] checked=6600000 bytau=[(2, 4436522), (3, 1656491), (4, 399879), (5, 82365), (6, 17843), (7, 5063), (8, 1462), (9, 325), (10, 47), (11, 3)] t=1933s
[mdag n=6 M=15 6/0] checked=6800000 bytau=[(2, 4557170), (3, 1721774), (4, 412787), (5, 83500), (6, 17869), (7, 5063), (8, 1462), (9, 325), (10, 47), (11, 3)] t=1971s
[mdag n=6 M=15 6/0] checked=7000000 bytau=[(2, 4667709), (3, 1790722), (4, 430965), (5, 85755), (6, 17949), (7, 5063), (8, 1462), (9, 325), (10, 47), (11, 3)] t=2017s
