[rand seed=3] checked=20000 bytau=[(1, 7888), (2, 4949), (3, 3156), (4, 1859), (5, 1083), (6, 582), (7, 273), (8, 108), (9, 54), (10, 27), (11, 10), (12, 5), (13, 2), (14, 4)] t=5s
[rand seed=3] checked=40000 bytau=[(1, 15872), (2, 9864), (3, 6283), (4, 3750), (5, 2082), (6, 1177), (7, 546), (8, 229), (9, 109), (10, 50), (11, 21), (12, 9), (13, 4), (14, 4)] t=10s
[rand seed=3] checked=60000 bytau=[(1, 23744), (2, 14810), (3, 9396), (4, 5672), (5, 3148), (6, 1729), (7, 833), (8, 354), (9, 179), (10, 78), (11, 31), (12, 15), (13, 7), (14, 4)] t=16s
[rand seed=3] checked=80000 bytau=[(1, 31661), (2, 19730), (3, 12596), (4, 7524), (5, 4163), (6, 2289), (7, 1114), (8, 495), (9, 243), (10, 109), (11, 40), (12, 23), (13, 8), (14, 5)] t=21s
[rand seed=3] checked=100000 bytau=[(1, 39535), (2, 24704), (3, 15758), (4, 9420), (5, 5191), (6, 2861), (7, 1366), (8, 626), (9, 306), (10, 137), (11, 50), (12, 28), (13, 11), (14, 6), (15, 1)] t=26s
[rand seed=3] checked=120000 bytau=[(1, 47565), (2, 29571), (3, 18891), (4, 11285), (5, 6247), (6, 3368), (7, 1639), (8, 781), (9, 365), (10, 168), (11, 70), (12, 30), (13, 12), (14, 7), (15, 1)] t=31s
[rand seed=3] checked=140000 bytau=[(1, 55483), (2, 34566), (3, 22007), (4, 13067), (5, 7308), (6, 3950), (7, 1911), (8, 929), (9, 436), (10, 207), (11, 81), (12, 35), (13, 12), (14, 7), (15, 1)] t=36s
[rand seed=3] checked=160000 bytau=[(1, 63358), (2, 39534), (3, 25096), (4, 14943), (5, 8369), (6, 4527), (7, 2220), (8, 1055), (9, 503), (10, 239), (11, 94), (12, 40), (13, 13), (14, 7), (15, 2)] t=42s
[rand seed=3] checked=180000 bytau=[(1, 71353), (2, 44340), (3, 28247), (4, 16866), (5, 9377), (6, 5085), (7, 2507), (8, 1204), (9, 566), (10, 272), (11, 106), (12, 47), (13, 18), (14, 9), (15, 2), (16, 1)] t=47s
[rand seed=3] checked=200000 bytau=[(1, 79260), (2, 49221), (3, 31382), (4, 18776), (5, 10461), (6, 5663), (7, 2757), (8, 1354), (9, 630), (10, 297), (11, 114), (12, 55), (13, 18), (14, 9), (15, 2), (16, 1)] t=52s
[rand seed=3] checked=220000 bytau=[(1, 87207), (2, 54077), (3, 34468), (4, 20701), (5, 11543), (6, 6222), (7, 3033), (8, 1522), (9, 691), (10, 318), (11, 125), (12, 62), (13, 18), (14, 9), (15, 3), (16, 1)] t=57s
[rand seed=3] checked=240000 bytau=[(1, 95043), (2, 59004), (3, 37606), (4, 22603), (5, 12628), (6, 6803), (7, 3298), (8, 1660), (9, 758), (10, 348), (11, 143), (12, 66), (13, 22), (14, 13), (15, 4), (16, 1)] t=62s
[rand seed=3] checked=260000 bytau=[(1, 102799), (2, 63897), (3, 40768), (4, 24569), (5, 13753), (6, 7379), (7, 3571), (8, 1787), (9, 815), (10, 383), (11, 151), (12, 81), (13, 28), (14, 13), (15, 5), (16, 1)] t=68s
[rand seed=3] checked=280000 bytau=[(1, 110730), (2, 68743), (3, 43925), (4, 26458), (5, 14825), (6, 7959), (7, 3840), (8, 1933), (9, 876), (10, 412), (11, 161), (12, 85), (13, 32), (14, 15), (15, 5), (16, 1)] t=73s
[rand seed=3] checked=300000 bytau=[(1, 118672), (2, 73606), (3, 47070), (4, 28349), (5, 15894), (6, 8516), (7, 4130), (8, 2054), (9, 937), (10, 445), (11, 175), (12, 95), (13, 35), (14, 16), (15, 5), (16, 1)] t=78s
[rand seed=3] checked=320000 bytau=[(1, 126541), (2, 78433), (3, 50227), (4, 30291), (5, 16959), (6, 9100), (7, 4418), (8, 2201), (9, 994), (10, 479), (11, 187), (12, 107), (13, 39), (14, 18), (15, 5), (16, 1)] t=83s
[rand seed=3] checked=340000 bytau=[(1, 134583), (2, 83302), (3, 53291), (4, 32140), (5, 18065), (6, 9629), (7, 4679), (8, 2353), (9, 1069), (10, 514), (11, 198), (12, 113), (13, 40), (14, 18), (15, 5), (16, 1)] t=89s
[rand seed=3] checked=360000 bytau=[(1, 142559), (2, 88161), (3, 56461), (4, 33974), (5, 19148), (6, 10188), (7, 4942), (8, 2492), (9, 1131), (10, 543), (11, 211), (12, 121), (13, 44), (14, 19), (15, 5), (16, 1)] t=94s
[rand seed=3] checked=380000 bytau=[(1, 150449), (2, 93113), (3, 59579), (4, 35865), (5, 20234), (6, 10693), (7, 5229), (8, 2629), (9, 1207), (10, 573), (11, 224), (12, 131), (13, 48), (14, 19), (15, 5), (16, 2)] t=99s
[rand seed=3] checked=400000 bytau=[(1, 158435), (2, 98019), (3, 62637), (4, 37770), (5, 21306), (6, 11250), (7, 5510), (8, 2741), (9, 1274), (10, 604), (11, 240), (12, 135), (13, 53), (14, 19), (15, 5), (16, 2)] t=104s
[rand seed=3] checked=420000 bytau=[(1, 166288), (2, 102875), (3, 65838), (4, 39705), (5, 22370), (6, 11807), (7, 5801), (8, 2887), (9, 1328), (10, 628), (11, 252), (12, 141), (13, 53), (14, 20), (15, 5), (16, 2)] t=109s
[rand seed=3] checked=440000 bytau=[(1, 174240), (2, 107748), (3, 69012), (4, 41575), (5, 23437), (6, 12362), (7, 6076), (8, 3023), (9, 1383), (10, 655), (11, 263), (12, 144), (13, 54), (14, 21), (15, 5), (16, 2)] t=115s
[rand seed=3] checked=460000 bytau=[(1, 182084), (2, 112574), (3, 72247), (4, 43459), (5, 24485), (6, 12947), (7, 6364), (8, 3170), (9, 1460), (10, 689), (11, 281), (12, 153), (13, 56), (14, 23), (15, 6), (16, 2)] t=120s
[rand seed=3] checked=480000 bytau=[(1, 190043), (2, 117485), (3, 75338), (4, 45370), (5, 25552), (6, 13510), (7, 6625), (8, 3291), (9, 1521), (10, 715), (11, 296), (12, 157), (13, 60), (14, 28), (15, 6), (16, 3)] t=125s
[rand seed=3] checked=500000 bytau=[(1, 198099), (2, 122417), (3, 78411), (4, 47244), (5, 26591), (6, 14022), (7, 6882), (8, 3424), (9, 1579), (10, 748), (11, 318), (12, 164), (13, 63), (14, 29), (15, 6), (16, 3)] t=130s
[rand seed=3] checked=520000 bytau=[(1, 205976), (2, 127313), (3, 81564), (4, 49196), (5, 27634), (6, 14592), (7, 7147), (8, 3542), (9, 1647), (10, 785), (11, 331), (12, 170), (13, 65), (14, 29), (15, 6), (16, 3)] t=135s
[rand seed=3] checked=540000 bytau=[(1, 213855), (2, 132197), (3, 84763), (4, 51053), (5, 28725), (6, 15162), (7, 7412), (8, 3677), (9, 1716), (10, 816), (11, 342), (12, 176), (13, 68), (14, 29), (15, 6), (16, 3)] t=141s
[rand seed=3] checked=560000 bytau=[(1, 221797), (2, 137107), (3, 87920), (4, 52910), (5, 29812), (6, 15703), (7, 7672), (8, 3804), (9, 1777), (10, 849), (11, 353), (12, 185), (13, 71), (14, 31), (15, 6), (16, 3)] t=146s
[rand seed=3] checked=580000 bytau=[(1, 229675), (2, 142062), (3, 91074), (4, 54802), (5, 30805), (6, 16300), (7, 7960), (8, 3933), (9, 1840), (10, 874), (11, 367), (12, 190), (13, 76), (14, 31), (15, 6), (16, 5)] t=152s
[rand seed=3] checked=600000 bytau=[(1, 237485), (2, 146957), (3, 94300), (4, 56638), (5, 31900), (6, 16882), (7, 8260), (8, 4067), (9, 1907), (10, 902), (11, 384), (12, 197), (13, 78), (14, 31), (15, 6), (16, 6)] t=159s
[rand seed=3] checked=620000 bytau=[(1, 245449), (2, 151933), (3, 97380), (4, 58491), (5, 32962), (6, 17409), (7, 8521), (8, 4214), (9, 1980), (10, 928), (11, 403), (12, 205), (13, 78), (14, 34), (15, 6), (16, 6), (17, 1)] t=167s
[rand seed=3] checked=640000 bytau=[(1, 253459), (2, 156832), (3, 100494), (4, 60325), (5, 34022), (6, 17978), (7, 8787), (8, 4345), (9, 2042), (10, 954), (11, 418), (12, 214), (13, 82), (14, 35), (15, 6), (16, 6), (17, 1)] t=172s
[rand seed=3] checked=660000 bytau=[(1, 261450), (2, 161656), (3, 103690), (4, 62183), (5, 35074), (6, 18492), (7, 9082), (8, 4489), (9, 2120), (10, 981), (11, 426), (12, 222), (13, 83), (14, 39), (15, 6), (16, 6), (17, 1)] t=177s
[rand seed=3] checked=680000 bytau=[(1, 269341), (2, 166653), (3, 106820), (4, 64005), (5, 36103), (6, 19071), (7, 9387), (8, 4623), (9, 2186), (10, 1006), (11, 441), (12, 227), (13, 83), (14, 41), (15, 6), (16, 6), (17, 1)] t=183s
[rand seed=3] checked=700000 bytau=[(1, 277297), (2, 171588), (3, 109935), (4, 65908), (5, 37126), (6, 19584), (7, 9700), (8, 4757), (9, 2241), (10, 1043), (11, 453), (12, 229), (13, 85), (14, 41), (15, 6), (16, 6), (17, 1)] t=188s
[rand seed=3] checked=720000 bytau=[(1, 285199), (2, 176423), (3, 113069), (4, 67867), (5, 38207), (6, 20162), (7, 9978), (8, 4880), (9, 2296), (10, 1078), (11, 462), (12, 233), (13, 88), (14, 44), (15, 6), (16, 6), (17, 2)] t=194s
[rand seed=3] checked=740000 bytau=[(1, 293057), (2, 181305), (3, 116255), (4, 69769), (5, 39297), (6, 20692), (7, 10276), (8, 5016), (9, 2365), (10, 1105), (11, 471), (12, 240), (13, 92), (14, 45), (15, 7), (16, 6), (17, 2)] t=201s
[rand seed=3] checked=760000 bytau=[(1, 300946), (2, 186212), (3, 119440), (4, 71632), (5, 40346), (6, 21258), (7, 10585), (8, 5140), (9, 2418), (10, 1138), (11, 488), (12, 242), (13, 93), (14, 47), (15, 7), (16, 6), (17, 2)] t=207s
[rand seed=3] checked=780000 bytau=[(1, 308778), (2, 191191), (3, 122527), (4, 73522), (5, 41497), (6, 21783), (7, 10868), (8, 5269), (9, 2496), (10, 1161), (11, 503), (12, 248), (13, 95), (14, 47), (15, 7), (16, 6), (17, 2)] t=215s
[rand seed=3] checked=800000 bytau=[(1, 316738), (2, 196081), (3, 125617), (4, 75375), (5, 42600), (6, 22371), (7, 11140), (8, 5401), (9, 2562), (10, 1187), (11, 514), (12, 252), (13, 100), (14, 47), (15, 7), (16, 6), (17, 2)] t=222s
[rand seed=3] checked=820000 bytau=[(1, 324617), (2, 200990), (3, 128879), (4, 77276), (5, 43566), (6, 22916), (7, 11432), (8, 5546), (9, 2618), (10, 1211), (11, 526), (12, 258), (13, 100), (14, 48), (15, 8), (16, 7), (17, 2)] t=228s
