[mdag n=6 M=15 6/2] checked=200000 bytau=[(2, 182575), (3, 16085), (4, 1241), (5, 92), (6, 7)] t=125s
[mdag n=6 M=15 6/2] checked=400000 bytau=[(2, 355313), (3, 39859), (4, 3668), (5, 681), (6, 268), (7, 127), (8, 56), (9, 21), (10, 6), (11, 1)] t=206s
[mdag n=6 M=15 6/2] checked=600000 bytau=[(2, 529119), (3, 64249), (4, 5404), (5, 747), (6, 270), (7, 127), (8, 56), (9, 21), (10, 6), (11, 1)] t=300s
[mdag n=6 M=15 6/2] checked=800000 bytau=[(2, 703998), (3, 87661), (4, 6989), (5, 863), (6, 278), (7, 127), (8, 56), (9, 21), (10, 6), (11, 1)] t=386s
[mdag n=6 M=15 6/2] checked=1000000 bytau=[(2, 875635), (3, 114009), (4, 8854), (5, 1004), (6, 287), (7, 127), (8, 56), (9, 21), (10, 6), (11, 1)] t=475s
[mdag n=6 M=15 6/2] checked=1200000 bytau=[(2, 1027355), (3, 154240), (4, 15556), (5, 2182), (6, 451), (7, 132), (8, 56), (9, 21), (10, 6), (11, 1)] t=542s
[mdag n=6 M=15 6/2] checked=1400000 bytau=[(2, 1171412), (3, 198682), (4, 24509), (5, 4189), (6, 860), (7, 227), (8, 85), (9, 28), (10, 7), (11, 1)] t=593s
[mdag n=6 M=15 6/2] checked=1600000 bytau=[(2, 1311693), (3, 250015), (4, 32319), (5, 4747), (6, 878), (7, 227), (8, 85), (9, 28), (10, 7), (11, 1)] t=642s
[mdag n=6 M=15 6/2] checked=1800000 bytau=[(2, 1455572), (3, 294640), (4, 40759), (5, 6781), (6, 1539), (7, 480), (8, 169), (9, 49), (10, 10), (11, 1)] t=701s
[mdag n=6 M=15 6/2] checked=2000000 bytau=[(2, 1593934), (3, 344217), (4, 50355), (5, 8552), (6, 1993), (7, 648), (8, 225), (9, 63), (10, 12), (11, 1)] t=766s
[mdag n=6 M=15 6/2] checked=2200000 bytau=[(2, 1732364), (3, 394488), (4, 59817), (5, 9999), (6, 2256), (7, 738), (8, 254), (9, 70), (10, 13), (11, 1)] t=808s
[mdag n=6 M=15 6/2] checked=2400000 bytau=[(2, 1889620), (3, 433945), (4, 62994), (5, 10107), (6, 2258), (7, 738), (8, 254), (9, 70), (10, 13), (11, 1)] t=868s
