[dagrand seed=52] checked=20000 bytau=[(2, 10060), (3, 5349), (4, 2607), (5, 1173), (6, 464), (7, 225), (8, 83), (9, 19), (10, 11), (11, 6), (12, 2), (13, 1)] t=27s
[dagrand seed=52] checked=40000 bytau=[(2, 20371), (3, 10584), (4, 5155), (5, 2300), (6, 926), (7, 422), (8, 151), (9, 52), (10, 19), (11, 14), (12, 3), (13, 2), (14, 1)] t=49s
[dagrand seed=52] checked=60000 bytau=[(2, 30511), (3, 15874), (4, 7748), (5, 3459), (6, 1435), (7, 609), (8, 223), (9, 79), (10, 33), (11, 19), (12, 3), (13, 3), (14, 2), (15, 2)] t=73s
[dagrand seed=52] checked=80000 bytau=[(2, 40636), (3, 21223), (4, 10375), (5, 4612), (6, 1865), (7, 796), (8, 306), (9, 98), (10, 48), (11, 24), (12, 5), (13, 6), (14, 3), (15, 2), (19, 1)] t=97s
[dagrand seed=52] checked=100000 bytau=[(2, 50915), (3, 26452), (4, 12966), (5, 5705), (6, 2333), (7, 1006), (8, 382), (9, 131), (10, 64), (11, 27), (12, 5), (13, 6), (14, 5), (15, 2), (19, 1)] t=123s
[dagrand seed=52] checked=120000 bytau=[(2, 61163), (3, 31805), (4, 15442), (5, 6862), (6, 2787), (7, 1209), (8, 451), (9, 155), (10, 76), (11, 28), (12, 8), (13, 6), (14, 5), (15, 2), (19, 1)] t=148s
[dagrand seed=52] checked=140000 bytau=[(2, 71246), (3, 37214), (4, 18045), (5, 7961), (6, 3250), (7, 1418), (8, 543), (9, 180), (10, 86), (11, 32), (12, 10), (13, 7), (14, 5), (15, 2), (19, 1)] t=175s
[dagrand seed=52] checked=160000 bytau=[(2, 81317), (3, 42614), (4, 20663), (5, 9084), (6, 3715), (7, 1595), (8, 641), (9, 209), (10, 98), (11, 34), (12, 12), (13, 7), (14, 7), (15, 3), (19, 1)] t=202s
[dagrand seed=52] checked=180000 bytau=[(2, 91458), (3, 47953), (4, 23253), (5, 10175), (6, 4236), (7, 1784), (8, 719), (9, 237), (10, 110), (11, 40), (12, 13), (13, 11), (14, 7), (15, 3), (19, 1)] t=230s
[dagrand seed=52] checked=200000 bytau=[(2, 101562), (3, 53325), (4, 25900), (5, 11314), (6, 4669), (7, 1971), (8, 790), (9, 256), (10, 122), (11, 51), (12, 16), (13, 11), (14, 8), (15, 4), (19, 1)] t=255s
[dagrand seed=52] checked=220000 bytau=[(2, 111673), (3, 58759), (4, 28444), (5, 12452), (6, 5140), (7, 2159), (8, 861), (9, 282), (10, 130), (11, 54), (12, 21), (13, 11), (14, 9), (15, 4), (19, 1)] t=280s
[dagrand seed=52] checked=240000 bytau=[(2, 121900), (3, 64053), (4, 30987), (5, 13604), (6, 5621), (7, 2335), (8, 935), (9, 316), (10, 140), (11, 61), (12, 23), (13, 11), (14, 9), (15, 4), (19, 1)] t=307s
[dagrand seed=52] checked=260000 bytau=[(2, 132007), (3, 69375), (4, 33551), (5, 14811), (6, 6111), (7, 2524), (8, 1016), (9, 336), (10, 152), (11, 67), (12, 25), (13, 11), (14, 9), (15, 4), (19, 1)] t=336s
[dagrand seed=52] checked=280000 bytau=[(2, 142189), (3, 74604), (4, 36132), (5, 16017), (6, 6565), (7, 2728), (8, 1104), (9, 375), (10, 161), (11, 70), (12, 28), (13, 11), (14, 10), (15, 5), (19, 1)] t=360s
[dagrand seed=52] checked=300000 bytau=[(2, 152382), (3, 79938), (4, 38682), (5, 17135), (6, 7050), (7, 2929), (8, 1176), (9, 400), (10, 176), (11, 72), (12, 32), (13, 12), (14, 10), (15, 5), (19, 1)] t=385s
[dagrand seed=52] checked=320000 bytau=[(2, 162449), (3, 85229), (4, 41287), (5, 18366), (6, 7531), (7, 3126), (8, 1253), (9, 431), (10, 188), (11, 76), (12, 35), (13, 12), (14, 10), (15, 6), (19, 1)] t=412s
[dagrand seed=52] checked=340000 bytau=[(2, 172576), (3, 90492), (4, 43881), (5, 19503), (6, 8056), (7, 3322), (8, 1350), (9, 468), (10, 201), (11, 78), (12, 38), (13, 15), (14, 11), (15, 6), (16, 2), (19, 1)] t=439s
[dagrand seed=52] checked=360000 bytau=[(2, 182734), (3, 95834), (4, 46519), (5, 20596), (6, 8525), (7, 3511), (8, 1411), (9, 493), (10, 218), (11, 81), (12, 41), (13, 16), (14, 11), (15, 6), (16, 2), (17, 1), (19, 1)] t=464s
[dagrand seed=52] checked=380000 bytau=[(2, 192892), (3, 101166), (4, 49118), (5, 21701), (6, 9002), (7, 3707), (8, 1498), (9, 523), (10, 228), (11, 84), (12, 44), (13, 16), (14, 11), (15, 6), (16, 2), (17, 1), (19, 1)] t=492s
[dagrand seed=52] checked=400000 bytau=[(2, 202953), (3, 106547), (4, 51715), (5, 22827), (6, 9503), (7, 3899), (8, 1583), (9, 557), (10, 243), (11, 87), (12, 45), (13, 18), (14, 12), (15, 7), (16, 2), (17, 1), (19, 1)] t=517s
[dagrand seed=52] checked=420000 bytau=[(2, 213052), (3, 111921), (4, 54270), (5, 23942), (6, 10018), (7, 4103), (8, 1672), (9, 588), (10, 254), (11, 92), (12, 46), (13, 19), (14, 12), (15, 7), (16, 2), (17, 1), (19, 1)] t=543s
[dagrand seed=52] checked=440000 bytau=[(2, 223108), (3, 117275), (4, 56906), (5, 25110), (6, 10471), (7, 4306), (8, 1752), (9, 621), (10, 265), (11, 94), (12, 47), (13, 21), (14, 13), (15, 7), (16, 2), (17, 1), (19, 1)] t=565s
[dagrand seed=52] checked=460000 bytau=[(2, 233314), (3, 122602), (4, 59426), (5, 26255), (6, 10948), (7, 4503), (8, 1834), (9, 648), (10, 274), (11, 97), (12, 52), (13, 22), (14, 13), (15, 8), (16, 2), (17, 1), (19, 1)] t=586s
[dagrand seed=52] checked=480000 bytau=[(2, 243446), (3, 127882), (4, 61993), (5, 27418), (6, 11451), (7, 4716), (8, 1914), (9, 690), (10, 286), (11, 104), (12, 53), (13, 22), (14, 13), (15, 8), (16, 2), (17, 1), (19, 1)] t=601s
[dagrand seed=52] checked=500000 bytau=[(2, 253616), (3, 133224), (4, 64578), (5, 28525), (6, 11924), (7, 4909), (8, 2003), (9, 717), (10, 293), (11, 109), (12, 54), (13, 23), (14, 13), (15, 8), (16, 2), (17, 1), (19, 1)] t=616s
[dagrand seed=52] checked=520000 bytau=[(2, 263766), (3, 138546), (4, 67165), (5, 29690), (6, 12383), (7, 5113), (8, 2074), (9, 735), (10, 309), (11, 113), (12, 55), (13, 25), (14, 14), (15, 8), (16, 2), (17, 1), (19, 1)] t=631s
[dagrand seed=52] checked=540000 bytau=[(2, 273879), (3, 143867), (4, 69829), (5, 30804), (6, 12864), (7, 5309), (8, 2143), (9, 762), (10, 314), (11, 118), (12, 58), (13, 27), (14, 14), (15, 8), (16, 2), (17, 1), (19, 1)] t=646s
[dagrand seed=52] checked=560000 bytau=[(2, 284113), (3, 149131), (4, 72388), (5, 31904), (6, 13347), (7, 5515), (8, 2244), (9, 793), (10, 328), (11, 120), (12, 60), (13, 30), (14, 15), (15, 8), (16, 2), (17, 1), (19, 1)] t=661s
[dagrand seed=52] checked=580000 bytau=[(2, 294315), (3, 154355), (4, 74991), (5, 33054), (6, 13848), (7, 5718), (8, 2321), (9, 814), (10, 342), (11, 124), (12, 61), (13, 30), (14, 15), (15, 8), (16, 2), (17, 1), (19, 1)] t=676s
[dagrand seed=52] checked=600000 bytau=[(2, 304500), (3, 159679), (4, 77559), (5, 34170), (6, 14312), (7, 5924), (8, 2402), (9, 849), (10, 356), (11, 126), (12, 64), (13, 31), (14, 16), (15, 8), (16, 2), (17, 1), (19, 1)] t=691s
[dagrand seed=52] checked=620000 bytau=[(2, 314634), (3, 165030), (4, 80079), (5, 35334), (6, 14817), (7, 6116), (8, 2470), (9, 892), (10, 370), (11, 132), (12, 66), (13, 31), (14, 17), (15, 8), (16, 2), (17, 1), (19, 1)] t=706s
[dagrand seed=52] checked=640000 bytau=[(2, 324868), (3, 170274), (4, 82697), (5, 36472), (6, 15285), (7, 6290), (8, 2551), (9, 917), (10, 380), (11, 137), (12, 67), (13, 32), (14, 18), (15, 8), (16, 2), (17, 1), (19, 1)] t=721s
