[dagrand seed=21] checked=20000 bytau=[(2, 5234), (3, 3748), (4, 2796), (5, 1863), (6, 1500), (7, 1169), (8, 1006), (9, 774), (10, 605), (11, 424), (12, 319), (13, 236), (14, 141), (15, 86), (16, 62), (17, 27), (18, 8), (19, 1), (20, 1)] t=48s
[dagrand seed=21] checked=40000 bytau=[(2, 10469), (3, 7503), (4, 5591), (5, 3712), (6, 3004), (7, 2402), (8, 1965), (9, 1498), (10, 1185), (11, 906), (12, 661), (13, 452), (14, 292), (15, 167), (16, 108), (17, 52), (18, 22), (19, 4), (20, 5), (21, 2)] t=96s
[dagrand seed=21] checked=60000 bytau=[(2, 15725), (3, 11270), (4, 8436), (5, 5622), (6, 4450), (7, 3556), (8, 2929), (9, 2235), (10, 1748), (11, 1363), (12, 987), (13, 673), (14, 437), (15, 266), (16, 162), (17, 83), (18, 35), (19, 12), (20, 8), (21, 3)] t=136s
[dagrand seed=21] checked=80000 bytau=[(2, 20996), (3, 14956), (4, 11268), (5, 7467), (6, 5970), (7, 4745), (8, 3877), (9, 3004), (10, 2316), (11, 1800), (12, 1334), (13, 901), (14, 589), (15, 365), (16, 217), (17, 120), (18, 46), (19, 15), (20, 10), (21, 3), (22, 1)] t=175s
[dagrand seed=21] checked=100000 bytau=[(2, 26238), (3, 18633), (4, 14080), (5, 9330), (6, 7472), (7, 5990), (8, 4841), (9, 3745), (10, 2902), (11, 2242), (12, 1659), (13, 1111), (14, 777), (15, 453), (16, 276), (17, 149), (18, 59), (19, 25), (20, 13), (21, 3), (22, 1), (23, 1)] t=215s
[dagrand seed=21] checked=120000 bytau=[(2, 31489), (3, 22407), (4, 16870), (5, 11258), (6, 8915), (7, 7190), (8, 5795), (9, 4482), (10, 3493), (11, 2667), (12, 2003), (13, 1343), (14, 924), (15, 527), (16, 319), (17, 189), (18, 77), (19, 29), (20, 16), (21, 5), (22, 1), (23, 1)] t=255s
[dagrand seed=21] checked=140000 bytau=[(2, 36740), (3, 26174), (4, 19644), (5, 13143), (6, 10429), (7, 8398), (8, 6709), (9, 5196), (10, 4086), (11, 3108), (12, 2336), (13, 1563), (14, 1092), (15, 625), (16, 379), (17, 219), (18, 92), (19, 40), (20, 18), (21, 7), (22, 1), (23, 1)] t=293s
[dagrand seed=21] checked=160000 bytau=[(2, 42000), (3, 29797), (4, 22485), (5, 15076), (6, 11984), (7, 9640), (8, 7629), (9, 5887), (10, 4659), (11, 3551), (12, 2679), (13, 1790), (14, 1249), (15, 712), (16, 423), (17, 249), (18, 107), (19, 50), (20, 21), (21, 8), (22, 2), (23, 2)] t=332s
[dagrand seed=21] checked=180000 bytau=[(2, 47259), (3, 33436), (4, 25297), (5, 16983), (6, 13495), (7, 10881), (8, 8616), (9, 6635), (10, 5242), (11, 3983), (12, 3001), (13, 1994), (14, 1400), (15, 783), (16, 490), (17, 279), (18, 132), (19, 55), (20, 23), (21, 12), (22, 2), (23, 2)] t=378s
[dagrand seed=21] checked=200000 bytau=[(2, 52622), (3, 37237), (4, 28075), (5, 18783), (6, 15024), (7, 12056), (8, 9568), (9, 7333), (10, 5801), (11, 4394), (12, 3329), (13, 2233), (14, 1553), (15, 872), (16, 552), (17, 310), (18, 149), (19, 64), (20, 28), (21, 12), (22, 3), (23, 2)] t=424s
[dagrand seed=21] checked=220000 bytau=[(2, 57934), (3, 41019), (4, 30899), (5, 20637), (6, 16508), (7, 13230), (8, 10483), (9, 8083), (10, 6385), (11, 4799), (12, 3650), (13, 2460), (14, 1706), (15, 965), (16, 615), (17, 342), (18, 163), (19, 70), (20, 32), (21, 12), (22, 5), (23, 3)] t=465s
[dagrand seed=21] checked=240000 bytau=[(2, 63291), (3, 44757), (4, 33709), (5, 22532), (6, 18008), (7, 14395), (8, 11405), (9, 8818), (10, 6962), (11, 5217), (12, 3932), (13, 2688), (14, 1862), (15, 1072), (16, 669), (17, 372), (18, 181), (19, 73), (20, 35), (21, 14), (22, 5), (23, 3)] t=503s
[dagrand seed=21] checked=260000 bytau=[(2, 68605), (3, 48441), (4, 36643), (5, 24440), (6, 19527), (7, 15540), (8, 12377), (9, 9516), (10, 7534), (11, 5609), (12, 4255), (13, 2897), (14, 2001), (15, 1163), (16, 734), (17, 394), (18, 191), (19, 75), (20, 36), (21, 14), (22, 5), (23, 3)] t=542s
[dagrand seed=21] checked=280000 bytau=[(2, 73833), (3, 52184), (4, 39491), (5, 26265), (6, 21035), (7, 16797), (8, 13361), (9, 10215), (10, 8110), (11, 6043), (12, 4574), (13, 3121), (14, 2154), (15, 1252), (16, 793), (17, 428), (18, 203), (19, 79), (20, 37), (21, 17), (22, 5), (23, 3)] t=597s
[dagrand seed=21] checked=300000 bytau=[(2, 79051), (3, 55959), (4, 42339), (5, 28214), (6, 22497), (7, 17989), (8, 14314), (9, 10940), (10, 8670), (11, 6480), (12, 4888), (13, 3344), (14, 2295), (15, 1368), (16, 832), (17, 455), (18, 219), (19, 83), (20, 37), (21, 17), (22, 6), (23, 3)] t=645s
[dagrand seed=21] checked=320000 bytau=[(2, 84348), (3, 59715), (4, 45219), (5, 30076), (6, 24011), (7, 19163), (8, 15234), (9, 11706), (10, 9256), (11, 6886), (12, 5175), (13, 3549), (14, 2446), (15, 1455), (16, 896), (17, 477), (18, 239), (19, 85), (20, 38), (21, 17), (22, 6), (23, 3)] t=683s
[dagrand seed=21] checked=340000 bytau=[(2, 89643), (3, 63389), (4, 48072), (5, 31965), (6, 25544), (7, 20361), (8, 16161), (9, 12455), (10, 9799), (11, 7346), (12, 5466), (13, 3798), (14, 2573), (15, 1557), (16, 957), (17, 502), (18, 251), (19, 92), (20, 40), (21, 20), (22, 6), (23, 3)] t=724s
