g6	n	Delta	delta	maxm	minm	alo	ahi	nok	interval	L
GEnffw	8	6	4	5.0	4.333333333333333	0.23500000000000001	1.0	154	1	10.501097383068725
GEnffs	8	6	3	5.0	4.333333333333333	0.22	1.0	157	1	10.624795462745395
GEnffk	8	6	3	5.0	4.5	0.22	1.0	157	1	10.624795462745395
GEnff[	8	6	4	4.75	4.333333333333333	0.23500000000000001	1.0	154	1	10.501097383068725
GEnff{	8	7	4	5.25	4.428571428571429	0.155	1.0	170	1	11.623204279555777
GEnbvG	8	4	4	4.0	4.0	0.0	1.0	201	1	8.0
GEnbvo	8	5	3	4.5	4.0	0.28	1.0	145	1	9.651500150000295
GEnbrw	8	5	3	4.666666666666667	4.0	0.28500000000000003	0.895	123	1	9.582108683804478
GEnbus	8	5	3	4.6	3.6666666666666665	0.27	0.935	134	1	9.779571911772187
GEnbvw	8	6	4	5.0	4.333333333333333	0.23500000000000001	1.0	154	1	10.501097383068725
GEnbvs	8	6	3	4.8	4.0	0.22	1.0	157	1	10.624795462745395
GEnbu{	8	6	3	5.0	4.25	0.22	1.0	157	1	10.624795462745395
GEnbv{	8	7	4	5.25	4.428571428571429	0.155	1.0	170	1	11.623204279555777
GEnfvw	8	6	4	5.0	4.5	0.21	1.0	159	1	10.687559162994305
GEnfvs	8	6	3	5.2	4.333333333333333	0.24	1.0	153	1	11.402860899930843
GEnfu{	8	6	3	5.25	4.5	0.24	0.86	125	1	11.34710763031172
GEnfr{	8	6	4	5.25	4.5	0.245	1.0	152	1	11.289010404005062
GEnfv{	8	7	4	5.5	4.714285714285714	0.215	1.0	158	1	12.23833626190138
GEnfnw	8	6	4	5.25	4.5	0.21	1.0	159	1	10.687559162994305
GEnfns	8	6	4	5.25	4.666666666666667	0.245	1.0	152	1	11.289010404005062
GEnfnk	8	6	3	5.5	4.666666666666667	0.24	1.0	153	1	11.402860899930843
GEnfn[	8	6	4	5.25	4.666666666666667	0.245	1.0	152	1	11.289010404005062
GEnfm{	8	6	3	5.5	4.666666666666667	0.24	0.86	125	1	11.34710763031172
GEnfl{	8	6	3	5.333333333333333	4.666666666666667	0.24	0.8200000000000001	117	1	11.34710763031172
GEnfj{	8	6	4	5.5	4.666666666666667	0.245	1.0	152	1	11.289010404005062
GEnfn{	8	7	4	5.75	4.714285714285714	0.215	1.0	158	1	12.23833626190138
GEne~w	8	6	3	5.333333333333333	4.5	0.19	0.705	104	1	10.74731181092373
GEne}{	8	6	2	5.5	4.6	0.23	0.73	101	1	11.50789145920377
GEne|{	8	6	3	5.4	4.6	0.24	0.77	107	1	11.402860899930843
GEne~{	8	7	3	5.75	4.714285714285714	0.21	0.725	104	1	12.295162040773478
GEnb~g	8	5	4	5.0	4.4	0.28	1.0	145	1	9.651500150000295
GEnb~w	8	6	4	5.25	4.5	0.22	1.0	157	1	10.624795462745395
GEnb}{	8	6	3	5.5	4.6	0.24	0.8200000000000001	117	1	11.34710763031172
GEnbz{	8	6	3	5.5	4.6	0.24	1.0	153	1	11.402860899930843
GEnb~{	8	7	4	5.75	4.714285714285714	0.215	1.0	158	1	12.23833626190138
GEnf~w	8	6	4	5.5	4.666666666666667	0.165	0.975	163	1	10.84973902410133
GEnf~{	8	7	4	6.0	5.0	0.215	1.0	158	1	13.027239001672177
GEnvVo	8	5	4	4.6	4.5	0.27	1.0	147	1	9.779571911772187
GEnvVW	8	5	4	4.75	4.4	0.27	1.0	147	1	9.779571911772187
GEnvUw	8	5	3	4.8	4.25	0.26	0.905	130	1	9.895146188218007
GEnvTw	8	5	3	4.8	4.25	0.26	0.805	110	1	9.895146188218007
GEnvRw	8	5	4	4.75	4.25	0.27	1.0	147	1	9.779571911772187
GEnvTk	8	5	3	5.0	4.2	0.26	0.835	116	1	9.895146188218007
GEnvRk	8	5	4	5.0	4.2	0.275	0.9550000000000001	137	1	9.71722460186015
GEnvS{	8	5	3	5.0	4.2	0.0	0.785	158	1	10.0
GEnvQ{	8	5	3	5.0	4.2	0.265	0.8150000000000001	111	1	9.838801471566828
GEnvVw	8	6	4	5.0	4.5	0.20500000000000002	1.0	160	1	10.737552722942901
GEnvVk	8	6	4	5.25	4.6	0.20500000000000002	1.0	160	1	10.737552722942901
GEnvU{	8	6	3	5.25	4.6	0.18	0.9550000000000001	156	1	10.840784379145223
GEnvR{	8	6	4	5.25	4.6	0.22	1.0	157	1	10.67731379217597
GEnvV{	8	7	4	5.5	4.714285714285714	0.105	1.0	180	1	11.830196761081739
GEnvvw	8	6	4	5.5	4.8	0.23500000000000001	1.0	154	1	11.456412047576993
GEnvvs	8	6	4	5.5	4.75	0.23	1.0	155	1	11.50789145920377
GEnvv{	8	7	4	6.0	5.0	0.2	1.0	161	1	12.438761513488267
GEnvnw	8	6	4	5.75	4.833333333333333	0.23	1.0	155	1	11.50789145920377
GEnvnk	8	6	3	6.0	5.0	0.225	0.795	115	1	11.605106168915002
GEnvn[	8	6	4	5.75	4.833333333333333	0.23	1.0	155	1	11.50789145920377
GEnvn{	8	7	4	6.25	5.0	0.2	1.0	161	1	12.438761513488267
GEnv^w	8	6	4	5.5	4.8	0.24	1.0	153	1	11.402860899930843
GEnv]{	8	6	3	5.75	4.833333333333333	0.23	0.76	107	1	11.50789145920377
GEnvZ{	8	6	4	5.75	4.833333333333333	0.23500000000000001	1.0	154	1	11.456412047576993
GEnv^{	8	7	4	6.0	5.0	0.20500000000000002	1.0	160	1	12.387571388166837
GEnv~{	8	7	4	6.5	5.285714285714286	0.20500000000000002	1.0	160	1	13.217746557924984
GEl~vw	8	6	4	5.75	4.8	0.23	1.0	155	1	11.50789145920377
GEl~vs	8	6	4	6.0	5.0	0.23	1.0	155	1	11.50789145920377
GEl~v{	8	7	4	6.25	5.0	0.2	1.0	161	1	12.438761513488267
GEl}~w	8	6	3	6.0	4.833333333333333	0.23	0.6950000000000001	94	1	11.557419227756098
GEl}~s	8	6	3	6.0	4.833333333333333	0.225	0.73	102	1	11.605106168915002
GEl}}{	8	6	2	6.0	5.0	0.22	0.52	61	1	11.695359714832659
GEl}~{	8	7	3	6.333333333333333	5.0	0.195	0.63	88	1	12.488088481701515
GEl~~{	8	7	4	6.5	5.285714285714286	0.20500000000000002	1.0	160	1	13.217746557924984
GEn~vw	8	6	4	5.8	5.0	0.22	0.93	143	1	11.695359714832659
GEn~vk	8	6	4	6.0	5.0	0.225	0.84	124	1	11.651054716602593
GEn~r{	8	6	4	6.0	5.0	0.22	0.865	130	1	11.695359714832659
GEn~v{	8	7	4	6.25	5.285714285714286	0.185	0.9	144	1	12.613363192733468
GEn~~{	8	7	4	6.75	5.571428571428571	0.2	0.925	146	1	13.38600130164342
GE~vvs	8	6	4	5.6	5.0	0.22	1.0	157	1	11.695359714832659
GE~vv[	8	6	4	5.75	5.0	0.225	1.0	156	1	11.605106168915002
GE~vv{	8	7	4	6.0	5.285714285714286	0.185	0.965	157	1	12.613363192733468
GE~v~{	8	7	4	6.5	5.571428571428571	0.2	0.97	155	1	13.38600130164342
GE~~~{	8	7	4	7.0	5.857142857142857	0.19	0.81	125	1	13.535734512015578
GFzfvo	8	5	3	5.0	4.6	0.0	0.785	158	1	10.0
GFzfuw	8	5	4	4.8	4.75	0.26	1.0	149	1	9.895146188218007
GFzfvw	8	6	4	5.25	4.833333333333333	0.18	1.0	165	1	10.840784379145223
GFzfvs	8	6	3	5.4	5.0	0.225	1.0	156	1	11.605106168915002
GFzfvk	8	6	4	5.4	5.0	0.23	1.0	155	1	11.50789145920377
GFzfu{	8	6	4	5.2	5.0	0.23	1.0	155	1	11.50789145920377
GFzfv{	8	7	4	5.6	5.0	0.2	1.0	161	1	12.438761513488267
GFzf~w	8	6	5	5.4	5.0	0.125	1.0	176	1	10.935667509825656
GFzf~{	8	7	5	5.8	5.285714285714286	0.20500000000000002	1.0	160	1	13.217746557924984
GFzvVo	8	5	4	5.0	4.6	0.255	0.9500000000000001	140	1	9.948815853282031
GFzvVg	8	5	4	5.0	4.6	0.0	1.0	201	1	10.0
GFzvUw	8	5	4	5.0	4.6	0.255	1.0	150	1	9.948815853282031
GFzvS{	8	5	4	5.0	4.6	0.0	1.0	201	1	10.0
GFzvVw	8	6	4	5.2	5.0	0.165	1.0	168	1	10.884884719037622
GFzvU{	8	6	4	5.2	5.0	0.165	1.0	168	1	10.884884719037622
GFzvV{	8	7	5	5.4	5.0	0.075	1.0	186	1	11.90726229358273
GFzvvW	8	5	5	5.0	5.0	0.0	1.0	201	1	10.0
GFzvvw	8	6	5	5.4	5.166666666666667	0.225	1.0	156	1	11.605106168915002
GFzvu{	8	6	4	5.6	5.166666666666667	0.225	1.0	156	1	11.651054716602593
GFzvv{	8	7	5	5.8	5.285714285714286	0.19	1.0	163	1	12.568602757148676
GFzvnw	8	6	4	5.4	5.166666666666667	0.22	1.0	157	1	11.695359714832659
GFzvnk	8	6	3	5.5	5.0	0.215	0.9550000000000001	149	1	11.779384624625601
GFzvn{	8	7	4	5.8	5.285714285714286	0.185	1.0	164	1	12.613363192733468
GFzv~{	8	7	5	6.2	5.571428571428571	0.2	1.0	161	1	13.38600130164342
GFz~vw	8	6	5	5.8	5.333333333333333	0.215	1.0	158	1	11.779384624625601
GFz~u{	8	6	4	6.0	5.333333333333333	0.215	0.9	138	1	11.779384624625601
GFz~v{	8	7	5	6.2	5.571428571428571	0.18	1.0	165	1	12.686598609029371
GFz~~{	8	7	5	6.6	5.857142857142857	0.19	1.0	163	1	13.535734512015578
GF~~~{	8	7	5	7.0	6.142857142857143	0.185	1.0	164	1	13.669877741931487
GQhTV_	8	4	2	3.6666666666666665	3.0	0.38	1.0	125	1	7.606119105813881
