g6	n	Delta	delta	maxm	minm	alo	ahi	nok	interval	L
Bw	3	2	2	2.0	2.0	0.0	1.0	201	1	4.0
C]	4	2	2	2.0	2.0	0.0	1.0	201	1	4.0
C^	4	3	2	3.0	2.3333333333333335	0.375	0.93	112	1	5.464101615137755
C~	4	3	3	3.0	3.0	0.0	1.0	201	1	6.0
DFw	5	3	2	3.0	2.0	0.0	1.0	201	1	5.286335345030997
DF{	5	4	2	4.0	2.5	0.31	0.935	126	1	6.930283187372943
DQ{	5	4	2	3.0	2.0	0.0	1.0	201	1	6.2895221179054435
DUW	5	2	2	2.0	2.0	0.0	1.0	201	1	4.0
DUw	5	3	2	3.0	2.3333333333333335	0.375	0.93	112	1	5.464101615137755
DU{	5	4	2	3.5	2.5	0.155	0.965	163	1	6.760952285695233
DV{	5	4	2	4.0	3.0	0.43	0.585	32	1	7.0709255283711
D]w	5	3	2	3.0	2.6666666666666665	0.0	1.0	201	1	6.0
D]{	5	4	3	3.3333333333333335	3.0	0.25	1.0	151	1	6.8666426339228765
D^{	5	4	3	4.0	3.5	0.38	0.915	108	1	7.606119105813881
D~{	5	4	4	4.0	4.0	0.0	1.0	201	1	8.0
E?~o	6	4	2	4.0	2.0	0.0	1.0	201	1	6.760952285695233
E?~w	6	5	2	5.0	2.6	0.27	0.9400000000000001	135	1	8.399013081800398
ECZo	6	4	2	3.0	2.0	0.0	1.0	201	1	6.2895221179054435
ECZw	6	5	2	4.0	2.2	0.0	1.0	201	1	8.016107411532541
ECxo	6	3	2	3.0	2.0	0.0	1.0	201	1	5.286335345030997
ECzo	6	4	2	3.5	2.25	0.17500000000000002	0.92	150	1	6.662524041201569
ECxw	6	4	2	4.0	2.5	0.31	0.935	126	1	6.930283187372943
ECzw	6	5	2	4.5	2.6	0.18	0.985	162	1	8.282100662389482
EC~o	6	4	2	4.0	2.5	0.075	0.715	129	1	6.930283187372943
EC~w	6	5	2	5.0	3.0	0.325	0.635	63	1	8.48074069840786
EEh_	6	2	2	2.0	2.0	0.0	1.0	201	1	4.0
EEj_	6	3	2	2.5	2.3333333333333335	0.585	1.0	84	1	5.184011783031394
EEho	6	3	2	3.0	2.0	0.375	0.93	112	1	5.464101615137755
EEjo	6	4	2	3.5	2.5	0.155	0.965	163	1	6.760952285695233
EEhw	6	4	2	3.5	2.5	0.13	1.0	175	1	6.760952285695233
EEjw	6	5	2	4.0	2.6	0.0	1.0	201	1	8.144719339203032
EEz_	6	3	2	3.0	2.6666666666666665	0.5700000000000001	0.645	16	1	5.613699424331216
EEzo	6	4	2	3.5	2.6666666666666665	0.17	0.72	111	1	6.849742261192857
EEzg	6	4	2	4.0	3.0	0.43	0.585	32	1	7.0709255283711
EEzw	6	5	2	4.5	3.0	0.20500000000000002	0.65	90	1	8.377042156569665
EEno	6	4	2	4.0	2.75	0.375	0.585	43	1	7.0709255283711
EElw	6	4	2	4.0	3.0	0.43	0.585	32	1	7.0709255283711
EEnw	6	5	2	4.5	3.0	0.23	0.65	85	1	8.377042156569665
EE~w	6	5	2	5.0	3.4	0.355	0.555	41	1	8.721344403334447
EFz_	6	3	3	3.0	3.0	0.0	1.0	201	1	6.0
EFzo	6	4	3	3.6666666666666665	3.0	0.41000000000000003	1.0	119	1	7.349334969450372
EFzW	6	4	2	4.0	3.0	0.41000000000000003	0.54	27	1	7.349334969450372
EFzw	6	5	3	4.333333333333333	3.4	0.28	1.0	145	1	8.400431019968835
EF~w	6	5	3	5.0	3.8	0.32	0.885	114	1	9.167176644441769
EQjO	6	3	2	2.5	2.3333333333333335	0.585	1.0	84	1	5.184011783031394
EQjo	6	4	2	3.0	2.5	0.295	1.0	142	1	6.552721463835969
EQjw	6	5	2	3.6666666666666665	2.6	0.015	1.0	198	1	7.980843736738044
EQzO	6	3	2	3.0	2.6666666666666665	0.5700000000000001	0.645	16	1	5.613699424331216
EQzo	6	4	2	3.5	2.75	0.17	0.72	111	1	6.849742261192857
EQzW	6	4	2	3.5	3.0	0.45	0.645	40	1	7.033222956847167
EQyw	6	4	2	3.6666666666666665	3.0	0.45	0.745	60	1	7.033222956847167
EQzw	6	5	2	4.0	3.0	0.275	0.655	77	1	8.25642526870234
EQ~o	6	4	3	3.6666666666666665	3.0	0.0	0.78	157	1	7.0199601592044525
EQ~w	6	5	3	4.333333333333333	3.4	0.355	1.0	130	1	8.721344403334447
EUZ_	6	3	2	3.0	2.3333333333333335	0.53	0.835	62	1	5.819454842528923
EUZO	6	3	2	3.0	2.5	0.0	1.0	201	1	6.0
EUZo	6	4	2	3.3333333333333335	3.0	0.25	1.0	151	1	6.8666426339228765
EUZw	6	5	3	3.6666666666666665	3.0	0.0	1.0	201	1	8.0
EUxo	6	3	3	3.0	3.0	0.0	1.0	201	1	6.0
EUzo	6	4	3	3.6666666666666665	3.25	0.41000000000000003	1.0	119	1	7.349334969450372
EUzW	6	4	2	4.0	3.25	0.395	0.645	51	1	7.483983413001363
EUzw	6	5	3	4.333333333333333	3.4	0.305	1.0	140	1	8.422207972711195
EU~w	6	5	3	4.666666666666667	3.8	0.32	1.0	137	1	9.167176644441769
ETzo	6	4	2	4.0	3.25	0.38	0.765	78	1	7.606119105813881
ETzg	6	4	2	4.0	3.5	0.38	0.6	45	1	7.606119105813881
ETzw	6	5	2	4.5	3.4	0.28	0.535	52	1	8.538865096999384
ET~w	6	5	2	5.0	3.8	0.32	0.56	49	1	9.167176644441769
EV~w	6	5	3	5.0	4.2	0.29	0.78	99	1	9.508725083591248
E]zo	6	4	3	4.0	3.5	0.355	0.835	97	1	7.819507424745385
E]zg	6	4	2	4.0	3.5	0.0	0.72	145	1	8.0
E]yw	6	4	3	3.75	3.6666666666666665	0.355	1.0	130	1	7.819507424745385
E]zw	6	5	3	4.333333333333333	3.8	0.225	0.875	131	1	8.80062108964828
E]~o	6	4	4	4.0	4.0	0.0	1.0	201	1	8.0
E]~w	6	5	4	4.5	4.2	0.29	1.0	143	1	9.508725083591248
E^~w	6	5	4	5.0	4.6	0.27	1.0	147	1	9.779571911772187
E~~w	6	5	5	5.0	5.0	0.0	1.0	201	1	10.0
F?B~o	7	5	2	5.0	2.0	0.0	1.0	201	1	8.25642526870234
F?B~w	7	6	2	6.0	2.6666666666666665	0.245	0.9400000000000001	140	1	9.864232565619727
F?`vo	7	5	2	4.0	2.0	0.0	1.0	201	1	7.944184833375669
F?`vw	7	6	2	5.0	2.3333333333333335	0.07	1.0	187	1	9.603826787755086
F?bro	7	4	2	4.0	2.0	0.0	1.0	201	1	6.760952285695233
F?bvo	7	5	2	4.5	2.2	0.0	1.0	201	1	8.174091267957952
F?brw	7	5	2	5.0	2.6	0.27	0.9400000000000001	135	1	8.399013081800398
F?bvw	7	6	2	5.5	2.6666666666666665	0.18	0.97	159	1	9.777518622180686
F?b~o	7	5	2	5.0	2.4	0.0	0.9	181	1	8.354398349047562
F?b~w	7	6	2	6.0	3.0	0.28	0.68	81	1	9.916228058025279
F?ov_	7	4	2	3.0	2.0	0.0	1.0	201	1	6.2895221179054435
F?ovo	7	5	2	4.0	2.0	0.0	1.0	201	1	8.016107411532541
F?ovw	7	6	2	4.5	2.3333333333333335	0.0	1.0	201	1	9.476793365099121
F?qr_	7	3	2	3.0	2.0	0.0	1.0	201	1	5.286335345030997
F?qv_	7	4	2	3.5	2.25	0.17500000000000002	1.0	166	1	6.662524041201569
F?qro	7	4	2	3.5	2.0	0.15	1.0	171	1	6.662524041201569
F?qrg	7	4	2	4.0	2.0	0.31	0.935	126	1	6.930283187372943
F?qvo	7	5	2	4.0	2.3333333333333335	0.0	1.0	201	1	8.082762530298218
F?qvg	7	5	2	4.5	2.5	0.18	0.985	162	1	8.282100662389482
F?qrw	7	5	2	4.5	2.6	0.165	0.985	165	1	8.282100662389482
F?qvw	7	6	2	5.0	2.6666666666666665	0.07	1.0	187	1	9.67831503255307
F?o~_	7	4	2	3.5	2.0	0.0	1.0	201	1	6.552721463835969
F?o~o	7	5	2	4.5	2.4	0.18	0.99	163	1	8.22989519999322
F?o~w	7	6	2	5.0	2.6666666666666665	0.075	1.0	186	1	9.67831503255307
F?rv_	7	4	2	4.0	2.5	0.055	0.935	177	1	6.930283187372943
F?rvo	7	5	2	4.5	2.5	0.0	0.985	198	1	8.282100662389482
F?rvg	7	5	2	5.0	3.0	0.325	0.635	63	1	8.48074069840786
F?rvw	7	6	2	5.5	3.0	0.2	0.6950000000000001	100	1	9.836565874532182
F?q~_	7	4	2	4.0	2.25	0.075	0.935	173	1	6.930283187372943
F?q~o	7	5	2	4.5	2.6	0.21	0.75	109	1	8.282100662389482
F?q~g	7	5	2	5.0	2.8	0.305	0.635	67	1	8.48074069840786
F?qzw	7	5	2	5.0	3.0	0.325	0.635	63	1	8.48074069840786
F?q~w	7	6	2	5.5	3.0	0.21	0.6950000000000001	98	1	9.836565874532182
F?r~o	7	5	2	5.0	2.8	0.22	0.75	107	1	8.441054221723295
F?r~w	7	6	2	6.0	3.3333333333333335	0.32	0.55	47	1	9.964205637009346
F?zV_	7	4	2	3.5	2.5	0.195	1.0	162	1	6.760952285695233
F?zTo	7	4	2	4.0	2.3333333333333335	0.355	0.7000000000000001	70	1	7.003702332976757
F?zPw	7	4	2	4.0	2.5	0.33	0.585	52	1	7.0709255283711
F?zVo	7	5	2	4.5	2.6666666666666665	0.2	0.77	115	1	8.331049816643517
F?zTw	7	5	2	4.5	3.0	0.19	0.65	93	1	8.377042156569665
F?zVw	7	6	2	5.0	3.0	0.07	0.705	128	1	9.745966692414834
F?zv_	7	4	2	4.0	2.75	0.0	0.7000000000000001	141	1	7.003702332976757
F?zuo	7	4	2	4.0	2.5	0.39	0.625	48	1	7.154748157905347
F?zvo	7	5	2	4.5	2.75	0.23	0.65	85	1	8.377042156569665
F?zvg	7	5	2	5.0	3.0	0.36	0.56	41	1	8.518267014939536
F?zvw	7	6	2	5.5	3.3333333333333335	0.225	0.555	67	1	9.890763647670372
F?z^o	7	5	2	5.0	3.0	0.35000000000000003	0.505	32	1	8.553806600166116
F?z\w	7	5	2	5.0	3.4	0.355	0.555	41	1	8.721344403334447
F?z^w	7	6	2	5.5	3.3333333333333335	0.25	0.555	62	1	9.890763647670372
F?z~w	7	6	2	6.0	3.6666666666666665	0.305	0.54	48	1	10.33393937190243
F?~v_	7	4	3	4.0	3.0	0.0	1.0	201	1	7.154748157905347
F?~vo	7	5	3	4.666666666666667	3.0	0.355	1.0	130	1	8.721344403334447
F?~vW	7	5	2	5.0	3.2	0.34500000000000003	0.66	64	1	8.845227743263393
F?~vw	7	6	3	5.333333333333333	3.6	0.27	0.885	124	1	9.874007874011811
F?~~w	7	6	3	6.0	4.0	0.28	0.875	120	1	10.717797887081348
FCOfw	7	6	2	4.0	2.0	0.0	1.0	201	1	9.21110255092798
FCQbo	7	4	2	3.0	2.0	0.0	1.0	201	1	6.2895221179054435
FCQfo	7	5	2	4.0	2.2	0.0	1.0	201	1	8.016107411532541
FCQfw	7	6	2	4.5	2.3333333333333335	0.0	1.0	201	1	9.476793365099121
FCR`o	7	3	2	3.0	2.0	0.0	1.0	201	1	5.286335345030997
FCRdo	7	4	2	3.5	2.25	0.17500000000000002	0.92	150	1	6.662524041201569
FCR`w	7	4	2	4.0	2.5	0.31	0.935	126	1	6.930283187372943
FCRfo	7	5	2	4.0	2.4	0.0	1.0	201	1	8.082762530298218
FCRdw	7	5	2	4.5	2.6	0.18	0.985	162	1	8.282100662389482
FCRfw	7	6	2	5.0	2.6666666666666665	0.075	1.0	186	1	9.67831503255307
FCQrO	7	3	2	3.0	2.0	0.0	1.0	201	1	5.286335345030997
FCQvO	7	4	2	3.5	2.25	0.17500000000000002	1.0	166	1	6.662524041201569
FCQrW	7	4	2	4.0	2.5	0.31	0.935	126	1	6.930283187372943
FCQvo	7	5	2	4.0	2.4	0.0	1.0	201	1	8.082762530298218
FCQvW	7	5	2	4.5	2.6	0.18	0.985	162	1	8.282100662389482
FCQvw	7	6	2	5.0	2.6666666666666665	0.075	1.0	186	1	9.67831503255307
FCRvO	7	4	2	4.0	2.5	0.055	0.855	161	1	6.930283187372943
FCRto	7	4	2	4.0	2.5	0.075	0.715	129	1	6.930283187372943
FCRvo	7	5	2	4.5	2.6	0.0	0.985	198	1	8.282100662389482
FCRvW	7	5	2	5.0	3.0	0.325	0.635	63	1	8.48074069840786
FCRtw	7	5	2	5.0	3.0	0.325	0.635	63	1	8.48074069840786
FCRvw	7	6	2	5.5	3.0	0.21	0.6950000000000001	98	1	9.836565874532182
FCR~o	7	5	2	5.0	2.8	0.0	0.75	151	1	8.441054221723295
FCR~w	7	6	2	6.0	3.3333333333333335	0.32	0.55	47	1	9.964205637009346
FCp`_	7	2	2	2.0	2.0	0.0	1.0	201	1	4.0
FCpd_	7	3	2	3.0	2.0	0.375	0.93	112	1	5.464101615137755
FCpb_	7	3	2	2.5	2.0	0.585	1.0	84	1	5.184011783031394
FCpf_	7	4	2	3.5	2.5	0.13	1.0	175	1	6.760952285695233
FCpdo	7	4	2	3.5	2.0	0.155	0.965	163	1	6.760952285695233
FCpbo	7	4	2	3.0	2.5	0.295	1.0	142	1	6.552721463835969
FCpdg	7	4	2	3.5	2.5	0.13	1.0	175	1	6.760952285695233
FCpfo	7	5	2	4.0	2.5	0.0	1.0	201	1	8.144719339203032
FCpfg	7	5	2	4.0	2.6	0.0	1.0	201	1	8.144719339203032
FCpfw	7	6	2	4.5	2.6666666666666665	0.0	1.0	201	1	9.563683119061864
FCrf_	7	4	2	4.0	2.75	0.355	0.7000000000000001	70	1	7.003702332976757
FCrdo	7	4	2	4.0	2.6666666666666665	0.375	0.585	43	1	7.0709255283711
FCrbo	7	4	2	3.5	2.5	0.195	1.0	162	1	6.760952285695233
FCrfo	7	5	2	4.5	2.8	0.2	0.77	115	1	8.331049816643517
FCrfg	7	5	2	4.5	3.0	0.23	0.65	85	1	8.377042156569665
FCrfw	7	6	2	5.0	3.0	0.075	0.705	127	1	9.745966692414834
FCpv?	7	3	2	3.0	2.3333333333333335	0.5700000000000001	0.645	16	1	5.613699424331216
FCptO	7	3	2	3.0	2.0	0.5700000000000001	0.645	16	1	5.613699424331216
FCpv_	7	4	2	3.5	2.6666666666666665	0.17	0.72	111	1	6.849742261192857
FCpvO	7	4	2	3.5	2.3333333333333335	0.17	0.72	111	1	6.849742261192857
FCprg	7	4	2	4.0	2.5	0.43	0.585	32	1	7.0709255283711
FCpvo	7	5	2	4.0	2.6666666666666665	0.0	0.79	159	1	8.202466302632697
FCpvg	7	5	2	4.5	3.0	0.20500000000000002	0.65	90	1	8.377042156569665
FCpvW	7	5	2	4.5	3.0	0.19	0.65	93	1	8.377042156569665
FCpvw	7	6	2	5.0	3.0	0.07	0.705	128	1	9.745966692414834
FCqn_	7	4	2	4.0	2.5	0.33	0.585	52	1	7.0709255283711
FCqno	7	5	2	4.5	2.8	0.22	0.765	110	1	8.331049816643517
FCqnw	7	6	2	5.0	3.0	0.08	0.705	126	1	9.745966692414834
FCrro	7	4	2	4.0	2.75	0.0	0.7000000000000001	141	1	7.003702332976757
FCrvo	7	5	2	4.5	3.0	0.25	0.65	81	1	8.377042156569665
FCrvg	7	5	2	5.0	3.4	0.355	0.555	41	1	8.721344403334447
FCrrw	7	5	2	5.0	3.2	0.36	0.56	41	1	8.518267014939536
FCrvw	7	6	2	5.5	3.3333333333333335	0.23500000000000001	0.555	65	1	9.890763647670372
FCrno	7	5	2	4.5	3.0	0.28	0.65	75	1	8.377042156569665
FCrng	7	5	2	5.0	3.2	0.37	0.515	30	1	8.587407638361192
FCrlw	7	5	2	5.0	3.4	0.355	0.555	41	1	8.721344403334447
FCrjw	7	5	2	5.0	3.2	0.37	0.515	30	1	8.587407638361192
FCrnw	7	6	2	5.5	3.3333333333333335	0.25	0.555	62	1	9.890763647670372
FCr~o	7	5	2	5.0	3.2	0.26	0.5750000000000001	64	1	8.561019727585935
FCr~w	7	6	2	6.0	3.6666666666666665	0.305	0.54	48	1	10.33393937190243
FCXe_	7	3	2	2.5	2.0	0.585	1.0	84	1	5.184011783031394
FCXf_	7	4	2	3.0	2.5	0.24	1.0	153	1	6.552721463835969
FCXeo	7	4	2	3.0	2.5	0.295	1.0	142	1	6.552721463835969
FCXfo	7	5	2	3.6666666666666665	2.6	0.015	1.0	198	1	7.980843736738044
FCXfw	7	6	2	4.0	2.6666666666666665	0.0	1.0	201	1	9.429670248402683
FCZb_	7	3	2	3.0	2.5	0.5700000000000001	0.645	16	1	5.613699424331216
FCZco	7	3	2	3.0	2.3333333333333335	0.5700000000000001	0.645	16	1	5.613699424331216
FCZf_	7	4	2	3.5	2.75	0.13	0.72	119	1	6.849742261192857
FCZeo	7	4	2	3.5	2.6666666666666665	0.17	0.72	111	1	6.849742261192857
FCZbo	7	4	2	3.3333333333333335	2.5	0.305	0.785	97	1	6.736914202767828
FCZeg	7	4	2	3.5	2.5	0.45	0.645	40	1	7.033222956847167
FCZbg	7	4	2	3.3333333333333335	3.0	0.45	0.745	60	1	7.033222956847167
FCZfo	7	5	2	4.0	2.8	0.0	0.79	159	1	8.202466302632697
FCZfg	7	5	2	4.0	3.0	0.275	0.655	77	1	8.25642526870234
FCZew	7	5	2	4.0	3.0	0.25	0.655	82	1	8.25642526870234
FCZbw	7	5	2	4.0	3.0	0.29	0.67	77	1	8.141195788629908
FCZfw	7	6	2	4.5	3.0	0.105	0.71	122	1	9.64198926981712
FCZV?	7	3	2	3.0	2.5	0.5700000000000001	0.645	16	1	5.613699424331216
FCZTO	7	3	2	3.0	2.3333333333333335	0.5700000000000001	0.645	16	1	5.613699424331216
FCZV_	7	4	2	3.3333333333333335	2.5	0.305	0.785	97	1	6.736914202767828
FCZVO	7	4	2	3.5	2.6666666666666665	0.17	0.72	111	1	6.849742261192857
FCZTo	7	4	2	3.5	2.6666666666666665	0.17	0.72	111	1	6.849742261192857
FCZTg	7	4	2	3.6666666666666665	2.0	0.45	0.745	60	1	7.033222956847167
FCZVo	7	5	2	4.0	2.8	0.0	0.79	159	1	8.202466302632697
FCZVg	7	5	2	4.0	2.5	0.32	0.67	71	1	8.141195788629908
FCZVW	7	5	2	4.0	3.0	0.25	0.655	82	1	8.25642526870234
FCZTw	7	5	2	4.0	3.0	0.25	0.655	82	1	8.25642526870234
FCZVw	7	6	2	4.5	3.0	0.105	0.71	122	1	9.64198926981712
FCZN_	7	4	2	3.5	2.5	0.195	0.965	155	1	6.760952285695233
FCZLo	7	4	2	4.0	2.75	0.355	0.7000000000000001	70	1	7.003702332976757
FCZJo	7	4	2	4.0	2.5	0.375	0.585	43	1	7.0709255283711
FCZLg	7	4	2	3.5	2.6666666666666665	0.435	0.59	32	1	6.930283187372943
FCZJg	7	4	2	3.6666666666666665	2.75	0.4	0.74	69	1	7.0199601592044525
FCZHw	7	4	2	4.0	3.0	0.43	0.585	32	1	7.0709255283711
FCZNo	7	5	2	4.5	2.8	0.2	0.77	115	1	8.331049816643517
FCZNg	7	5	2	4.0	2.8	0.265	0.79	106	1	8.202466302632697
FCZLw	7	5	2	4.5	3.0	0.23	0.65	85	1	8.377042156569665
FCZJw	7	5	2	4.5	3.0	0.23	0.65	85	1	8.377042156569665
FCZNw	7	6	2	5.0	3.0	0.08	0.705	126	1	9.745966692414834
FCXn_	7	4	2	3.3333333333333335	2.5	0.33	1.0	135	1	6.591918366621329
FCXmo	7	4	2	3.6666666666666665	2.75	0.4	0.635	48	1	7.0199601592044525
FCXkw	7	4	2	4.0	3.0	0.43	0.585	32	1	7.0709255283711
FCXno	7	5	2	4.0	2.8	0.31	0.805	100	1	8.058537971568814
FCXmw	7	5	2	4.333333333333333	3.0	0.27	0.73	93	1	8.266795614405122
FCXnw	7	6	2	4.666666666666667	3.0	0.15	0.715	114	1	9.521398046336104
FCY^_	7	4	2	3.5	2.3333333333333335	0.195	1.0	162	1	6.760952285695233
FCY^O	7	4	2	4.0	2.75	0.355	0.7000000000000001	70	1	7.003702332976757
FCY^G	7	4	2	3.5	2.6666666666666665	0.435	0.59	32	1	6.930283187372943
FCY^o	7	5	2	4.5	2.8	0.185	0.77	118	1	8.331049816643517
FCY^g	7	5	2	4.0	2.6666666666666665	0.265	0.79	106	1	8.202466302632697
FCY^W	7	5	2	4.5	3.0	0.23	0.65	85	1	8.377042156569665
FCY^w	7	6	2	5.0	3.0	0.08	0.705	126	1	9.745966692414834
FCZv_	7	4	2	3.6666666666666665	3.0	0.0	0.78	157	1	7.0199601592044525
FCZvo	7	5	3	4.0	3.0	0.0	1.0	201	1	8.141195788629908
FCZvg	7	5	2	4.333333333333333	3.0	0.355	1.0	130	1	8.721344403334447
FCZvw	7	6	3	4.666666666666667	3.3333333333333335	0.3	1.0	141	1	9.615773105863909
FCZn_	7	4	2	3.6666666666666665	2.75	0.0	0.84	169	1	7.0199601592044525
FCZno	7	5	2	4.333333333333333	3.0	0.3	0.66	73	1	8.266795614405122
FCZng	7	5	2	4.333333333333333	3.2	0.37	0.675	62	1	8.587407638361192
FCZmw	7	5	2	4.666666666666667	3.4	0.355	0.59	48	1	8.721344403334447
FCZjw	7	5	2	4.666666666666667	3.4	0.355	0.67	64	1	8.721344403334447
FCZnw	7	6	2	5.0	3.3333333333333335	0.295	0.5650000000000001	55	1	9.71293470101541
FCZ^_	7	4	2	3.6666666666666665	2.75	0.0	0.78	157	1	7.0199601592044525
FCZ^o	7	5	2	4.5	3.0	0.23	0.65	85	1	8.377042156569665
FCZ^g	7	5	2	4.333333333333333	3.2	0.37	0.675	62	1	8.587407638361192
FCZ\w	7	5	2	4.5	3.4	0.355	0.59	48	1	8.721344403334447
FCZ^w	7	6	2	5.0	3.3333333333333335	0.27	0.56	59	1	9.807688518377255
FCZ~o	7	5	3	4.666666666666667	3.2	0.28500000000000003	0.805	105	1	8.446359868604572
FCZ~w	7	6	3	5.333333333333333	3.6666666666666665	0.305	1.0	140	1	10.33393937190243
FCdf_	7	4	2	3.0	2.0	0.295	1.0	142	1	6.552721463835969
FCdfG	7	4	2	3.5	2.5	0.13	1.0	175	1	6.760952285695233
FCdfo	7	5	2	3.6666666666666665	2.0	0.015	1.0	198	1	7.980843736738044
FCdfg	7	5	2	4.0	2.6	0.0	1.0	201	1	8.144719339203032
FCdfw	7	6	2	4.5	2.6666666666666665	0.0	1.0	201	1	9.563683119061864
FCfvo	7	5	2	4.5	3.0	0.28	0.65	75	1	8.377042156569665
FCfvg	7	5	2	5.0	3.4	0.355	0.555	41	1	8.721344403334447
FCfvW	7	5	2	5.0	3.2	0.36	0.56	41	1	8.518267014939536
FCfvw	7	6	2	5.5	3.3333333333333335	0.23500000000000001	0.555	65	1	9.890763647670372
FCf~o	7	5	2	5.0	3.2	0.225	0.61	78	1	8.6664502129363
FCf~w	7	6	2	6.0	3.6666666666666665	0.305	0.54	48	1	10.33393937190243
FCzf_	7	4	2	4.0	3.0	0.43	0.585	32	1	7.0709255283711
FCzbo	7	4	2	3.6666666666666665	3.0	0.43	0.73	61	1	7.2
FCzcw	7	4	2	4.0	3.0	0.38	0.6	45	1	7.606119105813881
FCzaw	7	4	2	4.0	3.0	0.405	0.615	43	1	7.245687884282703
FCzfo	7	5	2	4.5	3.2	0.265	0.5700000000000001	62	1	8.42034105174945
FCzew	7	5	2	4.5	3.4	0.28500000000000003	0.51	46	1	8.461179106249723
FCzbw	7	5	2	4.333333333333333	3.2	0.275	0.58	62	1	8.33573933494379
FCzfw	7	6	2	5.0	3.3333333333333335	0.075	0.56	98	1	9.807688518377255
FCxv?	7	3	2	3.0	2.6666666666666665	0.0	1.0	201	1	6.0
FCxv_	7	4	3	3.3333333333333335	3.0	0.25	1.0	151	1	6.8666426339228765
FCxvO	7	4	2	3.6666666666666665	2.6666666666666665	0.41000000000000003	1.0	119	1	7.349334969450372
FCxuW	7	4	2	4.0	2.75	0.41000000000000003	0.54	27	1	7.349334969450372
FCxrW	7	4	2	4.0	3.0	0.41000000000000003	0.54	27	1	7.349334969450372
FCxsw	7	4	2	4.0	2.75	0.41500000000000004	0.555	29	1	7.216253667679649
FCxvo	7	5	3	4.0	3.0	0.325	1.0	136	1	8.21825270205921
FCxvW	7	5	2	4.333333333333333	3.25	0.28	1.0	145	1	8.400431019968835
FCxuw	7	5	2	4.333333333333333	3.25	0.25	0.965	144	1	8.400431019968835
FCxvw	7	6	3	4.666666666666667	3.3333333333333335	0.135	1.0	174	1	9.615773105863909
FCzro	7	4	3	4.0	3.0	0.41000000000000003	1.0	119	1	7.349334969450372
FCzvo	7	5	3	4.333333333333333	3.25	0.28	0.975	140	1	8.538865096999384
FCzvg	7	5	3	4.666666666666667	3.3333333333333335	0.335	1.0	134	1	8.9602043392737
FCzrw	7	5	3	4.666666666666667	3.4	0.34500000000000003	1.0	132	1	8.845227743263393
FCzvw	7	6	3	5.0	3.6666666666666665	0.295	1.0	142	1	9.855844048495726
FCzno	7	5	2	4.666666666666667	3.4	0.335	0.655	65	1	8.9602043392737
FCzmw	7	5	2	5.0	3.8	0.32	0.56	49	1	9.167176644441769
FCzjw	7	5	2	5.0	3.6	0.32	0.675	72	1	9.167176644441769
FCznw	7	6	2	5.333333333333333	3.6666666666666665	0.27	0.52	51	1	10.061206537948127
FCz^o	7	5	2	5.0	3.4	0.34500000000000003	0.53	38	1	8.845227743263393
FCz^g	7	5	2	4.666666666666667	3.4	0.335	0.655	65	1	8.9602043392737
FCz\w	7	5	2	5.0	3.6	0.32	0.56	49	1	9.167176644441769
FCz^w	7	6	2	5.5	3.6666666666666665	0.27	0.5	47	1	10.061206537948127
FCx}w	7	5	2	5.0	3.6	0.325	0.585	53	1	9.067244579462773
FCx~w	7	6	3	5.333333333333333	3.6666666666666665	0.28500000000000003	0.965	137	1	9.961865632364445
FCz~w	7	6	3	5.666666666666667	4.0	0.28	0.9450000000000001	134	1	10.717797887081348
FCvfO	7	4	2	4.0	3.0	0.41000000000000003	0.595	38	1	7.349334969450372
FCvdo	7	4	2	4.0	2.6666666666666665	0.395	0.715	65	1	7.483983413001363
FCvbo	7	4	2	3.6666666666666665	2.6666666666666665	0.43	0.73	61	1	7.2
FCvfG	7	4	2	4.0	3.0	0.41000000000000003	0.595	38	1	7.349334969450372
FCvdg	7	4	2	4.0	3.0	0.395	0.645	51	1	7.483983413001363
FCvbg	7	4	2	4.0	3.0	0.43	0.585	32	1	7.0709255283711
FCvdW	7	4	2	4.0	3.0	0.38	0.6	45	1	7.606119105813881
FCvbW	7	4	2	4.0	3.0	0.405	0.555	31	1	7.245687884282703
FCv`w	7	4	2	4.0	2.75	0.43	0.54	23	1	7.2
FCvfo	7	5	2	4.333333333333333	3.0	0.305	0.58	56	1	8.33573933494379
FCvfg	7	5	2	4.5	3.2	0.265	0.5700000000000001	62	1	8.42034105174945
FCvfW	7	5	2	4.5	3.4	0.28500000000000003	0.51	46	1	8.461179106249723
FCvdw	7	5	2	4.5	3.25	0.28	0.535	52	1	8.538865096999384
FCvbw	7	5	2	4.5	3.2	0.24	0.5700000000000001	67	1	8.42034105174945
FCvfw	7	6	2	5.0	3.3333333333333335	0.08	0.56	97	1	9.807688518377255
FCurW	7	4	2	4.0	3.0	0.43	0.585	32	1	7.0709255283711
FCuvo	7	5	2	4.5	3.2	0.28500000000000003	0.5750000000000001	59	1	8.446359868604572
FCuvW	7	5	2	4.5	3.2	0.28500000000000003	0.5750000000000001	59	1	8.446359868604572
FCuvw	7	6	2	5.0	3.3333333333333335	0.09	0.56	95	1	9.807688518377255
FCvvo	7	5	2	4.5	3.25	0.25	0.5650000000000001	64	1	8.64604654215744
FCvvg	7	5	2	5.0	3.6	0.335	0.56	46	1	8.9602043392737
FCvtw	7	5	2	5.0	3.4	0.335	0.515	37	1	8.9602043392737
