80 UNKNOWN classes, tl=600
t=7,r=0: 39 orbits -> UNKNOWN
t=7,r=6: 39 orbits -> UNKNOWN
t=7,r=12: 39 orbits -> UNKNOWN
t=7,r=18: 39 orbits -> UNKNOWN
t=7,r=24: 39 orbits -> UNKNOWN
t=7,r=30: 39 orbits -> UNKNOWN
t=7,r=36: 39 orbits -> UNKNOWN
t=7,r=42: 39 orbits -> UNKNOWN
t=7,r=48: 39 orbits -> UNKNOWN
t=7,r=54: 39 orbits -> UNKNOWN
t=7,r=60: 39 orbits -> UNKNOWN
