== n9_sumfails.txt
GCOfBc  c in [-2.0000, -0.6667] ok=True R=22.000
ICQbRKn~?  c in [-3.2413, 4.7895] ok=True R=63.920
ICQbPkv~?  c in [-3.9430, 5.4474] ok=True R=63.920
ICZJb^N~_  c in [-4.2808, 3.0123] ok=True R=99.944
I?bBEz[|_  c in [-3.2413, 5.2829] ok=True R=63.920
I?bBEn[~?  c in [-3.4538, 4.7895] ok=True R=63.920
I?`eMdt^_  c in [-3.4538, 4.7895] ok=True R=63.920
I?`eJx]}_  c in [-4.3375, 5.4474] ok=True R=63.920
I?`eMly~?  c in [-4.0379, 5.4474] ok=True R=63.920
I?`eJl{}_  c in [-3.8903, 5.4474] ok=True R=63.920
I?`eJnY~?  c in [-3.9821, 5.4474] ok=True R=63.920
I?`eI~q~?  c in [-4.0379, 5.4474] ok=True R=63.920
I?`eI|y~?  c in [-4.0379, 5.4474] ok=True R=63.920
I?ouTVY|O  c in [-4.2465, 5.4474] ok=True R=63.920
I?ouTU]|O  c in [-4.3002, 5.4474] ok=True R=63.920
ICp`fRhv_  c in [-4.0730, 1.9944] ok=True R=63.920
I?BDvM{~?  c in [-4.0938, 5.4474] ok=True R=63.920
I?AELaM^?  c in [-3.3592, 18.2941] ok=True R=35.875
I?`@dCyZO  c in [-2.6860, 2.1220] ok=True R=35.875
I?`@dCxx_  c in [-2.6860, 2.1220] ok=True R=35.875
I?`@dCxZ_  c in [-2.6860, 2.1220] ok=True R=35.875
I?`@dEb^?  c in [-2.9179, 19.2353] ok=True R=35.875
I?`@`eixO  c in [-2.6860, 2.1220] ok=True R=35.875
I?`@`eb|?  c in [-2.6332, 4.8182] ok=True R=35.875
I?`@`ebz?  c in [-2.8406, 10.5200] ok=True R=35.875
I?`@`eb^?  c in [-2.8406, 9.8800] ok=True R=35.875
I?`@`crz?  c in [-2.9179, 20.1765] ok=True R=35.875
I?`@dei^?  c in [-2.7633, 4.8182] ok=True R=35.875
