[n=13 it=6 t=0s] min-decomp=5 (bound 6) m=50
[n=13 it=24600 t=1557s] cur=5 best=5 m=47 cache=17363
[n=13 it=24800 t=1573s] cur=5 best=5 m=49 cache=17515
[n=13 it=25800 t=1639s] cur=5 best=5 m=46 cache=18212
[n=13 it=26000 t=1652s] cur=4 best=5 m=43 cache=18348
[n=13 it=26200 t=1666s] cur=4 best=5 m=42 cache=18493
[n=13 it=26600 t=1692s] cur=5 best=5 m=45 cache=18788
[n=13 it=26800 t=1707s] cur=4 best=5 m=44 cache=18940
[n=13 it=27000 t=1721s] cur=5 best=5 m=47 cache=19081
[n=13 it=27200 t=1734s] cur=4 best=5 m=46 cache=19215
[n=13 it=27400 t=1747s] cur=5 best=5 m=42 cache=19350
[n=13 it=27600 t=1760s] cur=5 best=5 m=49 cache=19499
[n=13 it=28000 t=1789s] cur=4 best=5 m=45 cache=19795
[n=13 it=28200 t=1801s] cur=5 best=5 m=53 cache=19934
[n=13 it=28400 t=1815s] cur=5 best=5 m=45 cache=20078
[n=13 it=28600 t=1827s] cur=5 best=5 m=46 cache=20207
[n=13 it=29400 t=1875s] cur=5 best=5 m=47 cache=20749
[n=13 it=29600 t=1888s] cur=5 best=5 m=49 cache=20894
[n=13 it=29800 t=1900s] cur=4 best=5 m=45 cache=21033
[n=13 it=30000 t=1912s] cur=5 best=5 m=50 cache=21163
[n=13 it=30200 t=1924s] cur=5 best=5 m=52 cache=21297
[n=13 it=30600 t=1962s] cur=5 best=5 m=46 cache=21564
[n=13 it=30800 t=1988s] cur=5 best=5 m=45 cache=21705
[n=13 it=31600 t=2094s] cur=5 best=5 m=45 cache=22268
[n=13 it=31800 t=2123s] cur=5 best=5 m=49 cache=22415
[n=13 it=32000 t=2151s] cur=5 best=5 m=48 cache=22563
[n=13 it=32200 t=2178s] cur=4 best=5 m=45 cache=22705
[n=13 it=32600 t=2230s] cur=4 best=5 m=48 cache=22986
[n=13 it=32800 t=2256s] cur=5 best=5 m=54 cache=23125
[n=13 it=33000 t=2283s] cur=5 best=5 m=45 cache=23274
[n=13 it=33400 t=2335s] cur=5 best=5 m=47 cache=23539
[n=13 it=33800 t=2385s] cur=5 best=5 m=48 cache=23817
[n=13 it=34000 t=2411s] cur=5 best=5 m=50 cache=23952
[n=13 it=34200 t=2438s] cur=4 best=5 m=47 cache=24092
[n=13 it=34600 t=2493s] cur=5 best=5 m=54 cache=24370
[n=13 it=34800 t=2519s] cur=5 best=5 m=46 cache=24523
[n=13 it=35400 t=2599s] cur=5 best=5 m=52 cache=24946
[n=13 it=35600 t=2629s] cur=5 best=5 m=47 cache=25096
[n=13 it=35800 t=2654s] cur=5 best=5 m=45 cache=25235
[n=13 it=36000 t=2681s] cur=5 best=5 m=46 cache=25370
[n=13 it=36200 t=2708s] cur=5 best=5 m=48 cache=25513
[n=13 it=36400 t=2736s] cur=5 best=5 m=48 cache=25657
[n=13 it=36600 t=2765s] cur=4 best=5 m=44 cache=25811
[n=13 it=36800 t=2794s] cur=4 best=5 m=46 cache=25948
[n=13 it=37000 t=2823s] cur=4 best=5 m=45 cache=26091
[n=13 it=37200 t=2847s] cur=5 best=5 m=49 cache=26221
[n=13 it=37400 t=2876s] cur=5 best=5 m=51 cache=26373
[n=13 it=37600 t=2907s] cur=5 best=5 m=48 cache=26522
[n=13 it=37800 t=2933s] cur=5 best=5 m=46 cache=26669
[n=13 it=38000 t=2954s] cur=5 best=5 m=48 cache=26801
[n=13 it=38200 t=2975s] cur=5 best=5 m=48 cache=26939
[n=13 it=38400 t=2997s] cur=5 best=5 m=44 cache=27075
[n=13 it=38600 t=3023s] cur=5 best=5 m=49 cache=27217
[n=13 it=38800 t=3049s] cur=5 best=5 m=48 cache=27362
[n=13 it=39000 t=3071s] cur=5 best=5 m=49 cache=27504
[n=13 it=39600 t=3123s] cur=5 best=5 m=45 cache=27916
[n=13 it=39800 t=3141s] cur=4 best=5 m=45 cache=28056
[n=13 it=40200 t=3173s] cur=5 best=5 m=48 cache=28322
[n=13 it=40400 t=3191s] cur=5 best=5 m=46 cache=28475
[n=13 it=40600 t=3207s] cur=5 best=5 m=48 cache=28616
[n=13 it=40800 t=3216s] cur=5 best=5 m=47 cache=28754
[n=13 it=41400 t=3244s] cur=4 best=5 m=42 cache=29170
[n=13 it=41800 t=3262s] cur=5 best=5 m=49 cache=29451
[n=13 it=42200 t=3280s] cur=5 best=5 m=47 cache=29734
[n=13 it=42400 t=3290s] cur=5 best=5 m=50 cache=29885
[n=13 it=42600 t=3299s] cur=5 best=5 m=47 cache=30026
[n=13 it=42800 t=3309s] cur=5 best=5 m=48 cache=30168
[n=13 it=43000 t=3319s] cur=4 best=5 m=44 cache=30322
[n=13 it=43200 t=3329s] cur=4 best=5 m=43 cache=30468
[n=13 it=43600 t=3347s] cur=5 best=5 m=47 cache=30750
[n=13 it=43800 t=3355s] cur=5 best=5 m=48 cache=30888
