[n=13 it=1 t=0s] min-decomp=5 (bound 6) m=53
[n=13 it=24800 t=1947s] cur=5 best=5 m=47 cache=17585
[n=13 it=25000 t=1971s] cur=5 best=5 m=48 cache=17733
[n=13 it=25200 t=2000s] cur=5 best=5 m=50 cache=17875
[n=13 it=25600 t=2060s] cur=5 best=5 m=48 cache=18182
[n=13 it=25800 t=2082s] cur=5 best=5 m=49 cache=18313
[n=13 it=26000 t=2108s] cur=5 best=5 m=48 cache=18469
[n=13 it=26200 t=2141s] cur=5 best=5 m=50 cache=18618
[n=13 it=26400 t=2164s] cur=5 best=5 m=50 cache=18755
[n=13 it=26600 t=2186s] cur=5 best=5 m=47 cache=18890
[n=13 it=26800 t=2211s] cur=5 best=5 m=50 cache=19039
[n=13 it=27000 t=2234s] cur=5 best=5 m=45 cache=19187
[n=13 it=27400 t=2279s] cur=5 best=5 m=54 cache=19471
[n=13 it=27600 t=2305s] cur=4 best=5 m=46 cache=19622
[n=13 it=28000 t=2348s] cur=5 best=5 m=48 cache=19906
[n=13 it=28200 t=2371s] cur=5 best=5 m=47 cache=20047
[n=13 it=28800 t=2439s] cur=5 best=5 m=53 cache=20453
[n=13 it=29000 t=2462s] cur=5 best=5 m=47 cache=20592
[n=13 it=29200 t=2484s] cur=5 best=5 m=47 cache=20728
[n=13 it=29600 t=2531s] cur=5 best=5 m=48 cache=21028
[n=13 it=29800 t=2555s] cur=5 best=5 m=48 cache=21170
[n=13 it=30000 t=2578s] cur=5 best=5 m=45 cache=21322
[n=13 it=30400 t=2623s] cur=5 best=5 m=51 cache=21607
[n=13 it=30600 t=2648s] cur=5 best=5 m=47 cache=21744
[n=13 it=30800 t=2676s] cur=4 best=5 m=42 cache=21896
[n=13 it=31000 t=2703s] cur=5 best=5 m=48 cache=22050
[n=13 it=31400 t=2745s] cur=5 best=5 m=49 cache=22342
[n=13 it=31800 t=2780s] cur=5 best=5 m=47 cache=22605
[n=13 it=32000 t=2798s] cur=5 best=5 m=49 cache=22741
[n=13 it=32200 t=2813s] cur=4 best=5 m=44 cache=22881
[n=13 it=32400 t=2827s] cur=5 best=5 m=45 cache=23009
[n=13 it=32800 t=2857s] cur=5 best=5 m=50 cache=23269
[n=13 it=33000 t=2869s] cur=5 best=5 m=47 cache=23410
[n=13 it=33200 t=2882s] cur=5 best=5 m=50 cache=23556
[n=13 it=33400 t=2896s] cur=5 best=5 m=46 cache=23710
[n=13 it=33800 t=2917s] cur=5 best=5 m=49 cache=24002
[n=13 it=34000 t=2928s] cur=5 best=5 m=48 cache=24145
[n=13 it=34200 t=2937s] cur=5 best=5 m=46 cache=24291
[n=13 it=34600 t=2956s] cur=5 best=5 m=50 cache=24576
[n=13 it=34800 t=2964s] cur=5 best=5 m=50 cache=24706
[n=13 it=35000 t=2975s] cur=5 best=5 m=47 cache=24853
[n=13 it=35200 t=2984s] cur=5 best=5 m=50 cache=24995
[n=13 it=35600 t=3005s] cur=4 best=5 m=43 cache=25291
[n=13 it=35800 t=3014s] cur=4 best=5 m=44 cache=25438
[n=13 it=36000 t=3024s] cur=5 best=5 m=44 cache=25580
[n=13 it=36200 t=3034s] cur=5 best=5 m=46 cache=25729
[n=13 it=36400 t=3044s] cur=5 best=5 m=50 cache=25873
[n=13 it=36800 t=3063s] cur=5 best=5 m=48 cache=26167
[n=13 it=37200 t=3080s] cur=5 best=5 m=46 cache=26431
[n=13 it=37600 t=3099s] cur=5 best=5 m=45 cache=26716
[n=13 it=37800 t=3108s] cur=5 best=5 m=45 cache=26856
[n=13 it=38000 t=3117s] cur=5 best=5 m=44 cache=26996
[n=13 it=38200 t=3127s] cur=5 best=5 m=46 cache=27145
[n=13 it=38400 t=3136s] cur=5 best=5 m=50 cache=27293
[n=13 it=38600 t=3146s] cur=5 best=5 m=50 cache=27437
[n=13 it=38800 t=3157s] cur=5 best=5 m=48 cache=27585
[n=13 it=39400 t=3184s] cur=5 best=5 m=51 cache=27993
[n=13 it=39600 t=3194s] cur=5 best=5 m=51 cache=28138
[n=13 it=40000 t=3213s] cur=5 best=5 m=47 cache=28416
[n=13 it=40600 t=3242s] cur=4 best=5 m=45 cache=28855
[n=13 it=40800 t=3252s] cur=5 best=5 m=50 cache=29002
[n=13 it=41600 t=3289s] cur=5 best=5 m=46 cache=29561
[n=13 it=41800 t=3299s] cur=5 best=5 m=47 cache=29706
[n=13 it=42000 t=3308s] cur=5 best=5 m=53 cache=29846
[n=13 it=42200 t=3319s] cur=5 best=5 m=48 cache=30000
[n=13 it=42400 t=3328s] cur=5 best=5 m=47 cache=30143
[n=13 it=43000 t=3357s] cur=5 best=5 m=51 cache=30567
[n=13 it=43200 t=3365s] cur=5 best=5 m=47 cache=30704
[n=13 it=43600 t=3383s] cur=5 best=5 m=45 cache=30974
[n=13 it=43800 t=3392s] cur=5 best=5 m=45 cache=31111
[n=13 it=44000 t=3403s] cur=5 best=5 m=45 cache=31269
[n=13 it=44200 t=3412s] cur=5 best=5 m=48 cache=31407
[n=13 it=44600 t=3435s] cur=5 best=5 m=49 cache=31697
[n=13 it=44800 t=3445s] cur=5 best=5 m=50 cache=31849
[n=13 it=45000 t=3455s] cur=5 best=5 m=48 cache=31993
[n=13 it=45200 t=3465s] cur=5 best=5 m=49 cache=32134
[n=13 it=45600 t=3484s] cur=5 best=5 m=42 cache=32412
[n=13 it=45800 t=3493s] cur=5 best=5 m=48 cache=32554
[n=13 it=46000 t=3503s] cur=5 best=5 m=52 cache=32702
[n=13 it=46200 t=3513s] cur=5 best=5 m=48 cache=32842
[n=13 it=46400 t=3523s] cur=5 best=5 m=44 cache=32995
[n=13 it=47000 t=3552s] cur=5 best=5 m=47 cache=33435
[n=13 it=47200 t=3561s] cur=5 best=5 m=49 cache=33576
[n=13 it=47600 t=3579s] cur=5 best=5 m=46 cache=33858
[n=13 it=47800 t=3588s] cur=5 best=5 m=47 cache=33997
[n=13 it=48200 t=3608s] cur=5 best=5 m=51 cache=34280
[n=13 it=48400 t=3617s] cur=5 best=5 m=48 cache=34415
[n=13 it=48800 t=3636s] cur=5 best=5 m=49 cache=34703
[n=13 it=49200 t=3654s] cur=5 best=5 m=44 cache=34983
[n=13 it=49400 t=3664s] cur=4 best=5 m=46 cache=35125
[n=13 it=50000 t=3692s] cur=4 best=5 m=47 cache=35554
[n=13 it=50200 t=3702s] cur=5 best=5 m=44 cache=35693
[n=13 it=50400 t=3712s] cur=5 best=5 m=47 cache=35844
[n=13 it=51000 t=3737s] cur=5 best=5 m=51 cache=36253
[n=13 it=51200 t=3749s] cur=5 best=5 m=49 cache=36413
[n=13 it=51400 t=3757s] cur=5 best=5 m=50 cache=36543
[n=13 it=51600 t=3766s] cur=5 best=5 m=47 cache=36683
[n=13 it=51800 t=3775s] cur=5 best=5 m=46 cache=36827
[n=13 it=52000 t=3786s] cur=5 best=5 m=53 cache=36974
[n=13 it=52400 t=3804s] cur=5 best=5 m=42 cache=37250
[n=13 it=52600 t=3813s] cur=5 best=5 m=45 cache=37401
[n=13 it=53000 t=3831s] cur=5 best=5 m=48 cache=37674
[n=13 it=53200 t=3840s] cur=5 best=5 m=50 cache=37815
[n=13 it=53400 t=3849s] cur=5 best=5 m=46 cache=37961
[n=13 it=53600 t=3857s] cur=5 best=5 m=44 cache=38092
[n=13 it=54000 t=3878s] cur=5 best=5 m=50 cache=38391
[n=13 it=54400 t=3899s] cur=5 best=5 m=52 cache=38669
[n=13 it=54600 t=3911s] cur=5 best=5 m=51 cache=38819
[n=13 it=54800 t=3922s] cur=5 best=5 m=51 cache=38968
[n=13 it=55000 t=3932s] cur=5 best=5 m=47 cache=39111
[n=13 it=55200 t=3944s] cur=5 best=5 m=49 cache=39266
[n=13 it=55400 t=3954s] cur=5 best=5 m=48 cache=39409
[n=13 it=55600 t=3964s] cur=5 best=5 m=50 cache=39552
[n=13 it=55800 t=3973s] cur=5 best=5 m=50 cache=39691
[n=13 it=56000 t=3982s] cur=5 best=5 m=43 cache=39831
[n=13 it=56200 t=3991s] cur=5 best=5 m=43 cache=39967
[n=13 it=56400 t=4000s] cur=5 best=5 m=50 cache=40107
[n=13 it=56600 t=4010s] cur=5 best=5 m=52 cache=40245
[n=13 it=56800 t=4020s] cur=5 best=5 m=48 cache=40395
[n=13 it=57000 t=4030s] cur=5 best=5 m=48 cache=40541
[n=13 it=57200 t=4040s] cur=5 best=5 m=48 cache=40685
[n=13 it=57600 t=4059s] cur=5 best=5 m=47 cache=40981
[n=13 it=57800 t=4067s] cur=5 best=5 m=50 cache=41118
[n=13 it=58200 t=4087s] cur=5 best=5 m=47 cache=41409
[n=13 it=58400 t=4096s] cur=5 best=5 m=49 cache=41543
[n=13 it=58800 t=4114s] cur=5 best=5 m=53 cache=41823
[n=13 it=59000 t=4123s] cur=5 best=5 m=46 cache=41969
[n=13 it=59200 t=4133s] cur=5 best=5 m=48 cache=42116
[n=13 it=59800 t=4162s] cur=5 best=5 m=51 cache=42545
[n=13 it=60200 t=4180s] cur=5 best=5 m=50 cache=42828
[n=13 it=60400 t=4190s] cur=5 best=5 m=45 cache=42984
[n=13 it=60600 t=4200s] cur=5 best=5 m=52 cache=43125
[n=13 it=60800 t=4212s] cur=5 best=5 m=47 cache=43282
[n=13 it=61000 t=4221s] cur=5 best=5 m=46 cache=43408
[n=13 it=61200 t=4230s] cur=5 best=5 m=48 cache=43544
[n=13 it=61600 t=4251s] cur=5 best=5 m=47 cache=43833
[n=13 it=61800 t=4261s] cur=5 best=5 m=47 cache=43977
[n=13 it=62000 t=4270s] cur=5 best=5 m=45 cache=44108
[n=13 it=62200 t=4280s] cur=5 best=5 m=46 cache=44246
[n=13 it=62600 t=4301s] cur=5 best=5 m=51 cache=44524
[n=13 it=63000 t=4325s] cur=5 best=5 m=48 cache=44825
[n=13 it=63200 t=4336s] cur=5 best=5 m=46 cache=44966
[n=13 it=63600 t=4356s] cur=5 best=5 m=48 cache=45257
[n=13 it=64200 t=4388s] cur=5 best=5 m=50 cache=45688
[n=13 it=64400 t=4398s] cur=5 best=5 m=47 cache=45831
[n=13 it=64600 t=4408s] cur=5 best=5 m=49 cache=45976
[n=13 it=64800 t=4417s] cur=5 best=5 m=43 cache=46108
[n=13 it=65200 t=4439s] cur=5 best=5 m=45 cache=46398
[n=13 it=65400 t=4450s] cur=5 best=5 m=49 cache=46542
[n=13 it=65600 t=4459s] cur=5 best=5 m=50 cache=46677
[n=13 it=65800 t=4468s] cur=5 best=5 m=48 cache=46804
[n=13 it=66200 t=4486s] cur=5 best=5 m=45 cache=47093
[n=13 it=66400 t=4495s] cur=5 best=5 m=49 cache=47230
[n=13 it=66800 t=4515s] cur=5 best=5 m=51 cache=47523
[n=13 it=67200 t=4535s] cur=5 best=5 m=46 cache=47816
[n=13 it=67400 t=4544s] cur=5 best=5 m=46 cache=47953
[n=13 it=67600 t=4554s] cur=5 best=5 m=48 cache=48088
[n=13 it=67800 t=4563s] cur=5 best=5 m=48 cache=48238
[n=13 it=68200 t=4582s] cur=5 best=5 m=46 cache=48528
[n=13 it=68400 t=4592s] cur=5 best=5 m=47 cache=48681
[n=13 it=68600 t=4601s] cur=5 best=5 m=42 cache=48826
[n=13 it=68800 t=4610s] cur=5 best=5 m=45 cache=48960
[n=13 it=69000 t=4619s] cur=5 best=5 m=52 cache=49095
[n=13 it=69400 t=4636s] cur=5 best=5 m=49 cache=49374
[n=13 it=69600 t=4645s] cur=5 best=5 m=48 cache=49519
[n=13 it=69800 t=4655s] cur=5 best=5 m=49 cache=49664
[n=13 it=70000 t=4665s] cur=5 best=5 m=47 cache=49815
[n=13 it=70200 t=4676s] cur=5 best=5 m=45 cache=49957
[n=13 it=70400 t=4685s] cur=5 best=5 m=46 cache=50093
[n=13 it=70600 t=4694s] cur=5 best=5 m=47 cache=50219
[n=13 it=70800 t=4705s] cur=5 best=5 m=51 cache=50369
