nohup: ignoring input
n=18 cnt=5000 elapsed=54s
n=18 cnt=10000 elapsed=118s
n=18 cnt=15000 elapsed=212s
n=18 cnt=20000 elapsed=250s
n=18 cnt=25000 elapsed=299s
n=18 cnt=30000 elapsed=355s
n=18 cnt=35000 elapsed=431s
n=18 cnt=40000 elapsed=522s
n=18 cnt=45000 elapsed=623s
n=18 cnt=50000 elapsed=727s
n=18 cnt=55000 elapsed=826s
n=18 cnt=60000 elapsed=917s
n=18 cnt=65000 elapsed=1022s
n=18 cnt=70000 elapsed=1122s
n=18 cnt=75000 elapsed=1226s
n=18 cnt=80000 elapsed=1338s
n=18 cnt=85000 elapsed=1528s
n=18 cnt=90000 elapsed=1571s
n=18 cnt=95000 elapsed=1648s
n=18 cnt=100000 elapsed=1714s
