it=14200 cur=1 best=1 T=1.76 elapsed=9s
it=14400 cur=1 best=1 T=1.76 elapsed=9s
it=14600 cur=1 best=1 T=1.76 elapsed=9s
it=14800 cur=1 best=1 T=1.75 elapsed=10s
it=15000 cur=1 best=1 T=1.75 elapsed=10s
it=15200 cur=1 best=1 T=1.75 elapsed=10s
it=15400 cur=1 best=1 T=1.74 elapsed=10s
it=15600 cur=1 best=1 T=1.74 elapsed=10s
it=15800 cur=1 best=1 T=1.74 elapsed=10s
it=16000 cur=1 best=1 T=1.73 elapsed=10s
it=16200 cur=1 best=1 T=1.73 elapsed=10s
it=16400 cur=1 best=1 T=1.73 elapsed=10s
it=16600 cur=1 best=1 T=1.72 elapsed=10s
it=16800 cur=1 best=1 T=1.72 elapsed=11s
it=17000 cur=1 best=1 T=1.72 elapsed=11s
it=17200 cur=1 best=1 T=1.71 elapsed=11s
it=17400 cur=1 best=1 T=1.71 elapsed=11s
it=17600 cur=1 best=1 T=1.71 elapsed=11s
it=17800 cur=1 best=1 T=1.70 elapsed=11s
it=18000 cur=1 best=1 T=1.70 elapsed=11s
it=18200 cur=1 best=1 T=1.70 elapsed=11s
it=18400 cur=1 best=1 T=1.69 elapsed=11s
it=18600 cur=1 best=1 T=1.69 elapsed=12s
it=18800 cur=1 best=1 T=1.69 elapsed=12s
it=19000 cur=1 best=1 T=1.68 elapsed=12s
it=19200 cur=1 best=1 T=1.68 elapsed=12s
it=19400 cur=1 best=1 T=1.68 elapsed=12s
it=19600 cur=1 best=1 T=1.67 elapsed=12s
it=19800 cur=1 best=1 T=1.67 elapsed=12s
it=20000 cur=1 best=1 T=1.67 elapsed=12s
it=20200 cur=1 best=1 T=1.66 elapsed=12s
it=20400 cur=1 best=1 T=1.66 elapsed=12s
it=20600 cur=1 best=1 T=1.66 elapsed=13s
it=20800 cur=1 best=1 T=1.65 elapsed=13s
it=21000 cur=1 best=1 T=1.65 elapsed=13s
it=21200 cur=1 best=1 T=1.65 elapsed=13s
it=21400 cur=1 best=1 T=1.64 elapsed=13s
it=21600 cur=1 best=1 T=1.64 elapsed=13s
it=21800 cur=1 best=1 T=1.64 elapsed=13s
it=22000 cur=1 best=1 T=1.63 elapsed=13s
it=22200 cur=1 best=1 T=1.63 elapsed=13s
it=22400 cur=1 best=1 T=1.63 elapsed=14s
it=22600 cur=1 best=1 T=1.62 elapsed=14s
it=22800 cur=1 best=1 T=1.62 elapsed=14s
it=23000 cur=1 best=1 T=1.62 elapsed=14s
it=23200 cur=1 best=1 T=1.61 elapsed=14s
it=23400 cur=1 best=1 T=1.61 elapsed=14s
it=23600 cur=1 best=1 T=1.61 elapsed=14s
it=23800 cur=1 best=1 T=1.60 elapsed=14s
it=24000 cur=1 best=1 T=1.60 elapsed=14s
it=24200 cur=1 best=1 T=1.60 elapsed=14s
it=24400 cur=1 best=1 T=1.59 elapsed=15s
it=24600 cur=1 best=1 T=1.59 elapsed=15s
it=24800 cur=1 best=1 T=1.59 elapsed=15s
it=25000 cur=1 best=1 T=1.58 elapsed=15s
it=25200 cur=1 best=1 T=1.58 elapsed=15s
it=25400 cur=1 best=1 T=1.58 elapsed=15s
it=25600 cur=1 best=1 T=1.57 elapsed=15s
it=25800 cur=1 best=1 T=1.57 elapsed=15s
it=26000 cur=1 best=1 T=1.57 elapsed=15s
it=26200 cur=1 best=1 T=1.56 elapsed=15s
it=26400 cur=1 best=1 T=1.56 elapsed=16s
it=26600 cur=1 best=1 T=1.56 elapsed=16s
it=26800 cur=1 best=1 T=1.55 elapsed=16s
it=27000 cur=1 best=1 T=1.55 elapsed=16s
it=27200 cur=1 best=1 T=1.55 elapsed=16s
it=27400 cur=1 best=1 T=1.54 elapsed=16s
it=27600 cur=1 best=1 T=1.54 elapsed=16s
it=27800 cur=1 best=1 T=1.54 elapsed=16s
