nohup: ignoring input
n=11 cnt=805000 elapsed=6106s
n=11 cnt=810000 elapsed=6124s
n=11 cnt=815000 elapsed=6142s
n=11 cnt=820000 elapsed=6160s
n=11 cnt=825000 elapsed=6179s
n=11 cnt=830000 elapsed=6198s
n=11 cnt=835000 elapsed=6217s
n=11 cnt=840000 elapsed=6236s
n=11 cnt=845000 elapsed=6256s
n=11 cnt=850000 elapsed=6275s
n=11 cnt=855000 elapsed=6294s
n=11 cnt=860000 elapsed=6313s
n=11 cnt=865000 elapsed=6333s
n=11 cnt=870000 elapsed=6352s
n=11 cnt=875000 elapsed=6371s
n=11 cnt=880000 elapsed=6390s
n=11 cnt=885000 elapsed=6409s
n=11 cnt=890000 elapsed=6428s
n=11 cnt=895000 elapsed=6448s
n=11 cnt=900000 elapsed=6468s
n=11 cnt=905000 elapsed=6487s
n=11 cnt=910000 elapsed=6507s
n=11 cnt=915000 elapsed=6526s
n=11 cnt=920000 elapsed=6545s
n=11 cnt=925000 elapsed=6564s
n=11 cnt=930000 elapsed=6583s
n=11 cnt=935000 elapsed=6601s
n=11 cnt=940000 elapsed=6620s
n=11 cnt=945000 elapsed=6638s
n=11 cnt=950000 elapsed=6657s
n=11 cnt=955000 elapsed=6675s
n=11 cnt=960000 elapsed=6695s
n=11 cnt=965000 elapsed=6715s
n=11 cnt=970000 elapsed=6734s
n=11 cnt=975000 elapsed=6753s
n=11 cnt=980000 elapsed=6773s
n=11 cnt=985000 elapsed=6792s
n=11 cnt=990000 elapsed=6811s
n=11 cnt=995000 elapsed=6830s
n=11 cnt=1000000 elapsed=6849s
n=11 cnt=1005000 elapsed=6869s
n=11 cnt=1010000 elapsed=6890s
n=11 cnt=1015000 elapsed=6910s
n=11 cnt=1020000 elapsed=6931s
n=11 cnt=1025000 elapsed=6952s
n=11 cnt=1030000 elapsed=6971s
n=11 cnt=1035000 elapsed=6990s
n=11 cnt=1040000 elapsed=7008s
n=11 cnt=1045000 elapsed=7025s
n=11 cnt=1050000 elapsed=7045s
n=11 cnt=1055000 elapsed=7064s
n=11 cnt=1060000 elapsed=7083s
n=11 cnt=1065000 elapsed=7102s
n=11 cnt=1070000 elapsed=7121s
n=11 cnt=1075000 elapsed=7138s
n=11 cnt=1080000 elapsed=7155s
n=11 cnt=1085000 elapsed=7173s
n=11 cnt=1090000 elapsed=7191s
