it=15400 cur=1 best=1 T=1.96 elapsed=6s
it=15600 cur=1 best=1 T=1.96 elapsed=6s
it=15800 cur=1 best=1 T=1.96 elapsed=6s
it=16000 cur=1 best=1 T=1.96 elapsed=6s
it=16200 cur=1 best=1 T=1.96 elapsed=6s
it=16400 cur=1 best=1 T=1.96 elapsed=6s
it=16600 cur=1 best=1 T=1.96 elapsed=6s
it=16800 cur=1 best=1 T=1.96 elapsed=6s
it=17000 cur=1 best=1 T=1.96 elapsed=6s
it=17200 cur=1 best=1 T=1.96 elapsed=6s
it=17400 cur=1 best=1 T=1.96 elapsed=6s
it=17600 cur=1 best=1 T=1.96 elapsed=6s
it=17800 cur=1 best=1 T=1.96 elapsed=6s
it=18000 cur=1 best=1 T=1.96 elapsed=6s
it=18200 cur=1 best=1 T=1.95 elapsed=6s
it=18400 cur=1 best=1 T=1.95 elapsed=7s
it=18600 cur=1 best=1 T=1.95 elapsed=7s
it=18800 cur=1 best=1 T=1.95 elapsed=7s
it=19000 cur=1 best=1 T=1.95 elapsed=7s
it=19200 cur=1 best=1 T=1.95 elapsed=7s
it=19400 cur=1 best=1 T=1.95 elapsed=7s
it=19600 cur=1 best=1 T=1.95 elapsed=7s
it=19800 cur=1 best=1 T=1.95 elapsed=7s
it=20000 cur=1 best=1 T=1.95 elapsed=7s
it=20200 cur=1 best=1 T=1.95 elapsed=7s
it=20400 cur=1 best=1 T=1.95 elapsed=7s
it=20600 cur=1 best=1 T=1.95 elapsed=7s
it=20800 cur=1 best=1 T=1.95 elapsed=7s
it=21000 cur=1 best=1 T=1.95 elapsed=7s
it=21200 cur=1 best=1 T=1.95 elapsed=7s
it=21400 cur=1 best=1 T=1.95 elapsed=7s
it=21600 cur=1 best=1 T=1.95 elapsed=7s
it=21800 cur=1 best=1 T=1.95 elapsed=7s
it=22000 cur=1 best=1 T=1.95 elapsed=7s
it=22200 cur=1 best=1 T=1.94 elapsed=7s
it=22400 cur=1 best=1 T=1.94 elapsed=7s
it=22600 cur=1 best=1 T=1.94 elapsed=7s
it=22800 cur=1 best=1 T=1.94 elapsed=7s
it=23000 cur=1 best=1 T=1.94 elapsed=7s
it=23200 cur=1 best=1 T=1.94 elapsed=7s
it=23400 cur=1 best=1 T=1.94 elapsed=7s
it=23600 cur=1 best=1 T=1.94 elapsed=7s
it=23800 cur=1 best=1 T=1.94 elapsed=7s
it=24000 cur=1 best=1 T=1.94 elapsed=7s
it=24200 cur=1 best=1 T=1.94 elapsed=7s
it=24400 cur=1 best=1 T=1.94 elapsed=7s
it=24600 cur=1 best=1 T=1.94 elapsed=8s
it=24800 cur=1 best=1 T=1.94 elapsed=8s
it=25000 cur=1 best=1 T=1.94 elapsed=8s
it=25200 cur=1 best=1 T=1.94 elapsed=8s
it=25400 cur=1 best=1 T=1.94 elapsed=8s
it=25600 cur=1 best=1 T=1.94 elapsed=8s
it=25800 cur=1 best=1 T=1.94 elapsed=8s
it=26000 cur=1 best=1 T=1.94 elapsed=8s
it=26200 cur=1 best=1 T=1.93 elapsed=8s
it=26400 cur=1 best=1 T=1.93 elapsed=8s
it=26600 cur=1 best=1 T=1.93 elapsed=8s
it=26800 cur=1 best=1 T=1.93 elapsed=8s
it=27000 cur=1 best=1 T=1.93 elapsed=8s
it=27200 cur=1 best=1 T=1.93 elapsed=8s
it=27400 cur=1 best=1 T=1.93 elapsed=8s
it=27600 cur=1 best=1 T=1.93 elapsed=8s
it=27800 cur=1 best=1 T=1.93 elapsed=8s
it=28000 cur=1 best=1 T=1.93 elapsed=8s
it=28200 cur=1 best=1 T=1.93 elapsed=8s
it=28400 cur=1 best=1 T=1.93 elapsed=8s
it=28600 cur=1 best=1 T=1.93 elapsed=8s
it=28800 cur=1 best=1 T=1.93 elapsed=8s
it=29000 cur=1 best=1 T=1.93 elapsed=8s
it=29200 cur=1 best=1 T=1.93 elapsed=8s
it=29400 cur=1 best=1 T=1.93 elapsed=8s
it=29600 cur=1 best=1 T=1.93 elapsed=8s
it=29800 cur=1 best=1 T=1.93 elapsed=8s
it=30000 cur=1 best=1 T=1.93 elapsed=8s
it=30200 cur=1 best=1 T=1.92 elapsed=8s
it=30400 cur=1 best=1 T=1.92 elapsed=8s
it=30600 cur=1 best=1 T=1.92 elapsed=8s
it=30800 cur=1 best=1 T=1.92 elapsed=8s
it=31000 cur=1 best=1 T=1.92 elapsed=9s
it=31200 cur=1 best=1 T=1.92 elapsed=9s
it=31400 cur=1 best=1 T=1.92 elapsed=9s
it=31600 cur=1 best=1 T=1.92 elapsed=9s
it=31800 cur=1 best=1 T=1.92 elapsed=9s
it=32000 cur=1 best=1 T=1.92 elapsed=9s
it=32200 cur=1 best=1 T=1.92 elapsed=9s
it=32400 cur=1 best=1 T=1.92 elapsed=9s
it=32600 cur=1 best=1 T=1.92 elapsed=9s
it=32800 cur=1 best=1 T=1.92 elapsed=9s
it=33000 cur=1 best=1 T=1.92 elapsed=9s
it=33200 cur=1 best=1 T=1.92 elapsed=9s
it=33400 cur=1 best=1 T=1.92 elapsed=9s
it=33600 cur=1 best=1 T=1.92 elapsed=9s
it=33800 cur=1 best=1 T=1.92 elapsed=9s
it=34000 cur=1 best=1 T=1.92 elapsed=9s
it=34200 cur=1 best=1 T=1.91 elapsed=9s
it=34400 cur=1 best=1 T=1.91 elapsed=9s
it=34600 cur=1 best=1 T=1.91 elapsed=9s
it=34800 cur=1 best=1 T=1.91 elapsed=9s
it=35000 cur=1 best=1 T=1.91 elapsed=9s
it=35200 cur=1 best=1 T=1.91 elapsed=9s
it=35400 cur=1 best=1 T=1.91 elapsed=9s
it=35600 cur=1 best=1 T=1.91 elapsed=9s
it=35800 cur=1 best=1 T=1.91 elapsed=9s
it=36000 cur=1 best=1 T=1.91 elapsed=9s
it=36200 cur=1 best=1 T=1.91 elapsed=9s
it=36400 cur=1 best=1 T=1.91 elapsed=9s
it=36600 cur=1 best=1 T=1.91 elapsed=9s
it=36800 cur=1 best=1 T=1.91 elapsed=9s
it=37000 cur=1 best=1 T=1.91 elapsed=9s
it=37200 cur=1 best=1 T=1.91 elapsed=9s
it=37400 cur=1 best=1 T=1.91 elapsed=10s
it=37600 cur=1 best=1 T=1.91 elapsed=10s
it=37800 cur=1 best=1 T=1.91 elapsed=10s
it=38000 cur=1 best=1 T=1.91 elapsed=10s
it=38200 cur=1 best=1 T=1.90 elapsed=10s
it=38400 cur=1 best=1 T=1.90 elapsed=10s
it=38600 cur=1 best=1 T=1.90 elapsed=10s
it=38800 cur=1 best=1 T=1.90 elapsed=10s
it=39000 cur=1 best=1 T=1.90 elapsed=10s
it=39200 cur=1 best=1 T=1.90 elapsed=10s
it=39400 cur=1 best=1 T=1.90 elapsed=10s
it=39600 cur=1 best=1 T=1.90 elapsed=10s
it=39800 cur=1 best=1 T=1.90 elapsed=10s
it=40000 cur=1 best=1 T=1.90 elapsed=10s
it=40200 cur=1 best=1 T=1.90 elapsed=10s
it=40400 cur=1 best=1 T=1.90 elapsed=10s
it=40600 cur=1 best=1 T=1.90 elapsed=10s
it=40800 cur=1 best=1 T=1.90 elapsed=10s
it=41000 cur=1 best=1 T=1.90 elapsed=10s
it=41200 cur=1 best=1 T=1.90 elapsed=10s
it=41400 cur=1 best=1 T=1.90 elapsed=10s
it=41600 cur=1 best=1 T=1.90 elapsed=10s
it=41800 cur=1 best=1 T=1.90 elapsed=10s
it=42000 cur=1 best=1 T=1.90 elapsed=10s
it=42200 cur=1 best=1 T=1.89 elapsed=10s
it=42400 cur=1 best=1 T=1.89 elapsed=10s
it=42600 cur=1 best=1 T=1.89 elapsed=10s
it=42800 cur=1 best=1 T=1.89 elapsed=10s
it=43000 cur=1 best=1 T=1.89 elapsed=10s
it=43200 cur=1 best=1 T=1.89 elapsed=10s
it=43400 cur=1 best=1 T=1.89 elapsed=11s
it=43600 cur=1 best=1 T=1.89 elapsed=11s
it=43800 cur=1 best=1 T=1.89 elapsed=11s
it=44000 cur=1 best=1 T=1.89 elapsed=11s
it=44200 cur=1 best=1 T=1.89 elapsed=11s
it=44400 cur=1 best=1 T=1.89 elapsed=11s
it=44600 cur=1 best=1 T=1.89 elapsed=11s
it=44800 cur=1 best=1 T=1.89 elapsed=11s
it=45000 cur=1 best=1 T=1.89 elapsed=11s
it=45200 cur=1 best=1 T=1.89 elapsed=11s
it=45400 cur=1 best=1 T=1.89 elapsed=11s
it=45600 cur=1 best=1 T=1.89 elapsed=11s
it=45800 cur=1 best=1 T=1.89 elapsed=11s
it=46000 cur=1 best=1 T=1.89 elapsed=11s
it=46200 cur=1 best=1 T=1.88 elapsed=11s
it=46400 cur=1 best=1 T=1.88 elapsed=11s
it=46600 cur=1 best=1 T=1.88 elapsed=11s
it=46800 cur=1 best=1 T=1.88 elapsed=11s
it=47000 cur=1 best=1 T=1.88 elapsed=11s
it=47200 cur=1 best=1 T=1.88 elapsed=11s
it=47400 cur=1 best=1 T=1.88 elapsed=11s
it=47600 cur=1 best=1 T=1.88 elapsed=11s
it=47800 cur=1 best=1 T=1.88 elapsed=11s
it=48000 cur=1 best=1 T=1.88 elapsed=11s
it=48200 cur=1 best=1 T=1.88 elapsed=11s
it=48400 cur=1 best=1 T=1.88 elapsed=11s
it=48600 cur=1 best=1 T=1.88 elapsed=11s
it=48800 cur=1 best=1 T=1.88 elapsed=11s
it=49000 cur=1 best=1 T=1.88 elapsed=11s
it=49200 cur=1 best=1 T=1.88 elapsed=11s
it=49400 cur=1 best=1 T=1.88 elapsed=11s
it=49600 cur=1 best=1 T=1.88 elapsed=11s
it=49800 cur=1 best=1 T=1.88 elapsed=12s
it=50000 cur=1 best=1 T=1.88 elapsed=12s
it=50200 cur=1 best=1 T=1.87 elapsed=12s
it=50400 cur=1 best=1 T=1.87 elapsed=12s
it=50600 cur=1 best=1 T=1.87 elapsed=12s
it=50800 cur=1 best=1 T=1.87 elapsed=12s
it=51000 cur=1 best=1 T=1.87 elapsed=12s
it=51200 cur=1 best=1 T=1.87 elapsed=12s
it=51400 cur=1 best=1 T=1.87 elapsed=12s
it=51600 cur=1 best=1 T=1.87 elapsed=12s
it=51800 cur=1 best=1 T=1.87 elapsed=12s
it=52000 cur=1 best=1 T=1.87 elapsed=12s
it=52200 cur=1 best=1 T=1.87 elapsed=12s
it=52400 cur=1 best=1 T=1.87 elapsed=12s
it=52600 cur=1 best=1 T=1.87 elapsed=12s
it=52800 cur=1 best=1 T=1.87 elapsed=12s
it=53000 cur=1 best=1 T=1.87 elapsed=12s
it=53200 cur=1 best=1 T=1.87 elapsed=12s
it=53400 cur=1 best=1 T=1.87 elapsed=12s
it=53600 cur=1 best=1 T=1.87 elapsed=12s
it=53800 cur=1 best=1 T=1.87 elapsed=12s
it=54000 cur=1 best=1 T=1.86 elapsed=12s
it=54200 cur=1 best=1 T=1.86 elapsed=12s
it=54400 cur=1 best=1 T=1.86 elapsed=12s
it=54600 cur=1 best=1 T=1.86 elapsed=12s
it=54800 cur=1 best=1 T=1.86 elapsed=12s
it=55000 cur=1 best=1 T=1.86 elapsed=12s
it=55200 cur=1 best=1 T=1.86 elapsed=12s
it=55400 cur=1 best=1 T=1.86 elapsed=12s
it=55600 cur=1 best=1 T=1.86 elapsed=12s
it=55800 cur=1 best=1 T=1.86 elapsed=12s
it=56000 cur=1 best=1 T=1.86 elapsed=13s
it=56200 cur=1 best=1 T=1.86 elapsed=13s
it=56400 cur=1 best=1 T=1.86 elapsed=13s
it=56600 cur=1 best=1 T=1.86 elapsed=13s
it=56800 cur=1 best=1 T=1.86 elapsed=13s
it=57000 cur=1 best=1 T=1.86 elapsed=13s
it=57200 cur=1 best=1 T=1.86 elapsed=13s
it=57400 cur=1 best=1 T=1.86 elapsed=13s
it=57600 cur=1 best=1 T=1.86 elapsed=13s
it=57800 cur=1 best=1 T=1.86 elapsed=13s
it=58000 cur=1 best=1 T=1.85 elapsed=13s
it=58200 cur=1 best=1 T=1.85 elapsed=13s
it=58400 cur=1 best=1 T=1.85 elapsed=13s
it=58600 cur=1 best=1 T=1.85 elapsed=13s
it=58800 cur=1 best=1 T=1.85 elapsed=13s
it=59000 cur=1 best=1 T=1.85 elapsed=13s
it=59200 cur=1 best=1 T=1.85 elapsed=13s
it=59400 cur=1 best=1 T=1.85 elapsed=13s
it=59600 cur=1 best=1 T=1.85 elapsed=13s
it=59800 cur=1 best=1 T=1.85 elapsed=13s
it=60000 cur=1 best=1 T=1.85 elapsed=13s
it=60200 cur=1 best=1 T=1.85 elapsed=13s
it=60400 cur=1 best=1 T=1.85 elapsed=13s
it=60600 cur=1 best=1 T=1.85 elapsed=13s
it=60800 cur=1 best=1 T=1.85 elapsed=13s
it=61000 cur=1 best=1 T=1.85 elapsed=13s
it=61200 cur=1 best=1 T=1.85 elapsed=13s
it=61400 cur=1 best=1 T=1.85 elapsed=13s
it=61600 cur=1 best=1 T=1.85 elapsed=13s
it=61800 cur=1 best=1 T=1.85 elapsed=13s
it=62000 cur=1 best=1 T=1.84 elapsed=13s
it=62200 cur=1 best=1 T=1.84 elapsed=14s
it=62400 cur=1 best=1 T=1.84 elapsed=14s
it=62600 cur=1 best=1 T=1.84 elapsed=14s
it=62800 cur=1 best=1 T=1.84 elapsed=14s
it=63000 cur=1 best=1 T=1.84 elapsed=14s
it=63200 cur=1 best=1 T=1.84 elapsed=14s
it=63400 cur=1 best=1 T=1.84 elapsed=14s
it=63600 cur=1 best=1 T=1.84 elapsed=14s
it=63800 cur=1 best=1 T=1.84 elapsed=14s
it=64000 cur=1 best=1 T=1.84 elapsed=14s
it=64200 cur=1 best=1 T=1.84 elapsed=14s
it=64400 cur=1 best=1 T=1.84 elapsed=14s
it=64600 cur=1 best=1 T=1.84 elapsed=14s
it=64800 cur=1 best=1 T=1.84 elapsed=14s
it=65000 cur=1 best=1 T=1.84 elapsed=14s
it=65200 cur=1 best=1 T=1.84 elapsed=14s
it=65400 cur=1 best=1 T=1.84 elapsed=14s
it=65600 cur=1 best=1 T=1.84 elapsed=14s
it=65800 cur=1 best=1 T=1.84 elapsed=14s
it=66000 cur=1 best=1 T=1.83 elapsed=14s
it=66200 cur=1 best=1 T=1.83 elapsed=14s
it=66400 cur=1 best=1 T=1.83 elapsed=14s
it=66600 cur=1 best=1 T=1.83 elapsed=14s
it=66800 cur=1 best=1 T=1.83 elapsed=14s
it=67000 cur=1 best=1 T=1.83 elapsed=14s
it=67200 cur=1 best=1 T=1.83 elapsed=14s
it=67400 cur=1 best=1 T=1.83 elapsed=14s
it=67600 cur=1 best=1 T=1.83 elapsed=14s
it=67800 cur=1 best=1 T=1.83 elapsed=14s
it=68000 cur=1 best=1 T=1.83 elapsed=14s
it=68200 cur=1 best=1 T=1.83 elapsed=14s
it=68400 cur=1 best=1 T=1.83 elapsed=14s
it=68600 cur=1 best=1 T=1.83 elapsed=15s
it=68800 cur=1 best=1 T=1.83 elapsed=15s
it=69000 cur=1 best=1 T=1.83 elapsed=15s
it=69200 cur=1 best=1 T=1.83 elapsed=15s
it=69400 cur=1 best=1 T=1.83 elapsed=15s
it=69600 cur=1 best=1 T=1.83 elapsed=15s
it=69800 cur=1 best=1 T=1.83 elapsed=15s
it=70000 cur=1 best=1 T=1.82 elapsed=15s
it=70200 cur=1 best=1 T=1.82 elapsed=15s
it=70400 cur=1 best=1 T=1.82 elapsed=15s
it=70600 cur=1 best=1 T=1.82 elapsed=15s
it=70800 cur=1 best=1 T=1.82 elapsed=15s
it=71000 cur=1 best=1 T=1.82 elapsed=15s
it=71200 cur=1 best=1 T=1.82 elapsed=15s
it=71400 cur=1 best=1 T=1.82 elapsed=15s
it=71600 cur=1 best=1 T=1.82 elapsed=15s
it=71800 cur=1 best=1 T=1.82 elapsed=15s
it=72000 cur=1 best=1 T=1.82 elapsed=15s
it=72200 cur=1 best=1 T=1.82 elapsed=15s
it=72400 cur=1 best=1 T=1.82 elapsed=15s
it=72600 cur=1 best=1 T=1.82 elapsed=15s
it=72800 cur=1 best=1 T=1.82 elapsed=15s
it=73000 cur=1 best=1 T=1.82 elapsed=15s
it=73200 cur=1 best=1 T=1.82 elapsed=15s
it=73400 cur=1 best=1 T=1.82 elapsed=15s
it=73600 cur=1 best=1 T=1.82 elapsed=15s
it=73800 cur=1 best=1 T=1.82 elapsed=15s
