blocks: 537 arms: 30
progress 72000/1500000 best=2 elapsed=617s
progress 72500/1500000 best=2 elapsed=621s
progress 73000/1500000 best=2 elapsed=624s
progress 73500/1500000 best=2 elapsed=628s
progress 74000/1500000 best=2 elapsed=632s
progress 74500/1500000 best=2 elapsed=636s
progress 75000/1500000 best=2 elapsed=639s
progress 75500/1500000 best=2 elapsed=644s
progress 76000/1500000 best=2 elapsed=648s
progress 76500/1500000 best=2 elapsed=652s
progress 77000/1500000 best=2 elapsed=656s
progress 77500/1500000 best=2 elapsed=659s
progress 78000/1500000 best=2 elapsed=663s
progress 78500/1500000 best=2 elapsed=666s
progress 79000/1500000 best=2 elapsed=670s
progress 79500/1500000 best=2 elapsed=674s
progress 80000/1500000 best=2 elapsed=677s
progress 80500/1500000 best=2 elapsed=681s
progress 81000/1500000 best=2 elapsed=685s
progress 81500/1500000 best=2 elapsed=688s
progress 82000/1500000 best=2 elapsed=692s
progress 82500/1500000 best=2 elapsed=696s
progress 83000/1500000 best=2 elapsed=699s
progress 83500/1500000 best=2 elapsed=703s
progress 84000/1500000 best=2 elapsed=706s
progress 84500/1500000 best=2 elapsed=710s
progress 85000/1500000 best=2 elapsed=714s
progress 85500/1500000 best=2 elapsed=719s
progress 86000/1500000 best=2 elapsed=724s
progress 86500/1500000 best=2 elapsed=728s
progress 87000/1500000 best=2 elapsed=733s
