[b24r0] seed unevaluable, abort
[b24r4] it=11956 new best t=7 L=13v n=16 m=28 paths=63
[b24r4] it=11962 new best t=6 L=13v n=17 m=29 paths=124
[b24r4] it=11964 new best t=6 L=13v n=17 m=30 paths=156
[b24r4] it=14491 new best t=6 L=13v n=20 m=31 paths=345
[b24r4] it=14959 new best t=6 L=13v n=19 m=31 paths=631
[b24r4] it=15367 new best t=6 L=13v n=19 m=33 paths=785
[b24r4] it=16051 new best t=5 L=11v n=15 m=26 paths=96
[b24r4] it=16057 new best t=5 L=11v n=15 m=25 paths=98
[b24r4] it=16067 new best t=5 L=11v n=15 m=25 paths=99
[b24r4] it=16069 new best t=5 L=11v n=15 m=26 paths=136
[b24r4] it=16359 new best t=5 L=11v n=15 m=26 paths=153
[b24r4] it=16784 new best t=5 L=11v n=16 m=24 paths=184
[b24r4] it=16786 new best t=5 L=11v n=16 m=25 paths=190
[b24r4] it=16789 new best t=5 L=11v n=16 m=26 paths=202
[b24r4] it=17013 new best t=5 L=11v n=16 m=25 paths=243
[b24r4] it=17017 new best t=5 L=11v n=16 m=26 paths=302
[b24r4] done iters=20000 best t=5 (L=11v, n=16) elapsed=2716s
[b24r5] it=2 new best t=20 L=20v n=20 m=22 paths=1
[b24r5] it=6 new best t=19 L=19v n=19 m=21 paths=1
[b24r5] it=8 new best t=18 L=18v n=18 m=20 paths=1
[b24r5] it=15 new best t=17 L=17v n=17 m=18 paths=1
[b24r5] it=22 new best t=16 L=16v n=16 m=18 paths=1
[b24r5] it=24 new best t=15 L=15v n=15 m=17 paths=1
[b24r5] it=34 new best t=14 L=14v n=14 m=17 paths=1
[b24r5] it=45 new best t=14 L=15v n=16 m=19 paths=2
[b24r5] it=47 new best t=13 L=14v n=15 m=18 paths=2
[b24r5] it=61 new best t=12 L=14v n=15 m=20 paths=4
[b24r5] it=62 new best t=12 L=14v n=15 m=21 paths=5
[b24r5] it=71 new best t=12 L=14v n=15 m=21 paths=7
[b24r5] it=1137 new best t=11 L=15v n=17 m=22 paths=10
[b24r5] it=3921 new best t=11 L=17v n=20 m=36 paths=54
[b24r5] it=4509 new best t=10 L=14v n=16 m=27 paths=24
[b24r5] it=4515 new best t=10 L=14v n=16 m=28 paths=25
[b24r5] it=9102 new best t=9 L=15v n=19 m=29 paths=40
[b24r5] it=9167 new best t=9 L=15v n=19 m=29 paths=78
[b24r5] it=9174 new best t=9 L=15v n=19 m=30 paths=88
[b24r5] it=9208 new best t=8 L=14v n=17 m=29 paths=73
[b24r5] it=9210 new best t=8 L=14v n=17 m=30 paths=74
[b24r5] it=10974 new best t=7 L=13v n=16 m=24 paths=37
[b24r5] it=15635 new best t=7 L=13v n=16 m=22 paths=50
[b24r5] it=15700 new best t=7 L=13v n=16 m=22 paths=54
[b24r5] it=15708 new best t=7 L=13v n=16 m=23 paths=58
[b24r5] it=15716 new best t=7 L=13v n=16 m=24 paths=68
[b24r5] it=15733 new best t=7 L=13v n=16 m=25 paths=82
[b24r5] it=15781 new best t=7 L=13v n=16 m=28 paths=83
[b24r5] it=15796 new best t=5 L=11v n=14 m=23 paths=66
[b24r5] it=15800 new best t=5 L=11v n=14 m=25 paths=70
[b24r5] it=15804 new best t=5 L=11v n=14 m=25 paths=76
[b24r5] it=15821 new best t=5 L=11v n=15 m=26 paths=112
[b24r5] it=15831 new best t=5 L=11v n=16 m=28 paths=197
[b24r5] it=15834 new best t=5 L=11v n=16 m=27 paths=201
[b24r5] it=15845 new best t=5 L=11v n=16 m=28 paths=252
[b24r5] it=16619 new best t=5 L=11v n=16 m=27 paths=307
[b24r5] it=18776 new best t=5 L=11v n=18 m=29 paths=502
[b24r5] it=18781 new best t=5 L=11v n=18 m=29 paths=593
[b24r5] it=18787 new best t=5 L=11v n=18 m=30 paths=619
[b24r5] it=18804 new best t=5 L=11v n=18 m=30 paths=677
[b24r5] it=18806 new best t=5 L=11v n=18 m=31 paths=685
[b24r5] it=18808 new best t=5 L=11v n=18 m=32 paths=823
[b24r5] it=18821 new best t=5 L=11v n=18 m=32 paths=850
[b24r5] it=18834 new best t=5 L=11v n=18 m=32 paths=857
[b24r5] done iters=20000 best t=5 (L=11v, n=18) elapsed=2904s
[b24r6] it=0 new best t=14 L=14v n=14 m=15 paths=1
[b24r6] it=65 new best t=13 L=14v n=15 m=21 paths=2
[b24r6] it=69 new best t=11 L=13v n=14 m=20 paths=3
[b24r6] it=71 new best t=11 L=13v n=14 m=21 paths=5
[b24r6] it=101 new best t=11 L=15v n=17 m=28 paths=19
