[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 17, 'ilp_tested': 1730, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 5800, 'dup': 1, 'tau1': 4045, 'tau2': 1665, 'tau3': 78, 'disconnected': 8, 'tau4': 4} t=3848s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 17, 'ilp_tested': 1776, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 6000, 'dup': 1, 'tau1': 4199, 'tau2': 1708, 'tau3': 81, 'disconnected': 8, 'tau4': 4} t=3953s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 18, 'ilp_tested': 1826, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 6200, 'dup': 2, 'tau1': 4348, 'tau2': 1755, 'tau3': 85, 'disconnected': 8, 'tau4': 4} t=4057s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 18, 'ilp_tested': 1893, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 6400, 'dup': 2, 'tau1': 4481, 'tau2': 1821, 'tau3': 86, 'disconnected': 8, 'tau4': 4} t=4170s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 19, 'ilp_tested': 1956, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 6600, 'dup': 2, 'tau1': 4617, 'tau2': 1883, 'tau3': 88, 'disconnected': 8, 'tau4': 4} t=4281s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 19, 'ilp_tested': 2005, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 6800, 'dup': 2, 'tau1': 4768, 'tau2': 1930, 'tau3': 90, 'disconnected': 8, 'tau4': 4} t=4400s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 20, 'ilp_tested': 2069, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 7000, 'dup': 2, 'tau1': 4902, 'tau2': 1991, 'tau3': 94, 'disconnected': 9, 'tau4': 4} t=4501s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 22, 'ilp_tested': 2132, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 7200, 'dup': 2, 'tau1': 5037, 'tau2': 2051, 'tau3': 99, 'disconnected': 9, 'tau4': 4} t=4606s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 22, 'ilp_tested': 2194, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 7400, 'dup': 2, 'tau1': 5175, 'tau2': 2106, 'tau3': 106, 'disconnected': 9, 'tau4': 4} t=4714s
[ring5 seed=0 ch=(0, 1, 2)] {'tau0': 0, 'rho_filtered': 23, 'ilp_tested': 2257, 'ilp_timeout': 0, 'FAILURES': 0, 'filter_sanity_ok': 1, 'seen': 7600, 'dup': 2, 'tau1': 5311, 'tau2': 2170, 'tau3': 106, 'disconnected': 9, 'tau4': 4} t=4831s
