BOUNDARY G?`vf_ score=1.06581410364e-14 w=2 m=12
BOUNDARY G?r@`_ score=7.1054273576e-15 w=2 m=8
BOUNDARY G?r@eC score=8.881784197e-15 w=2 m=9
BOUNDARY G?r@f_ score=1.06581410364e-14 w=2 m=10
BOUNDARY G?rFf_ score=1.42108547152e-14 w=2 m=12
BOUNDARY G?rE]W score=5.3290705182e-15 w=3 m=12
BOUNDARY G?ovf_ score=2.13162820728e-14 w=2 m=12
BOUNDARY G?zfF_ score=-1.7763568394e-15 w=2 m=13
BOUNDARY G?zff_ score=8.881784197e-15 w=2 m=14
BOUNDARY G?zvf_ score=3.73034936274e-14 w=2 m=15
BOUNDARY G?~vf_ score=7.1054273576e-15 w=2 m=16
BOUNDARY GCe[{{ score=-1.11022302463e-15 w=6 m=15
BOUNDARY GQhTQg score=7.1054273576e-15 w=4 m=12
BOUNDARY GTm||{ score=-2.6645352591e-15 w=7 m=21
BOUNDARY G]~v~w score=3.5527136788e-14 w=4 m=24
checked=12346 violations=0 boundary(>-1e-06)=112 maxscore=5.50670620214e-14 maxg6=G??Ffw
