BOUNDARY H??E@bo score=8.881784197e-15 w=2 m=8
BOUNDARY H??EFB_ score=2.30926389122e-14 w=2 m=8
BOUNDARY H??E@ow score=-1.7763568394e-15 w=2 m=8
BOUNDARY H??E@oy score=1.7763568394e-15 w=2 m=9
BOUNDARY H??E@rw score=2.48689957516e-14 w=2 m=10
BOUNDARY H??EFbo score=1.06581410364e-14 w=2 m=10
BOUNDARY H??EDqw score=2.13162820728e-14 w=2 m=10
BOUNDARY H??E@w{ score=0 w=2 m=10
BOUNDARY H??E@w} score=4.08562073062e-14 w=2 m=11
BOUNDARY H??E@z{ score=7.1054273576e-15 w=2 m=12
BOUNDARY H??EFrw score=3.37507799486e-14 w=2 m=12
BOUNDARY H??EDy{ score=1.7763568394e-14 w=2 m=12
BOUNDARY H??E@{} score=1.06581410364e-14 w=2 m=12
BOUNDARY H??EFz{ score=8.52651282912e-14 w=2 m=14
BOUNDARY H??FFB_ score=0 w=2 m=9
BOUNDARY H??FFBo score=1.7763568394e-15 w=2 m=10
BOUNDARY H??FFBW score=1.24344978758e-14 w=2 m=10
BOUNDARY H??FFA[ score=2.84217094304e-14 w=2 m=10
BOUNDARY H??FF?Z score=-1.7763568394e-15 w=2 m=10
BOUNDARY H??FFBw score=3.19744231092e-14 w=2 m=11
BOUNDARY H??FFB[ score=1.42108547152e-14 w=2 m=11
BOUNDARY H??FF?^ score=7.1054273576e-15 w=2 m=11
BOUNDARY H??FFB{ score=-1.59872115546e-14 w=2 m=12
BOUNDARY H??F?z_ score=0 w=2 m=9
BOUNDARY H??F?w] score=3.37507799486e-14 w=2 m=10
BOUNDARY H??F?z{ score=1.7763568394e-14 w=2 m=12
BOUNDARY H??FFbo score=7.1054273576e-15 w=2 m=11
BOUNDARY H??FErW score=-1.7763568394e-15 w=2 m=11
BOUNDARY H??FCy[ score=4.08562073062e-14 w=2 m=11
BOUNDARY H??FFrw score=1.59872115546e-14 w=2 m=13
BOUNDARY H??FEz[ score=1.95399252334e-14 w=2 m=13
BOUNDARY H??FFz{ score=2.48689957516e-14 w=2 m=15
BOUNDARY H??Ffbo score=-7.1054273576e-15 w=2 m=12
BOUNDARY H??Ffbw score=1.24344978758e-14 w=2 m=13
BOUNDARY H??Ffbk score=8.881784197e-15 w=2 m=13
BOUNDARY H??Ffb{ score=3.01980662698e-14 w=2 m=14
BOUNDARY H??FfRo score=2.84217094304e-14 w=2 m=12
BOUNDARY H??FeZo score=2.48689957516e-14 w=2 m=12
BOUNDARY H??Ffrw score=4.79616346638e-14 w=2 m=14
BOUNDARY H??FfZk score=4.08562073062e-14 w=2 m=14
BOUNDARY H??Ffz{ score=3.19744231092e-14 w=2 m=16
BOUNDARY H??Fvrw score=3.5527136788e-14 w=2 m=15
BOUNDARY H??Fvrs score=5.3290705182e-15 w=2 m=15
BOUNDARY H??Fvr{ score=7.1054273576e-15 w=2 m=16
BOUNDARY H??Fvz{ score=3.5527136788e-14 w=2 m=17
BOUNDARY H??F~z{ score=3.5527136788e-15 w=2 m=18
