BOUNDARY I????B{{o score=1.42108547152e-14 w=2 m=12
BOUNDARY I????B{~_ score=5.3290705182e-15 w=2 m=13
BOUNDARY I????B{}o score=1.7763568394e-15 w=2 m=13
BOUNDARY I????B{~o score=1.59872115546e-14 w=2 m=14
BOUNDARY I????B}~_ score=1.24344978758e-14 w=2 m=14
BOUNDARY I????B}~O score=2.84217094304e-14 w=2 m=14
BOUNDARY I????B}~o score=1.59872115546e-14 w=2 m=15
BOUNDARY I????B~~o score=-2.48689957516e-14 w=2 m=16
BOUNDARY I???C@?o? score=-2.22044604925e-15 w=2 m=4
BOUNDARY I???C@_W? score=3.5527136788e-15 w=2 m=5
BOUNDARY I???C@_w? score=4.4408920985e-15 w=2 m=6
BOUNDARY I???CA@_W score=3.5527136788e-15 w=4 m=6
BOUNDARY I???C@o[? score=-1.7763568394e-15 w=2 m=7
BOUNDARY I???C@o{? score=8.881784197e-15 w=2 m=8
BOUNDARY I???CBo{? score=1.7763568394e-15 w=2 m=9
BOUNDARY I???C@w]? score=0 w=2 m=9
BOUNDARY I???C@w}? score=1.59872115546e-14 w=2 m=10
BOUNDARY I???CBw}? score=-1.7763568394e-14 w=2 m=11
BOUNDARY I???C@{^? score=7.1054273576e-15 w=2 m=11
BOUNDARY I???C@{~? score=1.42108547152e-14 w=2 m=12
BOUNDARY I???CB{~? score=0 w=2 m=13
BOUNDARY I???C@}^_ score=-3.01980662698e-14 w=2 m=13
BOUNDARY I???C@}~_ score=3.73034936274e-14 w=2 m=14
BOUNDARY I???CB}~_ score=1.59872115546e-14 w=2 m=15
BOUNDARY I???EB?w? score=9.7699626167e-15 w=2 m=7
BOUNDARY I???EB?M? score=4.4408920985e-15 w=2 m=7
BOUNDARY I???EB?{? score=3.5527136788e-15 w=2 m=8
BOUNDARY I???EB?m? score=1.42108547152e-14 w=2 m=8
BOUNDARY I???EB?N? score=-4.4408920985e-15 w=2 m=8
BOUNDARY I???EB?}? score=2.30926389122e-14 w=2 m=9
BOUNDARY I???EB?n? score=-1.7763568394e-15 w=2 m=9
BOUNDARY I???EB?N_ score=-1.7763568394e-15 w=2 m=9
BOUNDARY I???EB?~? score=0 w=2 m=10
BOUNDARY I???EB?n_ score=-5.3290705182e-15 w=2 m=10
BOUNDARY I???EB?~_ score=2.30926389122e-14 w=2 m=11
BOUNDARY I???E?oo? score=2.6645352591e-15 w=2 m=6
BOUNDARY I???E?oKO score=7.9936057773e-15 w=2 m=7
BOUNDARY I???E?o{? score=8.881784197e-15 w=2 m=8
BOUNDARY I???EB_w? score=2.30926389122e-14 w=2 m=8
BOUNDARY I???E?wM? score=-1.7763568394e-15 w=2 m=8
BOUNDARY I???E?wMO score=1.7763568394e-15 w=2 m=9
BOUNDARY I???E?w}? score=2.48689957516e-14 w=2 m=10
BOUNDARY I???EBo{? score=1.06581410364e-14 w=2 m=10
BOUNDARY I???EAwm? score=2.13162820728e-14 w=2 m=10
BOUNDARY I???E?{N? score=0 w=2 m=10
BOUNDARY I???E?{NO score=4.08562073062e-14 w=2 m=11
BOUNDARY I???E?{~? score=7.1054273576e-15 w=2 m=12
BOUNDARY I???EBw}? score=3.37507799486e-14 w=2 m=12
BOUNDARY I???EA{n? score=1.7763568394e-14 w=2 m=12
BOUNDARY I???E?}N_ score=5.3290705182e-15 w=2 m=12
BOUNDARY I???E?}No score=2.48689957516e-14 w=2 m=13
BOUNDARY I???E?}~_ score=2.84217094304e-14 w=2 m=14
BOUNDARY I???E?|NO score=1.06581410364e-14 w=2 m=12
BOUNDARY I???EB{~? score=8.52651282912e-14 w=2 m=14
BOUNDARY I???EA}n_ score=7.1054273576e-15 w=2 m=14
BOUNDARY I???E?~No score=3.37507799486e-14 w=2 m=14
BOUNDARY I???EB}~_ score=5.68434188608e-14 w=2 m=16
BOUNDARY I???FB_w? score=0 w=2 m=9
BOUNDARY I???FB_F? score=0 w=2 m=9
BOUNDARY I???FB_{? score=1.7763568394e-15 w=2 m=10
BOUNDARY I???FB_u? score=1.24344978758e-14 w=2 m=10
BOUNDARY I???FB_f? score=2.84217094304e-14 w=2 m=10
BOUNDARY I???FB_F_ score=-8.881784197e-15 w=2 m=10
BOUNDARY I???FB_EW score=-1.7763568394e-15 w=2 m=10
BOUNDARY I???FB_}? score=3.19744231092e-14 w=2 m=11
BOUNDARY I???FB_v? score=1.42108547152e-14 w=2 m=11
BOUNDARY I???FB_f_ score=-3.5527136788e-15 w=2 m=11
BOUNDARY I???FB_Fo score=1.7763568394e-15 w=2 m=11
BOUNDARY I???FB_FW score=7.1054273576e-15 w=2 m=11
BOUNDARY I???FB_~? score=-1.59872115546e-14 w=2 m=12
BOUNDARY I???FB_v_ score=0 w=2 m=12
BOUNDARY I???FB_Fw score=5.15143483426e-14 w=2 m=12
BOUNDARY I???FB_~_ score=5.86197757002e-14 w=2 m=13
BOUNDARY I???F?[FO score=3.37507799486e-14 w=2 m=10
BOUNDARY I???F?[~? score=1.7763568394e-14 w=2 m=12
BOUNDARY I???FBo{? score=7.1054273576e-15 w=2 m=11
BOUNDARY I???FBWu? score=-1.7763568394e-15 w=2 m=11
BOUNDARY I???FA[f? score=4.08562073062e-14 w=2 m=11
BOUNDARY I???F?]F_ score=1.7763568394e-15 w=2 m=11
BOUNDARY I???F?]Fo score=1.95399252334e-14 w=2 m=12
BOUNDARY I???F?]~_ score=4.61852778244e-14 w=2 m=14
BOUNDARY I???FBw}? score=1.59872115546e-14 w=2 m=13
BOUNDARY I???FB[v? score=1.95399252334e-14 w=2 m=13
BOUNDARY I???FA]f_ score=-2.13162820728e-14 w=2 m=13
BOUNDARY I???FB{~? score=2.48689957516e-14 w=2 m=15
BOUNDARY I???FB]v_ score=3.37507799486e-14 w=2 m=15
BOUNDARY I???FB}~_ score=-1.06581410364e-14 w=2 m=17
BOUNDARY I???Fbo{? score=-7.1054273576e-15 w=2 m=12
BOUNDARY I???Fbor? score=-8.881784197e-15 w=2 m=12
BOUNDARY I???Fbo}? score=1.24344978758e-14 w=2 m=13
BOUNDARY I???Fboz? score=8.881784197e-15 w=2 m=13
BOUNDARY I???Fbor_ score=-1.7763568394e-14 w=2 m=13
BOUNDARY I???FboBw score=2.30926389122e-14 w=2 m=13
BOUNDARY I???Fbo~? score=3.01980662698e-14 w=2 m=14
BOUNDARY I???Fboz_ score=3.5527136788e-15 w=2 m=14
BOUNDARY I???Fbo~_ score=2.6645352591e-14 w=2 m=15
BOUNDARY I???Fbg{? score=2.84217094304e-14 w=2 m=12
BOUNDARY I???FaM{? score=-8.881784197e-15 w=2 m=12
BOUNDARY I???Fbw}? score=4.79616346638e-14 w=2 m=14
BOUNDARY I???Fbkz? score=4.08562073062e-14 w=2 m=14
BOUNDARY I???FbMr_ score=1.24344978758e-14 w=2 m=14
BOUNDARY I???Fb{~? score=3.19744231092e-14 w=2 m=16
BOUNDARY I???Fbmz_ score=1.7763568394e-14 w=2 m=16
BOUNDARY I???Fb}~_ score=1.06581410364e-13 w=2 m=18
BOUNDARY I???Frw}? score=3.5527136788e-14 w=2 m=15
BOUNDARY I???Frw~? score=7.1054273576e-15 w=2 m=16
BOUNDARY I???Frw|_ score=2.84217094304e-14 w=2 m=16
BOUNDARY I???Frw~_ score=2.13162820728e-14 w=2 m=17
BOUNDARY I???Frs}? score=1.06581410364e-14 w=2 m=15
BOUNDARY I???Fre}? score=1.42108547152e-14 w=2 m=15
BOUNDARY I???Fr{~? score=3.5527136788e-14 w=2 m=17
BOUNDARY I???Fru|_ score=1.7763568394e-14 w=2 m=17
BOUNDARY I???Fr}~_ score=6.39488462184e-14 w=2 m=19
BOUNDARY I???Fz{~? score=3.5527136788e-15 w=2 m=18
BOUNDARY I???Fz{}_ score=2.84217094304e-14 w=2 m=18
BOUNDARY I???Fz{~_ score=3.19744231092e-14 w=2 m=19
BOUNDARY I???Fz}~_ score=7.1054273576e-15 w=2 m=20
BOUNDARY I???F~}~_ score=2.13162820728e-14 w=2 m=21
BOUNDARY I??CAAAOO score=2.6645352591e-15 w=3 m=6
BOUNDARY I??CB@_w? score=-1.33226762955e-14 w=2 m=8
BOUNDARY I??CBB_w? score=-2.13162820728e-14 w=2 m=9
BOUNDARY I??CCEB_w score=-8.881784197e-16 w=5 m=10
BOUNDARY I??CB`o[? score=0 w=2 m=10
BOUNDARY I??CB`o{? score=7.1054273576e-15 w=2 m=11
BOUNDARY I??CBbo{? score=1.06581410364e-14 w=2 m=12
BOUNDARY I??CBpw]? score=-7.1054273576e-15 w=2 m=13
BOUNDARY I??CBpw}? score=7.1054273576e-15 w=2 m=14
BOUNDARY I??CBrw}? score=8.881784197e-15 w=2 m=15
BOUNDARY I??CFrw}? score=3.19744231092e-14 w=2 m=16
BOUNDARY I??CBx{^? score=3.5527136788e-14 w=2 m=16
BOUNDARY I??CBx{~? score=-3.5527136788e-14 w=2 m=17
BOUNDARY I??CBz{~? score=1.42108547152e-14 w=2 m=18
BOUNDARY I??CFz{~? score=6.39488462184e-14 w=2 m=19
