BOUNDARY J??????{C^? score=5.3290705182e-15 w=2 m=10
BOUNDARY J??????{?^_ score=3.37507799486e-14 w=2 m=10
BOUNDARY J??????{F{? score=2.13162820728e-14 w=2 m=11
BOUNDARY J??????{F]? score=3.5527136788e-14 w=2 m=11
BOUNDARY J??????{E^? score=1.95399252334e-14 w=2 m=11
BOUNDARY J??????{F}? score=-3.5527136788e-15 w=2 m=12
BOUNDARY J??????{F^? score=-3.5527136788e-15 w=2 m=12
BOUNDARY J??????{F~? score=2.13162820728e-14 w=2 m=13
BOUNDARY J??????}Fo? score=7.1054273576e-15 w=2 m=10
BOUNDARY J??????}Fg? score=2.84217094304e-14 w=2 m=10
BOUNDARY J??????}FK? score=3.5527136788e-15 w=2 m=10
BOUNDARY J??????}EM? score=-1.42108547152e-14 w=2 m=10
BOUNDARY J??????}CN? score=1.06581410364e-14 w=2 m=10
BOUNDARY J??????}Fw? score=2.6645352591e-14 w=2 m=11
BOUNDARY J??????}Fk? score=-8.881784197e-15 w=2 m=11
BOUNDARY J??????}FM? score=3.37507799486e-14 w=2 m=11
BOUNDARY J??????}EN? score=1.95399252334e-14 w=2 m=11
BOUNDARY J??????}F{? score=2.84217094304e-14 w=2 m=12
BOUNDARY J??????}Fm? score=1.59872115546e-14 w=2 m=12
BOUNDARY J??????}FN? score=2.84217094304e-14 w=2 m=12
BOUNDARY J??????}F}? score=3.19744231092e-14 w=2 m=13
BOUNDARY J??????}Fn? score=4.97379915032e-14 w=2 m=13
BOUNDARY J??????}F~? score=2.13162820728e-14 w=2 m=14
BOUNDARY J??????~Fw? score=-2.84217094304e-14 w=2 m=12
BOUNDARY J??????~Fs? score=-5.3290705182e-15 w=2 m=12
BOUNDARY J??????~Fe? score=1.42108547152e-14 w=2 m=12
BOUNDARY J??????~FF? score=5.3290705182e-15 w=2 m=12
BOUNDARY J??????~F{? score=5.3290705182e-15 w=2 m=13
BOUNDARY J??????~Fu? score=1.7763568394e-15 w=2 m=13
BOUNDARY J??????~Ff? score=3.73034936274e-14 w=2 m=13
BOUNDARY J??????~F}? score=1.59872115546e-14 w=2 m=14
BOUNDARY J??????~Fv? score=0 w=2 m=14
BOUNDARY J??????~F~? score=8.881784197e-15 w=2 m=15
BOUNDARY J??????~f{? score=1.24344978758e-14 w=2 m=14
BOUNDARY J??????~fy? score=2.84217094304e-14 w=2 m=14
BOUNDARY J??????~fr? score=1.95399252334e-14 w=2 m=14
BOUNDARY J??????~f}? score=1.59872115546e-14 w=2 m=15
BOUNDARY J??????~fz? score=2.30926389122e-14 w=2 m=15
BOUNDARY J??????~f~? score=5.68434188608e-14 w=2 m=16
BOUNDARY J??????~v}? score=-2.48689957516e-14 w=2 m=16
BOUNDARY J??????~v|? score=9.59232693276e-14 w=2 m=16
BOUNDARY J??????~v~? score=-4.26325641456e-14 w=2 m=17
BOUNDARY J??????~~~? score=-1.06581410364e-14 w=2 m=18
BOUNDARY J????A?OE?? score=-2.22044604925e-15 w=2 m=4
BOUNDARY J????A?WB?? score=3.5527136788e-15 w=2 m=5
BOUNDARY J????A?WF?? score=4.4408920985e-15 w=2 m=6
