[n=14 it=1 t=0s] min-decomp=5 (bound 6) m=57
[n=14 it=23800 t=2458s] cur=5 best=5 m=54 cache=18079
[n=14 it=24000 t=2489s] cur=5 best=5 m=54 cache=18240
[n=14 it=24200 t=2516s] cur=5 best=5 m=56 cache=18384
[n=14 it=24400 t=2545s] cur=5 best=5 m=55 cache=18541
[n=14 it=24600 t=2571s] cur=5 best=5 m=54 cache=18692
[n=14 it=24800 t=2600s] cur=5 best=5 m=57 cache=18841
[n=14 it=25000 t=2626s] cur=4 best=5 m=48 cache=18987
[n=14 it=25200 t=2656s] cur=5 best=5 m=50 cache=19133
[n=14 it=25600 t=2717s] cur=5 best=5 m=50 cache=19447
[n=14 it=26200 t=2780s] cur=5 best=5 m=49 cache=19900
[n=14 it=26400 t=2802s] cur=5 best=5 m=52 cache=20051
[n=14 it=26600 t=2821s] cur=5 best=5 m=53 cache=20205
[n=14 it=26800 t=2840s] cur=5 best=5 m=48 cache=20351
[n=14 it=27000 t=2859s] cur=5 best=5 m=48 cache=20509
[n=14 it=27200 t=2873s] cur=5 best=5 m=49 cache=20652
[n=14 it=27400 t=2889s] cur=5 best=5 m=52 cache=20814
[n=14 it=27600 t=2904s] cur=5 best=5 m=49 cache=20968
[n=14 it=27800 t=2917s] cur=5 best=5 m=55 cache=21124
[n=14 it=28000 t=2932s] cur=5 best=5 m=54 cache=21289
[n=14 it=28200 t=2944s] cur=5 best=5 m=58 cache=21449
[n=14 it=28400 t=2957s] cur=5 best=5 m=52 cache=21606
[n=14 it=28600 t=2969s] cur=5 best=5 m=54 cache=21761
[n=14 it=28800 t=2981s] cur=5 best=5 m=52 cache=21923
[n=14 it=29000 t=2993s] cur=5 best=5 m=53 cache=22075
[n=14 it=29200 t=3007s] cur=4 best=5 m=50 cache=22226
[n=14 it=29400 t=3019s] cur=5 best=5 m=50 cache=22382
[n=14 it=29800 t=3044s] cur=5 best=5 m=52 cache=22691
[n=14 it=30200 t=3066s] cur=5 best=5 m=53 cache=22984
[n=14 it=30400 t=3079s] cur=5 best=5 m=54 cache=23142
[n=14 it=30800 t=3103s] cur=5 best=5 m=53 cache=23453
[n=14 it=31000 t=3114s] cur=5 best=5 m=47 cache=23596
[n=14 it=31200 t=3125s] cur=5 best=5 m=51 cache=23739
[n=14 it=31400 t=3136s] cur=4 best=5 m=48 cache=23888
[n=14 it=31600 t=3146s] cur=4 best=5 m=48 cache=24030
[n=14 it=31800 t=3158s] cur=5 best=5 m=50 cache=24183
[n=14 it=32000 t=3170s] cur=5 best=5 m=55 cache=24339
[n=14 it=32200 t=3183s] cur=5 best=5 m=52 cache=24503
[n=14 it=32800 t=3218s] cur=5 best=5 m=49 cache=24969
