DONE n=15 resmod=['93', '400']: 2959206 graphs, 0 escalated, t=945s
DONE n=15 resmod=['92', '400']: 3476440 graphs, 0 escalated, t=1054s
DONE n=15 resmod=['94', '400']: 3301779 graphs, 0 escalated, t=1046s
DONE n=15 resmod=['95', '400']: 3427229 graphs, 0 escalated, t=1085s
DONE n=15 resmod=['96', '400']: 2989731 graphs, 0 escalated, t=928s
DONE n=15 resmod=['97', '400']: 3073720 graphs, 0 escalated, t=990s
DONE n=15 resmod=['98', '400']: 3276380 graphs, 0 escalated, t=1019s
DONE n=15 resmod=['100', '400']: 3470877 graphs, 0 escalated, t=1102s
DONE n=15 resmod=['99', '400']: 3655283 graphs, 0 escalated, t=1159s
DONE n=15 resmod=['101', '400']: 3704477 graphs, 0 escalated, t=1135s
DONE n=15 resmod=['103', '400']: 3512779 graphs, 0 escalated, t=1128s
DONE n=15 resmod=['102', '400']: 3809416 graphs, 0 escalated, t=1240s
DONE n=15 resmod=['104', '400']: 3121050 graphs, 0 escalated, t=990s
DONE n=15 resmod=['105', '400']: 2935935 graphs, 0 escalated, t=920s
DONE n=15 resmod=['106', '400']: 2836124 graphs, 0 escalated, t=898s
DONE n=15 resmod=['107', '400']: 3211927 graphs, 0 escalated, t=1015s
DONE n=15 resmod=['108', '400']: 2804759 graphs, 0 escalated, t=865s
DONE n=15 resmod=['110', '400']: 2988919 graphs, 0 escalated, t=944s
DONE n=15 resmod=['109', '400']: 3765743 graphs, 0 escalated, t=1174s
DONE n=15 resmod=['111', '400']: 3359261 graphs, 0 escalated, t=1081s
DONE n=15 resmod=['112', '400']: 3408099 graphs, 0 escalated, t=1105s
DONE n=15 resmod=['113', '400']: 3102002 graphs, 0 escalated, t=962s
DONE n=15 resmod=['115', '400']: 3455909 graphs, 0 escalated, t=1099s
DONE n=15 resmod=['116', '400']: 3067242 graphs, 0 escalated, t=962s
DONE n=15 resmod=['118', '400']: 3166351 graphs, 0 escalated, t=968s
DONE n=15 resmod=['114', '400']: 4901423 graphs, 0 escalated, t=1594s
DONE n=15 resmod=['120', '400']: 2941798 graphs, 0 escalated, t=883s
DONE n=15 resmod=['117', '400']: 3821224 graphs, 0 escalated, t=1209s
DONE n=15 resmod=['119', '400']: 3768517 graphs, 0 escalated, t=1221s
DONE n=15 resmod=['121', '400']: 3882388 graphs, 0 escalated, t=1265s
DONE n=15 resmod=['122', '400']: 3592982 graphs, 0 escalated, t=1146s
DONE n=15 resmod=['123', '400']: 3692082 graphs, 0 escalated, t=1178s
DONE n=15 resmod=['126', '400']: 3134079 graphs, 0 escalated, t=996s
DONE n=15 resmod=['124', '400']: 4274685 graphs, 0 escalated, t=1320s
DONE n=15 resmod=['125', '400']: 4281445 graphs, 0 escalated, t=1406s
DONE n=15 resmod=['127', '400']: 4046377 graphs, 0 escalated, t=1223s
DONE n=15 resmod=['128', '400']: 3425852 graphs, 0 escalated, t=1066s
DONE n=15 resmod=['129', '400']: 3560064 graphs, 0 escalated, t=1133s
DONE n=15 resmod=['130', '400']: 3871443 graphs, 0 escalated, t=1224s
DONE n=15 resmod=['131', '400']: 3898683 graphs, 0 escalated, t=1264s
DONE n=15 resmod=['132', '400']: 3898984 graphs, 0 escalated, t=1197s
DONE n=15 resmod=['134', '400']: 3399836 graphs, 0 escalated, t=1046s
DONE n=15 resmod=['133', '400']: 3750529 graphs, 0 escalated, t=1232s
DONE n=15 resmod=['136', '400']: 3459880 graphs, 0 escalated, t=1114s
DONE n=15 resmod=['135', '400']: 3854126 graphs, 0 escalated, t=1241s
DONE n=15 resmod=['138', '400']: 3451137 graphs, 0 escalated, t=1080s
DONE n=15 resmod=['137', '400']: 3727231 graphs, 0 escalated, t=1177s
DONE n=15 resmod=['139', '400']: 3387797 graphs, 0 escalated, t=1060s
DONE n=15 resmod=['140', '400']: 3296237 graphs, 0 escalated, t=1023s
DONE n=15 resmod=['141', '400']: 3992974 graphs, 0 escalated, t=1249s
DONE n=15 resmod=['142', '400']: 3642973 graphs, 0 escalated, t=1120s
DONE n=15 resmod=['143', '400']: 4229693 graphs, 0 escalated, t=1323s
DONE n=15 resmod=['147', '400']: 3020909 graphs, 0 escalated, t=913s
DONE n=15 resmod=['146', '400']: 3466449 graphs, 0 escalated, t=1126s
DONE n=15 resmod=['144', '400']: 4334055 graphs, 0 escalated, t=1384s
DONE n=15 resmod=['145', '400']: 4490199 graphs, 0 escalated, t=1400s
DONE n=15 resmod=['148', '400']: 4113735 graphs, 0 escalated, t=1304s
DONE n=15 resmod=['149', '400']: 3517044 graphs, 0 escalated, t=1128s
DONE n=15 resmod=['151', '400']: 3534234 graphs, 0 escalated, t=1104s
DONE n=15 resmod=['150', '400']: 3702289 graphs, 0 escalated, t=1199s
