BEST n=30 hc=47828 edges: 0-12 0-13 0-23 0-27 1-3 1-9 1-22 1-24 2-6 2-20 2-23 2-25 3-9 3-22 3-28 4-8 4-18 4-19 4-25 5-8 5-10 5-13 5-28 6-7 6-25 6-26 7-8 7-16 7-26 8-11 9-22 9-24 10-13 10-14 10-18 11-12 11-24 11-26 12-18 12-21 13-22 14-18 14-21 14-27 15-17 15-20 15-26 15-29 16-17 16-21 16-28 17-19 17-29 19-20 19-29 20-25 21-27 23-27 23-29 24-28
BEST n=30 hc=44891 edges: 0-2 0-4 0-16 0-26 1-8 1-11 1-20 1-23 2-4 2-19 2-27 3-9 3-17 3-18 3-21 4-19 4-24 5-13 5-15 5-22 5-29 6-7 6-9 6-11 6-21 7-9 7-11 7-28 8-10 8-21 8-24 9-17 10-18 10-22 10-28 11-20 12-17 12-18 12-22 12-29 13-23 13-25 13-28 14-16 14-19 14-21 14-26 15-24 15-25 15-29 16-26 16-27 17-26 18-22 19-27 20-23 20-25 23-28 24-27 25-29
BEST n=30 hc=42960 edges: 0-2 0-16 0-21 0-26 1-8 1-11 1-20 1-23 2-4 2-19 2-27 3-9 3-17 3-18 3-21 4-14 4-19 4-24 5-13 5-15 5-22 5-29 6-7 6-8 6-11 6-21 7-9 7-11 7-28 8-10 8-21 9-17 9-24 10-18 10-22 10-28 11-20 12-17 12-18 12-22 12-29 13-23 13-25 13-28 14-16 14-19 14-26 15-24 15-25 15-29 16-26 16-27 17-26 18-22 19-27 20-23 20-25 23-28 24-27 25-29
BEST n=30 hc=37265 edges: 0-7 0-16 0-26 0-28 1-7 1-11 1-20 1-23 2-4 2-11 2-19 2-27 3-9 3-12 3-17 3-18 4-14 4-19 4-24 5-13 5-15 5-22 5-29 6-8 6-12 6-16 6-21 7-16 7-28 8-10 8-17 8-21 9-17 9-24 9-27 10-18 10-21 10-22 11-20 11-29 12-18 12-22 13-23 13-25 13-28 14-19 14-26 14-27 15-24 15-25 15-29 16-26 17-26 18-22 19-27 20-23 20-25 21-24 23-28 25-29
BEST n=30 hc=35862 edges: 0-14 0-19 0-21 0-22 1-4 1-11 1-19 1-29 2-5 2-8 2-12 2-19 3-6 3-13 3-26 3-27 4-5 4-12 4-27 5-15 5-24 6-15 6-20 6-28 7-17 7-18 7-25 7-29 8-10 8-12 8-14 9-13 9-16 9-20 9-21 10-16 10-23 10-28 11-13 11-24 11-26 12-27 13-26 14-20 14-22 15-20 15-28 16-19 16-24 17-18 17-25 17-27 18-25 18-29 21-22 21-23 22-23 23-24 25-29 26-28
BEST n=30 hc=30216 edges: 0-14 0-15 0-21 0-22 1-4 1-11 1-19 1-29 2-5 2-8 2-12 2-19 3-6 3-13 3-26 3-27 4-5 4-12 4-27 5-19 5-24 6-15 6-20 6-28 7-17 7-18 7-25 7-29 8-10 8-12 8-14 9-13 9-16 9-20 9-21 10-16 10-23 10-28 11-13 11-24 11-26 12-27 13-26 14-20 14-22 15-20 15-28 16-19 16-24 17-18 17-25 17-27 18-25 18-29 21-22 21-23 22-23 23-24 25-29 26-28
BEST n=30 hc=29832 edges: 0-6 0-8 0-15 0-21 1-4 1-11 1-16 1-29 2-5 2-8 2-12 2-19 3-6 3-10 3-26 3-27 4-5 4-12 4-27 5-19 5-24 6-15 6-20 7-17 7-18 7-25 7-29 8-12 8-14 9-13 9-19 9-20 9-21 10-22 10-23 10-28 11-13 11-26 11-27 12-27 13-16 13-26 14-20 14-22 14-28 15-26 15-28 16-19 16-24 17-18 17-24 17-25 18-25 18-29 20-21 21-22 22-23 23-24 23-28 25-29
BEST n=30 hc=27582 edges: 0-9 0-15 0-21 0-22 1-4 1-11 1-16 1-29 2-5 2-8 2-12 2-19 3-6 3-10 3-26 3-27 4-5 4-12 4-27 5-19 5-24 6-15 6-20 6-26 7-17 7-18 7-25 7-29 8-10 8-12 8-14 9-13 9-20 9-21 10-23 10-28 11-13 11-26 11-27 12-15 13-16 13-19 14-20 14-22 14-28 15-28 16-19 16-24 17-18 17-24 17-25 18-25 18-29 20-21 21-22 22-23 23-24 23-28 25-29 26-27
BEST n=30 hc=27126 edges: 0-9 0-21 0-22 0-23 1-5 1-7 1-11 1-16 2-4 2-5 2-12 2-19 3-10 3-26 3-27 3-28 4-12 4-19 4-27 5-15 5-24 6-15 6-20 6-23 6-26 7-18 7-25 7-29 8-10 8-12 8-14 8-28 9-13 9-20 9-21 10-23 10-28 11-13 11-26 11-27 12-15 13-16 13-19 14-20 14-22 14-28 15-21 16-19 16-24 17-18 17-24 17-25 17-29 18-25 18-29 20-24 21-22 22-23 25-29 26-27
BEST n=30 hc=24684 edges: 0-9 0-20 0-21 0-22 1-4 1-5 1-6 1-7 2-4 2-5 2-12 2-19 3-10 3-26 3-27 3-28 4-23 4-27 5-15 5-24 6-15 6-16 6-26 7-18 7-25 7-29 8-10 8-12 8-14 8-28 9-13 9-20 9-21 10-12 10-28 11-13 11-19 11-26 11-27 12-15 13-16 13-19 14-22 14-23 14-28 15-21 16-19 16-24 17-18 17-24 17-25 17-29 18-25 18-29 20-23 20-24 21-22 22-23 25-29 26-27
