BEST n=30 hc=100000 edges: 0-1 0-8 0-16 0-29 1-2 1-7 1-27 2-3 2-10 2-17 3-4 3-15 3-18 4-5 4-11 4-26 5-15 5-27 5-28 6-7 6-13 6-14 6-29 7-8 7-12 8-9 8-18 9-10 9-16 9-20 10-11 10-22 11-12 11-14 12-13 12-19 13-14 13-24 14-15 15-16 16-17 17-18 17-21 18-19 19-20 19-23 20-21 20-28 21-22 21-25 22-23 22-24 23-24 23-25 24-25 25-26 26-27 26-29 27-28 28-29
BEST n=30 hc=96489 edges: 0-8 0-13 0-17 0-27 1-4 1-13 1-17 1-18 2-6 2-14 2-18 2-23 3-4 3-15 3-16 3-21 4-9 4-26 5-6 5-7 5-27 5-29 6-11 6-29 7-12 7-24 7-25 8-9 8-24 8-28 9-13 9-23 10-17 10-19 10-20 10-27 11-12 11-20 11-29 12-14 12-19 13-28 14-22 14-23 15-16 15-22 15-28 16-17 16-25 18-21 18-28 19-20 19-23 20-27 21-22 21-26 22-26 24-25 24-29 25-26
BEST n=30 hc=94016 edges: 0-8 0-13 0-24 0-27 1-4 1-13 1-17 1-18 2-6 2-14 2-18 2-23 3-4 3-15 3-16 3-21 4-9 4-26 5-6 5-7 5-27 5-29 6-11 6-29 7-12 7-24 7-25 8-22 8-24 8-28 9-13 9-21 9-23 10-17 10-19 10-20 10-27 11-12 11-20 11-29 12-14 12-19 13-28 14-22 14-23 15-16 15-22 15-28 16-17 16-25 17-29 18-21 18-28 19-20 19-23 20-27 21-26 22-26 24-25 25-26
BEST n=30 hc=88641 edges: 0-8 0-13 0-24 0-27 1-13 1-17 1-22 1-24 2-6 2-14 2-19 2-23 3-4 3-15 3-16 3-21 4-9 4-15 4-26 5-6 5-7 5-27 5-29 6-11 6-29 7-12 7-24 7-25 8-18 8-22 8-28 9-13 9-21 9-23 10-17 10-19 10-20 10-27 11-12 11-20 11-29 12-14 12-19 13-28 14-22 14-23 15-16 15-28 16-17 16-25 17-29 18-20 18-21 18-28 19-23 20-27 21-26 22-26 24-25 25-26
BEST n=30 hc=86712 edges: 0-8 0-13 0-24 0-27 1-13 1-17 1-22 1-24 2-6 2-14 2-19 2-23 3-4 3-15 3-16 3-21 4-9 4-15 4-26 5-6 5-7 5-27 5-29 6-11 6-29 7-12 7-24 7-25 8-18 8-22 8-28 9-13 9-21 9-23 10-17 10-19 10-20 10-27 11-12 11-20 11-29 12-14 12-19 13-28 14-22 14-23 15-16 15-28 16-17 16-25 17-20 18-21 18-28 18-29 19-23 20-27 21-26 22-26 24-25 25-26
BEST n=30 hc=83028 edges: 0-8 0-13 0-14 0-20 1-8 1-11 1-18 1-28 2-10 2-14 2-15 2-23 3-16 3-19 3-21 3-22 4-8 4-19 4-25 4-28 5-9 5-11 5-23 5-29 6-7 6-12 6-13 6-20 7-8 7-12 7-21 9-11 9-18 9-24 10-15 10-18 10-29 11-24 12-17 12-20 13-27 13-28 14-19 14-24 15-22 15-26 16-17 16-22 16-25 17-25 17-29 18-28 19-24 20-23 21-25 21-26 22-26 23-27 26-27 27-29
BEST n=30 hc=81998 edges: 0-3 0-5 0-11 0-17 1-5 1-19 1-22 1-23 2-11 2-16 2-18 2-29 3-18 3-23 3-27 4-7 4-8 4-19 4-25 5-7 5-12 6-11 6-24 6-27 6-29 7-8 7-22 8-14 8-15 9-10 9-17 9-20 9-28 10-13 10-24 10-29 11-25 12-16 12-18 12-22 13-15 13-20 13-21 14-15 14-23 14-29 15-20 16-25 16-26 17-21 17-28 18-27 19-22 19-26 20-21 21-24 23-28 24-27 25-26 26-28
BEST n=30 hc=81444 edges: 0-10 0-13 0-27 0-29 1-6 1-22 1-23 1-29 2-6 2-16 2-22 2-25 3-7 3-11 3-17 3-18 4-9 4-10 4-14 4-29 5-7 5-13 5-15 5-19 6-22 6-27 7-19 7-24 8-11 8-15 8-16 8-28 9-12 9-20 9-21 10-14 10-15 11-17 11-18 12-20 12-24 12-26 13-25 13-26 14-23 14-26 15-24 16-21 16-25 17-18 17-22 18-20 19-24 19-27 20-23 21-25 21-26 23-28 27-28 28-29
BEST n=30 hc=78316 edges: 0-1 0-3 0-14 0-21 1-5 1-13 1-27 2-11 2-16 2-19 2-22 3-4 3-9 3-19 4-10 4-14 4-24 5-9 5-16 5-24 6-14 6-17 6-28 6-29 7-8 7-18 7-22 7-27 8-11 8-20 8-22 9-13 9-21 10-17 10-27 10-28 11-18 11-23 12-13 12-16 12-19 12-25 13-25 14-17 15-18 15-20 15-22 15-29 16-26 17-28 18-26 19-26 20-23 20-29 21-25 21-26 23-24 23-29 24-25 27-28
