BEST n=26 hc=18575 edges: 0-2 0-4 0-13 0-20 1-2 1-10 1-16 1-25 2-15 2-24 3-5 3-14 3-15 3-23 4-13 4-14 4-16 5-6 5-7 5-14 6-12 6-18 6-20 7-8 7-13 7-24 8-9 8-18 8-20 9-18 9-22 9-23 10-11 10-12 10-16 11-12 11-17 11-19 12-19 13-23 14-21 15-17 15-20 16-17 17-19 18-22 19-24 21-22 21-24 21-25 22-25 23-25
BEST n=26 hc=18131 edges: 0-2 0-4 0-13 0-20 1-2 1-10 1-16 1-25 2-15 2-24 3-5 3-14 3-15 3-23 4-13 4-14 4-16 5-6 5-7 5-20 6-12 6-18 6-20 7-8 7-13 7-24 8-9 8-14 8-18 9-18 9-22 9-23 10-11 10-12 10-16 11-12 11-17 11-19 12-19 13-23 14-21 15-17 15-20 16-17 17-19 18-22 19-24 21-22 21-24 21-25 22-25 23-25
BEST n=26 hc=17656 edges: 0-2 0-4 0-6 0-13 1-2 1-10 1-16 1-25 2-15 2-24 3-5 3-14 3-15 3-23 4-13 4-14 4-16 5-6 5-7 5-20 6-18 6-20 7-8 7-13 7-24 8-9 8-14 8-18 9-18 9-22 9-23 10-11 10-12 10-16 11-12 11-17 11-19 12-19 12-20 13-23 14-21 15-17 15-20 16-17 17-19 18-22 19-24 21-22 21-24 21-25 22-25 23-25
BEST n=26 hc=16983 edges: 0-2 0-4 0-6 0-13 1-2 1-10 1-16 1-25 2-15 2-24 3-5 3-7 3-14 3-23 4-13 4-14 4-16 5-6 5-7 5-20 6-18 6-20 7-13 7-24 8-9 8-14 8-15 8-18 9-18 9-22 9-23 10-11 10-12 10-16 11-12 11-17 11-19 12-19 12-20 13-23 14-21 15-17 15-20 16-17 17-19 18-22 19-24 21-22 21-24 21-25 22-25 23-25
BEST n=26 hc=16608 edges: 0-3 0-5 0-16 0-23 1-2 1-10 1-16 1-25 2-6 2-7 2-11 3-5 3-12 3-23 4-8 4-9 4-16 4-19 5-14 5-20 6-8 6-13 6-18 7-11 7-19 7-24 8-9 8-23 9-18 9-22 10-12 10-18 10-19 11-17 11-19 12-15 12-20 13-15 13-17 13-23 14-18 14-20 14-21 15-17 15-20 16-17 21-22 21-24 21-25 22-24 22-25 24-25
BEST n=26 hc=15436 edges: 0-3 0-5 0-16 0-23 1-2 1-10 1-16 1-25 2-6 2-11 2-14 3-5 3-12 3-23 4-8 4-9 4-16 4-19 5-14 5-20 6-8 6-13 6-18 7-11 7-19 7-21 7-24 8-9 8-23 9-18 9-22 10-12 10-18 10-19 11-17 11-19 12-15 12-20 13-15 13-17 13-23 14-18 14-20 15-17 15-20 16-17 21-22 21-24 21-25 22-24 22-25 24-25
BEST n=26 hc=15037 edges: 0-4 0-5 0-10 0-19 1-3 1-15 1-19 1-24 2-8 2-12 2-13 2-21 3-16 3-19 3-25 4-8 4-11 4-14 5-7 5-9 5-14 6-11 6-15 6-20 6-25 7-18 7-22 7-24 8-21 8-25 9-15 9-16 9-21 10-13 10-16 10-23 11-15 11-23 12-13 12-17 12-21 13-18 14-20 14-23 16-20 17-18 17-22 17-24 18-22 19-25 20-23 22-24
BEST n=26 hc=13479 edges: 0-1 0-4 0-10 0-19 1-3 1-19 1-24 2-8 2-12 2-13 2-21 3-16 3-19 3-25 4-8 4-11 4-14 5-7 5-9 5-14 5-15 6-11 6-15 6-20 6-25 7-18 7-22 7-24 8-21 8-25 9-15 9-16 9-21 10-13 10-16 10-23 11-15 11-23 12-13 12-17 12-21 13-18 14-20 14-23 16-20 17-18 17-22 17-24 18-22 19-25 20-23 22-24
BEST n=26 hc=13264 edges: 0-1 0-4 0-10 0-19 1-3 1-19 1-24 2-8 2-12 2-13 2-21 3-16 3-19 3-25 4-5 4-11 4-14 5-7 5-9 5-14 6-11 6-15 6-20 6-25 7-18 7-22 7-24 8-15 8-21 8-25 9-15 9-16 9-21 10-13 10-16 10-23 11-15 11-23 12-13 12-17 12-21 13-18 14-20 14-23 16-20 17-18 17-22 17-24 18-22 19-25 20-23 22-24
BEST n=26 hc=13224 edges: 0-11 0-14 0-15 0-24 1-19 1-22 1-23 1-24 2-18 2-19 2-20 2-22 3-9 3-12 3-21 3-25 4-7 4-10 4-19 4-21 5-10 5-13 5-17 5-20 6-7 6-8 6-20 6-23 7-8 7-15 8-12 8-14 9-21 9-23 9-25 10-17 10-18 11-12 11-24 11-25 12-15 13-17 13-18 13-21 14-16 14-24 15-16 16-23 16-25 17-18 19-22 20-22
BEST n=26 hc=12512 edges: 0-7 0-11 0-15 0-24 1-19 1-22 1-23 1-24 2-18 2-19 2-20 2-22 3-9 3-12 3-21 3-25 4-10 4-14 4-19 4-21 5-10 5-13 5-17 5-20 6-7 6-8 6-20 6-23 7-8 7-15 8-12 8-14 9-21 9-23 9-25 10-17 10-18 11-12 11-24 11-25 12-15 13-17 13-18 13-21 14-16 14-24 15-16 16-23 16-25 17-18 19-22 20-22
BEST n=26 hc=12264 edges: 0-7 0-11 0-15 0-24 1-3 1-8 1-19 1-23 2-18 2-19 2-20 2-22 3-10 3-21 3-25 4-9 4-14 4-19 4-21 5-10 5-13 5-17 5-20 6-7 6-8 6-11 6-23 7-8 7-15 8-12 9-21 9-23 9-25 10-17 10-18 11-12 11-24 12-15 12-24 13-17 13-18 13-21 14-16 14-22 14-24 15-16 16-23 16-25 17-18 19-22 20-22 20-25
BEST n=26 hc=11978 edges: 0-8 0-10 0-14 0-17 1-3 1-7 1-13 1-21 2-6 2-9 2-12 2-19 3-5 3-8 3-10 4-6 4-7 4-8 4-12 5-17 5-24 5-25 6-7 6-13 7-21 8-10 9-18 9-19 9-23 10-17 11-14 11-15 11-16 11-25 12-19 12-22 13-20 13-23 14-24 14-25 15-18 15-20 15-21 16-19 16-21 16-22 17-24 18-20 18-23 20-22 22-23 24-25
BEST n=26 hc=10840 edges: 0-2 0-5 0-17 0-18 1-7 1-9 1-12 1-25 2-13 2-18 2-19 3-8 3-15 3-22 3-23 4-8 4-15 4-20 4-24 5-7 5-16 5-20 6-19 6-20 6-22 6-24 7-13 7-21 8-23 8-24 9-10 9-11 9-14 10-14 10-20 10-21 11-12 11-14 11-25 12-21 12-25 13-17 13-23 14-19 15-19 15-22 16-17 16-18 16-22 17-18 21-25 23-24
BEST n=26 hc=6300 edges: 0-2 0-5 0-17 0-18 1-9 1-10 1-12 1-25 2-13 2-18 2-19 3-8 3-15 3-22 3-23 4-8 4-15 4-20 4-24 5-7 5-16 5-20 6-19 6-20 6-22 6-24 7-13 7-20 7-21 8-23 8-24 9-10 9-11 9-14 10-14 10-21 11-12 11-14 11-25 12-21 12-25 13-17 13-23 14-19 15-19 15-22 16-17 16-18 16-22 17-18 21-25 23-24
BEST n=26 hc=6118 edges: 0-2 0-5 0-17 0-18 1-9 1-10 1-12 1-25 2-13 2-18 2-19 3-8 3-15 3-22 3-23 4-8 4-15 4-20 4-24 5-7 5-16 5-20 6-19 6-20 6-22 6-24 7-13 7-20 7-21 8-15 8-24 9-10 9-11 9-14 10-14 10-21 11-12 11-14 11-25 12-21 12-25 13-17 13-23 14-19 15-19 16-17 16-18 16-22 17-18 21-25 22-23 23-24
BEST n=26 hc=5460 edges: 0-2 0-5 0-17 0-18 1-9 1-10 1-12 1-25 2-13 2-18 2-19 3-8 3-15 3-22 3-23 4-6 4-15 4-20 4-24 5-7 5-16 5-20 6-19 6-20 6-24 7-13 7-20 7-21 8-15 8-22 8-24 9-10 9-11 9-14 10-14 10-21 11-12 11-14 11-25 12-21 12-25 13-17 13-23 14-19 15-19 16-17 16-18 16-22 17-18 21-25 22-23 23-24
BEST n=26 hc=4800 edges: 0-7 0-8 0-22 0-23 1-12 1-13 1-14 1-19 2-3 2-15 2-21 2-24 3-10 3-21 3-25 4-5 4-11 4-16 4-20 5-8 5-16 5-21 6-9 6-12 6-14 6-19 7-15 7-18 7-22 8-20 8-23 9-14 9-17 9-20 10-15 10-24 10-25 11-13 11-16 11-20 12-17 12-19 13-14 13-19 15-24 16-17 17-25 18-22 18-23 18-25 21-24 22-23
BEST n=26 hc=4744 edges: 0-7 0-8 0-22 0-23 1-12 1-13 1-14 1-19 2-3 2-15 2-21 2-24 3-10 3-21 3-25 4-11 4-16 4-18 4-20 5-8 5-16 5-23 5-25 6-9 6-12 6-14 6-19 7-15 7-18 7-22 8-20 8-23 9-14 9-17 9-20 10-15 10-21 10-24 11-13 11-16 11-20 12-17 12-19 13-14 13-19 15-24 16-17 17-25 18-22 18-25 21-24 22-23
BEST n=26 hc=4560 edges: 0-7 0-8 0-22 0-23 1-12 1-13 1-14 1-19 2-3 2-15 2-21 2-24 3-10 3-21 3-25 4-11 4-16 4-18 4-20 5-8 5-16 5-23 5-25 6-9 6-12 6-14 6-19 7-8 7-18 7-22 8-23 9-14 9-17 9-20 10-15 10-21 10-24 11-13 11-16 11-20 12-17 12-19 13-14 13-19 15-20 15-24 16-17 17-25 18-22 18-25 21-24 22-23
BEST n=26 hc=4392 edges: 0-4 0-7 0-8 0-22 1-12 1-13 1-14 1-19 2-3 2-15 2-21 2-24 3-10 3-21 3-25 4-11 4-18 4-20 5-8 5-16 5-23 5-25 6-9 6-12 6-14 6-19 7-8 7-18 7-22 8-23 9-14 9-17 9-20 10-15 10-21 10-24 11-13 11-16 11-20 12-17 12-19 13-14 13-19 15-20 15-24 16-17 16-23 17-25 18-22 18-25 21-24 22-23
BEST n=26 hc=3968 edges: 0-4 0-7 0-8 0-22 1-12 1-13 1-14 1-19 2-3 2-15 2-21 2-24 3-10 3-21 3-25 4-11 4-18 4-20 5-8 5-18 5-23 5-25 6-9 6-12 6-14 6-17 7-8 7-16 7-22 8-23 9-14 9-17 9-20 10-15 10-21 10-24 11-13 11-16 11-20 12-17 12-19 13-14 13-19 15-20 15-24 16-19 16-23 17-25 18-22 18-25 21-24 22-23
BEST n=26 hc=3488 edges: 0-4 0-7 0-8 0-22 1-12 1-13 1-14 1-19 2-3 2-15 2-21 2-24 3-10 3-21 3-25 4-5 4-11 4-18 5-8 5-18 5-23 6-9 6-12 6-14 6-17 7-8 7-16 7-22 8-23 9-14 9-17 9-20 10-15 10-21 10-24 11-13 11-16 11-20 12-17 12-19 13-14 13-19 15-20 15-24 16-19 16-23 17-25 18-22 18-25 20-25 21-24 22-23
BEST n=26 hc=3008 edges: 0-4 0-7 0-8 0-22 1-12 1-13 1-14 1-19 2-3 2-15 2-21 2-24 3-10 3-21 3-25 4-5 4-11 4-18 5-8 5-16 5-23 6-9 6-12 6-14 6-17 7-8 7-18 7-22 8-23 9-14 9-17 9-20 10-15 10-21 10-24 11-13 11-16 11-20 12-17 12-19 13-14 13-19 15-20 15-24 16-19 16-23 17-25 18-22 18-25 20-25 21-24 22-23
BEST n=26 hc=2688 edges: 0-4 0-7 0-8 0-18 1-12 1-13 1-14 1-19 2-3 2-15 2-21 2-24 3-10 3-21 3-25 4-5 4-11 4-18 5-8 5-16 5-23 6-9 6-12 6-14 6-17 7-8 7-18 7-22 8-23 9-14 9-17 9-20 10-15 10-21 10-24 11-13 11-16 11-20 12-17 12-19 13-14 13-19 15-20 15-24 16-19 16-23 17-25 18-22 20-25 21-24 22-23 22-25
BEST n=26 hc=2640 edges: 0-4 0-7 0-8 0-18 1-6 1-12 1-13 1-14 2-3 2-15 2-21 2-24 3-10 3-21 3-25 4-5 4-11 4-18 5-8 5-16 5-23 6-9 6-12 6-14 7-8 7-18 7-22 8-23 9-14 9-17 9-25 10-15 10-21 10-24 11-13 11-16 11-20 12-17 12-19 13-14 13-19 15-20 15-24 16-19 16-23 17-19 17-20 18-22 20-25 21-24 22-23 22-25
BEST n=26 hc=2624 edges: 0-2 0-5 0-10 0-18 1-4 1-15 1-16 1-22 2-5 2-8 2-21 3-7 3-11 3-12 3-24 4-12 4-15 4-16 5-6 5-25 6-7 6-9 6-24 7-11 7-14 8-10 8-17 8-21 9-13 9-17 9-18 10-18 10-21 11-19 11-20 12-19 12-20 13-14 13-17 13-25 14-20 14-24 15-22 15-23 16-22 16-23 17-25 18-21 19-20 19-23 22-23 24-25
BEST n=26 hc=2112 edges: 0-2 0-9 0-11 0-25 1-4 1-12 1-15 1-16 2-13 2-14 2-17 3-12 3-13 3-18 3-21 4-15 4-16 4-22 5-7 5-8 5-14 5-17 6-9 6-11 6-14 6-25 7-8 7-13 7-19 8-12 8-17 9-11 9-25 10-12 10-19 10-20 10-24 11-25 13-14 15-22 15-23 16-22 16-23 17-24 18-20 18-21 18-24 19-20 19-23 20-21 21-24 22-23
BEST n=26 hc=1536 edges: 0-2 0-9 0-11 0-25 1-4 1-12 1-15 1-16 2-13 2-14 2-17 3-10 3-12 3-18 3-21 4-15 4-16 4-22 5-7 5-8 5-14 5-17 6-9 6-11 6-14 6-25 7-8 7-13 7-19 8-12 8-17 9-11 9-25 10-12 10-20 10-24 11-25 13-14 13-19 15-22 15-23 16-22 16-23 17-24 18-20 18-21 18-24 19-20 19-23 20-21 21-24 22-23
BEST n=26 hc=1488 edges: 0-2 0-9 0-11 0-25 1-4 1-12 1-15 1-16 2-13 2-14 2-17 3-10 3-12 3-18 3-21 4-15 4-16 4-22 5-7 5-8 5-14 5-17 6-9 6-11 6-14 6-25 7-8 7-13 7-19 8-12 8-17 9-11 9-25 10-12 10-20 10-24 11-25 13-14 13-19 15-22 15-23 16-22 16-23 17-21 18-20 18-21 18-24 19-20 19-23 20-24 21-24 22-23
BEST n=26 hc=1056 edges: 0-2 0-9 0-11 0-25 1-4 1-12 1-15 1-16 2-13 2-14 2-17 3-10 3-17 3-18 3-19 4-15 4-16 4-22 5-7 5-8 5-14 5-17 6-9 6-11 6-14 6-25 7-8 7-13 7-19 8-12 8-17 9-11 9-25 10-19 10-20 10-24 11-25 12-13 12-21 13-14 15-22 15-23 16-22 16-23 18-20 18-21 18-24 19-23 20-21 20-24 21-24 22-23
BEST n=26 hc=960 edges: 0-2 0-9 0-11 0-25 1-4 1-15 1-16 1-23 2-13 2-14 2-17 3-7 3-10 3-18 3-19 4-15 4-16 4-22 5-7 5-8 5-14 5-17 6-9 6-11 6-14 6-25 7-8 7-19 8-12 8-17 9-11 9-25 10-19 10-21 10-24 11-25 12-13 12-20 12-22 13-14 13-17 15-22 15-23 16-22 16-23 18-20 18-21 18-24 19-23 20-21 20-24 21-24
