[108/123] {'graphs': 108, 'orientations': 2741772} t=5s
[109/123] {'graphs': 109, 'orientations': 2768724} t=5s
[110/123] {'graphs': 110, 'orientations': 2795784} t=5s
[111/123] {'graphs': 111, 'orientations': 2824956} t=5s
[112/123] {'graphs': 112, 'orientations': 2851182} t=5s
[113/123] {'graphs': 113, 'orientations': 2875074} t=5s
[114/123] {'graphs': 114, 'orientations': 2901792} t=5s
[115/123] {'graphs': 115, 'orientations': 2930178} t=5s
[116/123] {'graphs': 116, 'orientations': 2957598} t=5s
[117/123] {'graphs': 117, 'orientations': 2984382} t=5s
[118/123] {'graphs': 118, 'orientations': 3012936} t=5s
[119/123] {'graphs': 119, 'orientations': 3040056} t=5s
[120/123] {'graphs': 120, 'orientations': 3068208} t=6s
[121/123] {'graphs': 121, 'orientations': 3092376} t=6s
[122/123] {'graphs': 122, 'orientations': 3117438} t=6s
[123/123] {'graphs': 123, 'orientations': 3142002} t=6s
DONE {'graphs': 123, 'orientations': 3142002} wall=6s
