[67/123] {'graphs': 67, 'orientations': 1857258, 'profile': 604, 'ss_skip': 604} t=3s
[68/123] {'graphs': 68, 'orientations': 1888230, 'profile': 612, 'ss_skip': 612} t=3s
[69/123] {'graphs': 69, 'orientations': 1919484, 'profile': 620, 'ss_skip': 620} t=3s
[70/123] {'graphs': 70, 'orientations': 1947636, 'profile': 630, 'ss_skip': 630} t=3s
[71/123] {'graphs': 71, 'orientations': 1975698, 'profile': 648, 'ss_skip': 648} t=4s
[72/123] {'graphs': 72, 'orientations': 2005848, 'profile': 658, 'ss_skip': 658} t=4s
[73/123] {'graphs': 73, 'orientations': 2033694, 'profile': 664, 'ss_skip': 664} t=4s
[74/123] {'graphs': 74, 'orientations': 2059956, 'profile': 682, 'ss_skip': 682} t=4s
[75/123] {'graphs': 75, 'orientations': 2085366, 'profile': 692, 'ss_skip': 692} t=4s
[76/123] {'graphs': 76, 'orientations': 2107548, 'profile': 702, 'ss_skip': 702} t=4s
[77/123] {'graphs': 77, 'orientations': 2136000, 'profile': 704, 'ss_skip': 704} t=4s
[78/123] {'graphs': 78, 'orientations': 2160726, 'profile': 714, 'ss_skip': 714} t=4s
[79/123] {'graphs': 79, 'orientations': 2185704, 'profile': 716, 'ss_skip': 716} t=4s
[80/123] {'graphs': 80, 'orientations': 2209224, 'profile': 734, 'ss_skip': 734} t=4s
[81/123] {'graphs': 81, 'orientations': 2231646, 'profile': 736, 'ss_skip': 736} t=4s
[82/123] {'graphs': 82, 'orientations': 2259954, 'profile': 738, 'ss_skip': 738} t=4s
[83/123] {'graphs': 83, 'orientations': 2288106, 'profile': 740, 'ss_skip': 740} t=4s
[84/123] {'graphs': 84, 'orientations': 2314194, 'profile': 746, 'ss_skip': 746} t=4s
[85/123] {'graphs': 85, 'orientations': 2343546, 'profile': 748, 'ss_skip': 748} t=4s
[86/123] {'graphs': 86, 'orientations': 2371344, 'profile': 756, 'ss_skip': 756} t=4s
[87/123] {'graphs': 87, 'orientations': 2401146, 'profile': 766, 'ss_skip': 766} t=4s
[88/123] {'graphs': 88, 'orientations': 2429208, 'profile': 776, 'ss_skip': 776} t=4s
[89/123] {'graphs': 89, 'orientations': 2456832, 'profile': 782, 'ss_skip': 782} t=4s
[90/123] {'graphs': 90, 'orientations': 2485008, 'profile': 792, 'ss_skip': 792} t=4s
[91/123] {'graphs': 91, 'orientations': 2514372, 'profile': 798, 'ss_skip': 798} t=4s
[92/123] {'graphs': 92, 'orientations': 2540886, 'profile': 808, 'ss_skip': 808} t=4s
[93/123] {'graphs': 93, 'orientations': 2569350, 'profile': 816, 'ss_skip': 816} t=4s
[94/123] {'graphs': 94, 'orientations': 2595558, 'profile': 822, 'ss_skip': 822} t=5s
[95/123] {'graphs': 95, 'orientations': 2622036, 'profile': 830, 'ss_skip': 830} t=5s
[96/123] {'graphs': 96, 'orientations': 2648244, 'profile': 840, 'ss_skip': 840} t=5s
[97/123] {'graphs': 97, 'orientations': 2680314, 'profile': 846, 'ss_skip': 846} t=5s
[98/123] {'graphs': 98, 'orientations': 2710290, 'profile': 854, 'ss_skip': 854} t=5s
[99/123] {'graphs': 99, 'orientations': 2740932, 'profile': 854, 'ss_skip': 854} t=5s
[100/123] {'graphs': 100, 'orientations': 2771232, 'profile': 862, 'ss_skip': 862} t=5s
[101/123] {'graphs': 101, 'orientations': 2801976, 'profile': 868, 'ss_skip': 868} t=5s
[102/123] {'graphs': 102, 'orientations': 2833002, 'profile': 876, 'ss_skip': 876} t=5s
[103/123] {'graphs': 103, 'orientations': 2860326, 'profile': 900, 'ss_skip': 900} t=5s
[104/123] {'graphs': 104, 'orientations': 2884998, 'profile': 918, 'ss_skip': 918} t=5s
[105/123] {'graphs': 105, 'orientations': 2914314, 'profile': 926, 'ss_skip': 926} t=5s
[106/123] {'graphs': 106, 'orientations': 2943264, 'profile': 940, 'ss_skip': 940} t=5s
[107/123] {'graphs': 107, 'orientations': 2968956, 'profile': 948, 'ss_skip': 948} t=5s
[108/123] {'graphs': 108, 'orientations': 2995350, 'profile': 962, 'ss_skip': 962} t=5s
[109/123] {'graphs': 109, 'orientations': 3017274, 'profile': 986, 'ss_skip': 986} t=5s
[110/123] {'graphs': 110, 'orientations': 3041856, 'profile': 1004, 'ss_skip': 1004} t=5s
[111/123] {'graphs': 111, 'orientations': 3066180, 'profile': 1012, 'ss_skip': 1012} t=5s
[112/123] {'graphs': 112, 'orientations': 3095100, 'profile': 1020, 'ss_skip': 1020} t=5s
[113/123] {'graphs': 113, 'orientations': 3121338, 'profile': 1038, 'ss_skip': 1038} t=5s
[114/123] {'graphs': 114, 'orientations': 3149898, 'profile': 1046, 'ss_skip': 1046} t=5s
[115/123] {'graphs': 115, 'orientations': 3175908, 'profile': 1060, 'ss_skip': 1060} t=5s
[116/123] {'graphs': 116, 'orientations': 3202734, 'profile': 1086, 'ss_skip': 1086} t=6s
[117/123] {'graphs': 117, 'orientations': 3228726, 'profile': 1110, 'ss_skip': 1110} t=6s
[118/123] {'graphs': 118, 'orientations': 3254430, 'profile': 1118, 'ss_skip': 1118} t=6s
[119/123] {'graphs': 119, 'orientations': 3278688, 'profile': 1134, 'ss_skip': 1134} t=6s
[120/123] {'graphs': 120, 'orientations': 3301716, 'profile': 1154, 'ss_skip': 1154} t=6s
[121/123] {'graphs': 121, 'orientations': 3322548, 'profile': 1172, 'ss_skip': 1172} t=6s
[122/123] {'graphs': 122, 'orientations': 3346260, 'profile': 1184, 'ss_skip': 1184} t=6s
[123/123] {'graphs': 123, 'orientations': 3364440, 'profile': 1200, 'ss_skip': 1196, 'tau_skip': 4} t=6s
DONE {'graphs': 123, 'orientations': 3364440, 'profile': 1200, 'ss_skip': 1196, 'tau_skip': 4} wall=6s
