GRAPH 467 orientations=20365512 profiles=142 ss=118 tau_skip=2 safe=0 checks=22 packed=22 cand=0
GRAPH 475 orientations=20742114 profiles=146 ss=122 tau_skip=2 safe=0 checks=22 packed=22 cand=0
GRAPH 483 orientations=21124128 profiles=148 ss=124 tau_skip=2 safe=0 checks=22 packed=22 cand=0
GRAPH 491 orientations=21498366 profiles=150 ss=126 tau_skip=2 safe=0 checks=22 packed=22 cand=0
GRAPH 499 orientations=21848106 profiles=150 ss=126 tau_skip=2 safe=0 checks=22 packed=22 cand=0
GRAPH 507 orientations=22206564 profiles=150 ss=126 tau_skip=2 safe=0 checks=22 packed=22 cand=0
GRAPH 515 orientations=22522128 profiles=150 ss=126 tau_skip=2 safe=0 checks=22 packed=22 cand=0
GRAPH 523 orientations=22793970 profiles=154 ss=126 tau_skip=2 safe=4 checks=22 packed=22 cand=0
GRAPH 531 orientations=23159514 profiles=154 ss=126 tau_skip=2 safe=4 checks=22 packed=22 cand=0
GRAPH 539 orientations=23516868 profiles=156 ss=128 tau_skip=2 safe=4 checks=22 packed=22 cand=0
GRAPH 547 orientations=23814492 profiles=160 ss=130 tau_skip=2 safe=4 checks=24 packed=24 cand=0
GRAPH 555 orientations=24101532 profiles=164 ss=130 tau_skip=2 safe=4 checks=28 packed=28 cand=0
GRAPH 563 orientations=24448614 profiles=168 ss=134 tau_skip=2 safe=4 checks=28 packed=28 cand=0
GRAPH 571 orientations=24774366 profiles=172 ss=138 tau_skip=2 safe=4 checks=28 packed=28 cand=0
GRAPH 579 orientations=25079208 profiles=176 ss=140 tau_skip=2 safe=4 checks=30 packed=30 cand=0
GRAPH 587 orientations=25399980 profiles=176 ss=140 tau_skip=2 safe=4 checks=30 packed=30 cand=0
GRAPH 595 orientations=25718412 profiles=180 ss=144 tau_skip=2 safe=4 checks=30 packed=30 cand=0
GRAPH 603 orientations=26062068 profiles=182 ss=146 tau_skip=2 safe=4 checks=30 packed=30 cand=0
GRAPH 611 orientations=26348946 profiles=186 ss=146 tau_skip=2 safe=4 checks=34 packed=34 cand=0
GRAPH 619 orientations=26578650 profiles=188 ss=146 tau_skip=4 safe=4 checks=34 packed=34 cand=0
GRAPH 627 orientations=26926764 profiles=194 ss=152 tau_skip=4 safe=4 checks=34 packed=34 cand=0
GRAPH 635 orientations=27243204 profiles=198 ss=156 tau_skip=4 safe=4 checks=34 packed=34 cand=0
GRAPH 643 orientations=27589542 profiles=202 ss=158 tau_skip=4 safe=4 checks=36 packed=36 cand=0
GRAPH 651 orientations=27913350 profiles=206 ss=162 tau_skip=4 safe=4 checks=36 packed=36 cand=0
GRAPH 659 orientations=28296060 profiles=206 ss=162 tau_skip=4 safe=4 checks=36 packed=36 cand=0
GRAPH 667 orientations=28684206 profiles=206 ss=162 tau_skip=4 safe=4 checks=36 packed=36 cand=0
GRAPH 675 orientations=28961646 profiles=208 ss=162 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 683 orientations=29347302 profiles=214 ss=168 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 691 orientations=29699766 profiles=214 ss=168 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 699 orientations=30052944 profiles=214 ss=168 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 707 orientations=30417228 profiles=224 ss=178 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 715 orientations=30761130 profiles=224 ss=178 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 723 orientations=31067178 profiles=224 ss=178 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 731 orientations=31363674 profiles=224 ss=178 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 739 orientations=31676892 profiles=224 ss=178 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 747 orientations=32029518 profiles=226 ss=180 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 755 orientations=32335230 profiles=226 ss=180 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 763 orientations=32638080 profiles=226 ss=180 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 771 orientations=32956170 profiles=226 ss=180 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 779 orientations=33273408 profiles=226 ss=180 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 787 orientations=33630498 profiles=226 ss=180 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 795 orientations=33966270 profiles=226 ss=180 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 803 orientations=34352274 profiles=226 ss=180 tau_skip=4 safe=4 checks=38 packed=38 cand=0
GRAPH 811 orientations=34713924 profiles=226 ss=180 tau_skip=4 safe=4 checks=38 packed=38 cand=0
