nohup: ignoring input
200 cubes, per-cube limit 30s, 4 jobs
cube 57: TIMEOUT   [58/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 58}]
cube 58: TIMEOUT   [59/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 59}]
cube 59: TIMEOUT   [60/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 60}]
cube 60: TIMEOUT   [61/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 61}]
cube 61: TIMEOUT   [62/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 62}]
cube 62: TIMEOUT   [63/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 63}]
cube 63: TIMEOUT   [64/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 64}]
cube 64: TIMEOUT   [65/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 65}]
cube 65: TIMEOUT   [66/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 66}]
cube 66: TIMEOUT   [67/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 67}]
cube 67: TIMEOUT   [68/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 68}]
cube 68: TIMEOUT   [69/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 69}]
cube 70: TIMEOUT   [70/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 70}]
cube 69: TIMEOUT   [71/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 71}]
cube 71: TIMEOUT   [72/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 72}]
cube 72: TIMEOUT   [73/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 73}]
cube 73: TIMEOUT   [74/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 74}]
cube 75: TIMEOUT   [75/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 75}]
cube 74: TIMEOUT   [76/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 76}]
cube 76: TIMEOUT   [77/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 77}]
cube 77: TIMEOUT   [78/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 78}]
cube 78: TIMEOUT   [79/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 79}]
cube 79: TIMEOUT   [80/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 80}]
cube 80: TIMEOUT   [81/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 81}]
cube 81: TIMEOUT   [82/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 82}]
cube 82: TIMEOUT   [83/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 83}]
cube 83: TIMEOUT   [84/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 84}]
cube 84: TIMEOUT   [85/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 85}]
cube 85: TIMEOUT   [86/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 86}]
cube 86: TIMEOUT   [87/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 87}]
cube 87: TIMEOUT   [88/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 88}]
cube 88: TIMEOUT   [89/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 89}]
cube 89: TIMEOUT   [90/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 90}]
cube 90: TIMEOUT   [91/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 91}]
cube 91: TIMEOUT   [92/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 92}]
cube 92: TIMEOUT   [93/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 93}]
cube 93: TIMEOUT   [94/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 94}]
cube 94: TIMEOUT   [95/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 95}]
cube 95: TIMEOUT   [96/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 96}]
cube 96: TIMEOUT   [97/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 97}]
cube 97: TIMEOUT   [98/200 done: {'SAT': 0, 'UNSAT': 0, 'TIMEOUT': 98}]
