n=21: 1015 Eulerian circulants
[25/1015] {'OK': 25, 'TIGHT': 0, 'CE': 0} 6s
[50/1015] {'OK': 50, 'TIGHT': 0, 'CE': 0} 12s
[75/1015] {'OK': 75, 'TIGHT': 0, 'CE': 0} 23s
[100/1015] {'OK': 100, 'TIGHT': 0, 'CE': 0} 33s
[125/1015] {'OK': 125, 'TIGHT': 0, 'CE': 0} 43s
[150/1015] {'OK': 150, 'TIGHT': 0, 'CE': 0} 53s
[175/1015] {'OK': 175, 'TIGHT': 0, 'CE': 0} 64s
[200/1015] {'OK': 200, 'TIGHT': 0, 'CE': 0} 77s
[225/1015] {'OK': 225, 'TIGHT': 0, 'CE': 0} 90s
[250/1015] {'OK': 250, 'TIGHT': 0, 'CE': 0} 102s
[275/1015] {'OK': 275, 'TIGHT': 0, 'CE': 0} 115s
[300/1015] {'OK': 300, 'TIGHT': 0, 'CE': 0} 127s
[325/1015] {'OK': 325, 'TIGHT': 0, 'CE': 0} 140s
[350/1015] {'OK': 350, 'TIGHT': 0, 'CE': 0} 153s
[375/1015] {'OK': 375, 'TIGHT': 0, 'CE': 0} 166s
[400/1015] {'OK': 400, 'TIGHT': 0, 'CE': 0} 183s
[425/1015] {'OK': 425, 'TIGHT': 0, 'CE': 0} 200s
[450/1015] {'OK': 450, 'TIGHT': 0, 'CE': 0} 215s
[475/1015] {'OK': 475, 'TIGHT': 0, 'CE': 0} 233s
[500/1015] {'OK': 500, 'TIGHT': 0, 'CE': 0} 250s
[525/1015] {'OK': 525, 'TIGHT': 0, 'CE': 0} 267s
[550/1015] {'OK': 550, 'TIGHT': 0, 'CE': 0} 285s
[575/1015] {'OK': 575, 'TIGHT': 0, 'CE': 0} 303s
[600/1015] {'OK': 600, 'TIGHT': 0, 'CE': 0} 320s
[625/1015] {'OK': 625, 'TIGHT': 0, 'CE': 0} 336s
[650/1015] {'OK': 650, 'TIGHT': 0, 'CE': 0} 358s
[675/1015] {'OK': 675, 'TIGHT': 0, 'CE': 0} 381s
[700/1015] {'OK': 700, 'TIGHT': 0, 'CE': 0} 403s
[725/1015] {'OK': 725, 'TIGHT': 0, 'CE': 0} 426s
[750/1015] {'OK': 750, 'TIGHT': 0, 'CE': 0} 449s
[775/1015] {'OK': 775, 'TIGHT': 0, 'CE': 0} 472s
[800/1015] {'OK': 800, 'TIGHT': 0, 'CE': 0} 496s
[825/1015] {'OK': 825, 'TIGHT': 0, 'CE': 0} 518s
[850/1015] {'OK': 850, 'TIGHT': 0, 'CE': 0} 545s
[875/1015] {'OK': 875, 'TIGHT': 0, 'CE': 0} 576s
[900/1015] {'OK': 900, 'TIGHT': 0, 'CE': 0} 608s
[925/1015] {'OK': 925, 'TIGHT': 0, 'CE': 0} 644s
[950/1015] {'OK': 950, 'TIGHT': 0, 'CE': 0} 678s
[975/1015] {'OK': 975, 'TIGHT': 0, 'CE': 0} 743s
[1000/1015] {'OK': 1000, 'TIGHT': 0, 'CE': 0} 795s
DONE n=21 mode=circulant {'OK': 1014, 'TIGHT': 1, 'CE': 0} total=1249s
