[4200/20000] {'OK': 3896, 'TIGHT': 304, 'CE': 0} 806s
[4250/20000] {'OK': 3942, 'TIGHT': 308, 'CE': 0} 816s
[4300/20000] {'OK': 3988, 'TIGHT': 312, 'CE': 0} 825s
[4350/20000] {'OK': 4036, 'TIGHT': 314, 'CE': 0} 835s
[4400/20000] {'OK': 4084, 'TIGHT': 316, 'CE': 0} 844s
[4450/20000] {'OK': 4130, 'TIGHT': 320, 'CE': 0} 854s
[4500/20000] {'OK': 4177, 'TIGHT': 323, 'CE': 0} 865s
[4550/20000] {'OK': 4222, 'TIGHT': 328, 'CE': 0} 874s
[4600/20000] {'OK': 4269, 'TIGHT': 331, 'CE': 0} 883s
[4650/20000] {'OK': 4317, 'TIGHT': 333, 'CE': 0} 894s
[4700/20000] {'OK': 4364, 'TIGHT': 336, 'CE': 0} 903s
[4750/20000] {'OK': 4410, 'TIGHT': 340, 'CE': 0} 913s
[4800/20000] {'OK': 4456, 'TIGHT': 344, 'CE': 0} 923s
[4850/20000] {'OK': 4502, 'TIGHT': 348, 'CE': 0} 933s
[4900/20000] {'OK': 4548, 'TIGHT': 352, 'CE': 0} 944s
[4950/20000] {'OK': 4595, 'TIGHT': 355, 'CE': 0} 955s
[5000/20000] {'OK': 4642, 'TIGHT': 358, 'CE': 0} 964s
[5050/20000] {'OK': 4689, 'TIGHT': 361, 'CE': 0} 974s
[5100/20000] {'OK': 4735, 'TIGHT': 365, 'CE': 0} 985s
[5150/20000] {'OK': 4781, 'TIGHT': 369, 'CE': 0} 995s
[5200/20000] {'OK': 4829, 'TIGHT': 371, 'CE': 0} 1005s
[5250/20000] {'OK': 4877, 'TIGHT': 373, 'CE': 0} 1015s
[5300/20000] {'OK': 4924, 'TIGHT': 376, 'CE': 0} 1025s
[5350/20000] {'OK': 4969, 'TIGHT': 381, 'CE': 0} 1035s
[5400/20000] {'OK': 5017, 'TIGHT': 383, 'CE': 0} 1044s
[5450/20000] {'OK': 5062, 'TIGHT': 388, 'CE': 0} 1055s
[5500/20000] {'OK': 5108, 'TIGHT': 392, 'CE': 0} 1065s
[5550/20000] {'OK': 5153, 'TIGHT': 397, 'CE': 0} 1076s
[5600/20000] {'OK': 5200, 'TIGHT': 400, 'CE': 0} 1085s
[5650/20000] {'OK': 5246, 'TIGHT': 404, 'CE': 0} 1095s
[5700/20000] {'OK': 5292, 'TIGHT': 408, 'CE': 0} 1106s
[5750/20000] {'OK': 5337, 'TIGHT': 413, 'CE': 0} 1117s
[5800/20000] {'OK': 5383, 'TIGHT': 417, 'CE': 0} 1129s
[5850/20000] {'OK': 5429, 'TIGHT': 421, 'CE': 0} 1140s
[5900/20000] {'OK': 5478, 'TIGHT': 422, 'CE': 0} 1151s
[5950/20000] {'OK': 5524, 'TIGHT': 426, 'CE': 0} 1165s
[6000/20000] {'OK': 5570, 'TIGHT': 430, 'CE': 0} 1177s
[6050/20000] {'OK': 5617, 'TIGHT': 433, 'CE': 0} 1187s
[6100/20000] {'OK': 5662, 'TIGHT': 438, 'CE': 0} 1200s
[6150/20000] {'OK': 5708, 'TIGHT': 442, 'CE': 0} 1211s
[6200/20000] {'OK': 5754, 'TIGHT': 446, 'CE': 0} 1224s
[6250/20000] {'OK': 5799, 'TIGHT': 451, 'CE': 0} 1238s
[6300/20000] {'OK': 5847, 'TIGHT': 453, 'CE': 0} 1251s
[6350/20000] {'OK': 5894, 'TIGHT': 456, 'CE': 0} 1263s
[6400/20000] {'OK': 5939, 'TIGHT': 461, 'CE': 0} 1274s
[6450/20000] {'OK': 5984, 'TIGHT': 466, 'CE': 0} 1286s
[6500/20000] {'OK': 6030, 'TIGHT': 470, 'CE': 0} 1298s
