n=18: 2 tight seeds
[50/5000] {'OK': 6, 'TIGHT': 44, 'CE': 0} seeds=46 158s
[100/5000] {'OK': 19, 'TIGHT': 81, 'CE': 0} seeds=83 283s
[150/5000] {'OK': 30, 'TIGHT': 120, 'CE': 0} seeds=122 399s
[200/5000] {'OK': 44, 'TIGHT': 156, 'CE': 0} seeds=158 518s
[250/5000] {'OK': 54, 'TIGHT': 196, 'CE': 0} seeds=198 634s
[300/5000] {'OK': 65, 'TIGHT': 235, 'CE': 0} seeds=237 750s
[350/5000] {'OK': 75, 'TIGHT': 275, 'CE': 0} seeds=277 861s
[400/5000] {'OK': 90, 'TIGHT': 310, 'CE': 0} seeds=312 1013s
[450/5000] {'OK': 107, 'TIGHT': 343, 'CE': 0} seeds=345 1130s
[500/5000] {'OK': 135, 'TIGHT': 365, 'CE': 0} seeds=367 1215s
[550/5000] {'OK': 150, 'TIGHT': 400, 'CE': 0} seeds=402 1328s
[600/5000] {'OK': 164, 'TIGHT': 436, 'CE': 0} seeds=438 1455s
[650/5000] {'OK': 177, 'TIGHT': 473, 'CE': 0} seeds=475 1585s
[700/5000] {'OK': 189, 'TIGHT': 511, 'CE': 0} seeds=513 1693s
[750/5000] {'OK': 202, 'TIGHT': 548, 'CE': 0} seeds=550 1806s
[800/5000] {'OK': 222, 'TIGHT': 578, 'CE': 0} seeds=580 1904s
[850/5000] {'OK': 237, 'TIGHT': 613, 'CE': 0} seeds=615 2011s
[900/5000] {'OK': 251, 'TIGHT': 649, 'CE': 0} seeds=651 2115s
[950/5000] {'OK': 265, 'TIGHT': 685, 'CE': 0} seeds=687 2211s
[1000/5000] {'OK': 278, 'TIGHT': 722, 'CE': 0} seeds=724 2316s
[1050/5000] {'OK': 301, 'TIGHT': 749, 'CE': 0} seeds=751 2407s
[1100/5000] {'OK': 319, 'TIGHT': 781, 'CE': 0} seeds=783 2501s
[1150/5000] {'OK': 332, 'TIGHT': 818, 'CE': 0} seeds=820 2611s
[1200/5000] {'OK': 348, 'TIGHT': 852, 'CE': 0} seeds=854 2702s
[1250/5000] {'OK': 363, 'TIGHT': 887, 'CE': 0} seeds=889 2801s
[1300/5000] {'OK': 382, 'TIGHT': 918, 'CE': 0} seeds=920 2901s
[1350/5000] {'OK': 395, 'TIGHT': 955, 'CE': 0} seeds=957 3001s
[1400/5000] {'OK': 408, 'TIGHT': 992, 'CE': 0} seeds=994 3108s
[1450/5000] {'OK': 429, 'TIGHT': 1021, 'CE': 0} seeds=1023 3201s
[1500/5000] {'OK': 446, 'TIGHT': 1054, 'CE': 0} seeds=1056 3297s
[1550/5000] {'OK': 463, 'TIGHT': 1087, 'CE': 0} seeds=1089 3397s
[1600/5000] {'OK': 482, 'TIGHT': 1118, 'CE': 0} seeds=1120 3496s
[1650/5000] {'OK': 497, 'TIGHT': 1153, 'CE': 0} seeds=1155 3598s
[1700/5000] {'OK': 517, 'TIGHT': 1183, 'CE': 0} seeds=1185 3683s
[1750/5000] {'OK': 533, 'TIGHT': 1217, 'CE': 0} seeds=1219 3776s
[1800/5000] {'OK': 552, 'TIGHT': 1248, 'CE': 0} seeds=1250 3869s
[1850/5000] {'OK': 561, 'TIGHT': 1289, 'CE': 0} seeds=1291 3973s
[1900/5000] {'OK': 574, 'TIGHT': 1326, 'CE': 0} seeds=1328 4088s
[1950/5000] {'OK': 589, 'TIGHT': 1361, 'CE': 0} seeds=1363 4194s
[2000/5000] {'OK': 604, 'TIGHT': 1396, 'CE': 0} seeds=1398 4302s
[2050/5000] {'OK': 625, 'TIGHT': 1425, 'CE': 0} seeds=1427 4394s
[2100/5000] {'OK': 646, 'TIGHT': 1454, 'CE': 0} seeds=1456 4489s
[2150/5000] {'OK': 658, 'TIGHT': 1492, 'CE': 0} seeds=1494 4586s
[2200/5000] {'OK': 669, 'TIGHT': 1531, 'CE': 0} seeds=1533 4704s
[2250/5000] {'OK': 686, 'TIGHT': 1564, 'CE': 0} seeds=1566 4798s
[2300/5000] {'OK': 706, 'TIGHT': 1594, 'CE': 0} seeds=1596 4894s
[2350/5000] {'OK': 715, 'TIGHT': 1635, 'CE': 0} seeds=1637 4994s
[2400/5000] {'OK': 736, 'TIGHT': 1664, 'CE': 0} seeds=1666 5080s
[2450/5000] {'OK': 749, 'TIGHT': 1701, 'CE': 0} seeds=1703 5189s
[2500/5000] {'OK': 769, 'TIGHT': 1731, 'CE': 0} seeds=1733 5291s
[2550/5000] {'OK': 789, 'TIGHT': 1761, 'CE': 0} seeds=1763 5384s
