[seen=500 cand=500] {'OK': 500, 'CE': 0} 164s
[seen=1000 cand=1000] {'OK': 1000, 'CE': 0} 295s
[seen=1500 cand=1500] {'OK': 1500, 'CE': 0} 408s
[seen=2000 cand=2000] {'OK': 2000, 'CE': 0} 503s
[seen=2500 cand=2500] {'OK': 2500, 'CE': 0} 603s
[seen=3000 cand=3000] {'OK': 3000, 'CE': 0} 698s
[seen=3500 cand=3500] {'OK': 3500, 'CE': 0} 819s
[seen=4000 cand=4000] {'OK': 4000, 'CE': 0} 914s
[seen=4500 cand=4500] {'OK': 4500, 'CE': 0} 1031s
[seen=5000 cand=5000] {'OK': 5000, 'CE': 0} 1191s
[seen=5500 cand=5500] {'OK': 5500, 'CE': 0} 1353s
[seen=6000 cand=6000] {'OK': 6000, 'CE': 0} 1504s
[seen=6500 cand=6500] {'OK': 6500, 'CE': 0} 1659s
[seen=7000 cand=7000] {'OK': 7000, 'CE': 0} 1818s
[seen=7500 cand=7500] {'OK': 7500, 'CE': 0} 1983s
[seen=8000 cand=8000] {'OK': 8000, 'CE': 0} 2146s
[seen=8500 cand=8500] {'OK': 8500, 'CE': 0} 2307s
[seen=9000 cand=9000] {'OK': 9000, 'CE': 0} 2468s
[seen=9500 cand=9500] {'OK': 9500, 'CE': 0} 2633s
[seen=10000 cand=10000] {'OK': 10000, 'CE': 0} 2789s
DONE band n=14 maxE=20 shard=3/7 seen=10421 cand=10421 {'OK': 10421, 'CE': 0} time=2912s
