[seen=115491 cand=500] {'OK': 500, 'CE': 0} 692s
[seen=271499 cand=1000] {'OK': 1000, 'CE': 0} 1337s
[seen=490814 cand=1500] {'OK': 1500, 'CE': 0} 1999s
[seen=679906 cand=2000] {'OK': 2000, 'CE': 0} 2724s
[seen=1179852 cand=2500] {'OK': 2500, 'CE': 0} 3355s
[seen=1807188 cand=3000] {'OK': 3000, 'CE': 0} 3985s
[seen=2833446 cand=3500] {'OK': 3500, 'CE': 0} 4574s
[seen=6223681 cand=4000] {'OK': 4000, 'CE': 0} 5264s
[seen=8011200 cand=4500] {'OK': 4500, 'CE': 0} 5956s
[seen=9530045 cand=5000] {'OK': 5000, 'CE': 0} 6568s
DONE band n=16 maxE=18 shard=1/4 seen=9793703 cand=5104 {'OK': 5104, 'CE': 0} time=6684s
