[seen=49983 cand=500] {'OK': 500, 'CE': 0} 739s
[seen=185780 cand=1000] {'OK': 1000, 'CE': 0} 1382s
[seen=474906 cand=1500] {'OK': 1500, 'CE': 0} 2043s
[seen=821040 cand=2000] {'OK': 2000, 'CE': 0} 2701s
[seen=1328936 cand=2500] {'OK': 2500, 'CE': 0} 3385s
[seen=1738894 cand=3000] {'OK': 3000, 'CE': 0} 4077s
[seen=2002089 cand=3500] {'OK': 3500, 'CE': 0} 4715s
[seen=2466169 cand=4000] {'OK': 4000, 'CE': 0} 5399s
[seen=3294221 cand=4500] {'OK': 4500, 'CE': 0} 6107s
[seen=3738068 cand=5000] {'OK': 5000, 'CE': 0} 6790s
[seen=4507596 cand=5500] {'OK': 5500, 'CE': 0} 7434s
[seen=5027021 cand=6000] {'OK': 6000, 'CE': 0} 8057s
[seen=5931559 cand=6500] {'OK': 6500, 'CE': 0} 8675s
[seen=6526952 cand=7000] {'OK': 7000, 'CE': 0} 9298s
[seen=7144455 cand=7500] {'OK': 7500, 'CE': 0} 9925s
[seen=7958748 cand=8000] {'OK': 8000, 'CE': 0} 10560s
[seen=10676009 cand=8500] {'OK': 8500, 'CE': 0} 11190s
DONE band n=16 maxE=18 shard=0/4 seen=11821046 cand=8882 {'OK': 8882, 'CE': 0} time=11667s
