n=16: 2854 dense candidates (shard 3/6)
[100/2854] {'OK': 0, 'TIGHT': 100, 'CE': 0} 636s
[200/2854] {'OK': 0, 'TIGHT': 200, 'CE': 0} 935s
[300/2854] {'OK': 0, 'TIGHT': 300, 'CE': 0} 1189s
[400/2854] {'OK': 0, 'TIGHT': 400, 'CE': 0} 1454s
[500/2854] {'OK': 0, 'TIGHT': 500, 'CE': 0} 1683s
[600/2854] {'OK': 0, 'TIGHT': 600, 'CE': 0} 1900s
[700/2854] {'OK': 0, 'TIGHT': 700, 'CE': 0} 2121s
[800/2854] {'OK': 0, 'TIGHT': 800, 'CE': 0} 2330s
[900/2854] {'OK': 0, 'TIGHT': 900, 'CE': 0} 2532s
[1000/2854] {'OK': 0, 'TIGHT': 1000, 'CE': 0} 2851s
[1100/2854] {'OK': 0, 'TIGHT': 1100, 'CE': 0} 3164s
[1200/2854] {'OK': 0, 'TIGHT': 1200, 'CE': 0} 3418s
[1300/2854] {'OK': 0, 'TIGHT': 1300, 'CE': 0} 3642s
[1400/2854] {'OK': 0, 'TIGHT': 1400, 'CE': 0} 3882s
[1500/2854] {'OK': 0, 'TIGHT': 1500, 'CE': 0} 4122s
[1600/2854] {'OK': 0, 'TIGHT': 1600, 'CE': 0} 4395s
[1700/2854] {'OK': 0, 'TIGHT': 1700, 'CE': 0} 4776s
[1800/2854] {'OK': 0, 'TIGHT': 1800, 'CE': 0} 5119s
[1900/2854] {'OK': 0, 'TIGHT': 1900, 'CE': 0} 5371s
[2000/2854] {'OK': 0, 'TIGHT': 2000, 'CE': 0} 5561s
[2100/2854] {'OK': 0, 'TIGHT': 2100, 'CE': 0} 5739s
[2200/2854] {'OK': 0, 'TIGHT': 2200, 'CE': 0} 5891s
[2300/2854] {'OK': 0, 'TIGHT': 2300, 'CE': 0} 6046s
[2400/2854] {'OK': 0, 'TIGHT': 2400, 'CE': 0} 6198s
[2500/2854] {'OK': 0, 'TIGHT': 2500, 'CE': 0} 6471s
[2600/2854] {'OK': 0, 'TIGHT': 2600, 'CE': 0} 6630s
[2700/2854] {'OK': 0, 'TIGHT': 2700, 'CE': 0} 6785s
[2800/2854] {'OK': 0, 'TIGHT': 2800, 'CE': 0} 6937s
DONE dense n=16 {'OK': 0, 'TIGHT': 2854, 'CE': 0} total=7028s
