n=16: 129 tight seeds
[50/8000] {'OK': 4, 'TIGHT': 46, 'CE': 0} seeds=175 55s
[100/8000] {'OK': 18, 'TIGHT': 82, 'CE': 0} seeds=211 95s
[150/8000] {'OK': 26, 'TIGHT': 124, 'CE': 0} seeds=253 145s
[200/8000] {'OK': 39, 'TIGHT': 161, 'CE': 0} seeds=290 187s
[250/8000] {'OK': 56, 'TIGHT': 194, 'CE': 0} seeds=323 232s
[300/8000] {'OK': 72, 'TIGHT': 228, 'CE': 0} seeds=357 295s
[350/8000] {'OK': 89, 'TIGHT': 261, 'CE': 0} seeds=390 367s
[400/8000] {'OK': 104, 'TIGHT': 296, 'CE': 0} seeds=425 435s
[450/8000] {'OK': 112, 'TIGHT': 338, 'CE': 0} seeds=467 514s
[500/8000] {'OK': 125, 'TIGHT': 375, 'CE': 0} seeds=504 593s
[550/8000] {'OK': 138, 'TIGHT': 412, 'CE': 0} seeds=541 667s
[600/8000] {'OK': 151, 'TIGHT': 449, 'CE': 0} seeds=578 731s
[650/8000] {'OK': 164, 'TIGHT': 486, 'CE': 0} seeds=615 796s
[700/8000] {'OK': 177, 'TIGHT': 523, 'CE': 0} seeds=652 851s
[750/8000] {'OK': 190, 'TIGHT': 560, 'CE': 0} seeds=689 903s
[800/8000] {'OK': 205, 'TIGHT': 595, 'CE': 0} seeds=724 954s
[850/8000] {'OK': 221, 'TIGHT': 629, 'CE': 0} seeds=758 1001s
[900/8000] {'OK': 236, 'TIGHT': 664, 'CE': 0} seeds=793 1056s
[950/8000] {'OK': 252, 'TIGHT': 698, 'CE': 0} seeds=827 1107s
[1000/8000] {'OK': 272, 'TIGHT': 728, 'CE': 0} seeds=857 1161s
[1050/8000] {'OK': 289, 'TIGHT': 761, 'CE': 0} seeds=890 1220s
[1100/8000] {'OK': 307, 'TIGHT': 793, 'CE': 0} seeds=922 1276s
[1150/8000] {'OK': 323, 'TIGHT': 827, 'CE': 0} seeds=956 1340s
[1200/8000] {'OK': 336, 'TIGHT': 864, 'CE': 0} seeds=993 1391s
[1250/8000] {'OK': 355, 'TIGHT': 895, 'CE': 0} seeds=1024 1444s
[1300/8000] {'OK': 368, 'TIGHT': 932, 'CE': 0} seeds=1061 1496s
[1350/8000] {'OK': 387, 'TIGHT': 963, 'CE': 0} seeds=1092 1552s
[1400/8000] {'OK': 405, 'TIGHT': 995, 'CE': 0} seeds=1124 1607s
[1450/8000] {'OK': 422, 'TIGHT': 1028, 'CE': 0} seeds=1157 1659s
[1500/8000] {'OK': 436, 'TIGHT': 1064, 'CE': 0} seeds=1193 1713s
[1550/8000] {'OK': 454, 'TIGHT': 1096, 'CE': 0} seeds=1225 1762s
[1600/8000] {'OK': 471, 'TIGHT': 1129, 'CE': 0} seeds=1258 1816s
[1650/8000] {'OK': 486, 'TIGHT': 1164, 'CE': 0} seeds=1293 1872s
[1700/8000] {'OK': 503, 'TIGHT': 1197, 'CE': 0} seeds=1326 1926s
[1750/8000] {'OK': 519, 'TIGHT': 1231, 'CE': 0} seeds=1360 1980s
[1800/8000] {'OK': 531, 'TIGHT': 1269, 'CE': 0} seeds=1398 2042s
[1850/8000] {'OK': 545, 'TIGHT': 1305, 'CE': 0} seeds=1434 2094s
[1900/8000] {'OK': 554, 'TIGHT': 1346, 'CE': 0} seeds=1475 2147s
[1950/8000] {'OK': 573, 'TIGHT': 1377, 'CE': 0} seeds=1506 2196s
[2000/8000] {'OK': 592, 'TIGHT': 1408, 'CE': 0} seeds=1537 2242s
[2050/8000] {'OK': 604, 'TIGHT': 1446, 'CE': 0} seeds=1575 2294s
[2100/8000] {'OK': 619, 'TIGHT': 1481, 'CE': 0} seeds=1610 2344s
[2150/8000] {'OK': 632, 'TIGHT': 1518, 'CE': 0} seeds=1647 2454s
[2200/8000] {'OK': 644, 'TIGHT': 1556, 'CE': 0} seeds=1685 2500s
[2250/8000] {'OK': 657, 'TIGHT': 1593, 'CE': 0} seeds=1722 2547s
[2300/8000] {'OK': 668, 'TIGHT': 1632, 'CE': 0} seeds=1761 2604s
[2350/8000] {'OK': 682, 'TIGHT': 1668, 'CE': 0} seeds=1797 2656s
[2400/8000] {'OK': 696, 'TIGHT': 1704, 'CE': 0} seeds=1833 2706s
[2450/8000] {'OK': 708, 'TIGHT': 1742, 'CE': 0} seeds=1871 2753s
[2500/8000] {'OK': 720, 'TIGHT': 1780, 'CE': 0} seeds=1909 2803s
[2550/8000] {'OK': 739, 'TIGHT': 1811, 'CE': 0} seeds=1940 2846s
[2600/8000] {'OK': 754, 'TIGHT': 1846, 'CE': 0} seeds=1975 2895s
[2650/8000] {'OK': 767, 'TIGHT': 1883, 'CE': 0} seeds=2012 2947s
[2700/8000] {'OK': 776, 'TIGHT': 1924, 'CE': 0} seeds=2053 2993s
[2750/8000] {'OK': 786, 'TIGHT': 1964, 'CE': 0} seeds=2093 3065s
[2800/8000] {'OK': 801, 'TIGHT': 1999, 'CE': 0} seeds=2128 3152s
[2850/8000] {'OK': 818, 'TIGHT': 2032, 'CE': 0} seeds=2161 3231s
[2900/8000] {'OK': 839, 'TIGHT': 2061, 'CE': 0} seeds=2190 3305s
[2950/8000] {'OK': 853, 'TIGHT': 2097, 'CE': 0} seeds=2226 3372s
[3000/8000] {'OK': 872, 'TIGHT': 2128, 'CE': 0} seeds=2257 3411s
[3050/8000] {'OK': 885, 'TIGHT': 2165, 'CE': 0} seeds=2294 3452s
[3100/8000] {'OK': 905, 'TIGHT': 2195, 'CE': 0} seeds=2324 3489s
[3150/8000] {'OK': 924, 'TIGHT': 2226, 'CE': 0} seeds=2355 3525s
[3200/8000] {'OK': 938, 'TIGHT': 2262, 'CE': 0} seeds=2391 3567s
[3250/8000] {'OK': 952, 'TIGHT': 2298, 'CE': 0} seeds=2427 3609s
[3300/8000] {'OK': 968, 'TIGHT': 2332, 'CE': 0} seeds=2461 3646s
[3350/8000] {'OK': 985, 'TIGHT': 2365, 'CE': 0} seeds=2494 3685s
[3400/8000] {'OK': 1002, 'TIGHT': 2398, 'CE': 0} seeds=2527 3723s
[3450/8000] {'OK': 1018, 'TIGHT': 2432, 'CE': 0} seeds=2561 3759s
[3500/8000] {'OK': 1044, 'TIGHT': 2456, 'CE': 0} seeds=2585 3796s
[3550/8000] {'OK': 1061, 'TIGHT': 2489, 'CE': 0} seeds=2618 3845s
[3600/8000] {'OK': 1075, 'TIGHT': 2525, 'CE': 0} seeds=2654 3906s
[3650/8000] {'OK': 1087, 'TIGHT': 2563, 'CE': 0} seeds=2692 3966s
[3700/8000] {'OK': 1100, 'TIGHT': 2600, 'CE': 0} seeds=2729 4030s
[3750/8000] {'OK': 1113, 'TIGHT': 2637, 'CE': 0} seeds=2766 4094s
[3800/8000] {'OK': 1128, 'TIGHT': 2672, 'CE': 0} seeds=2801 4153s
[3850/8000] {'OK': 1146, 'TIGHT': 2704, 'CE': 0} seeds=2833 4219s
[3900/8000] {'OK': 1158, 'TIGHT': 2742, 'CE': 0} seeds=2871 4282s
[3950/8000] {'OK': 1176, 'TIGHT': 2774, 'CE': 0} seeds=2903 4343s
[4000/8000] {'OK': 1188, 'TIGHT': 2812, 'CE': 0} seeds=2941 4414s
[4050/8000] {'OK': 1197, 'TIGHT': 2853, 'CE': 0} seeds=2982 4482s
[4100/8000] {'OK': 1216, 'TIGHT': 2884, 'CE': 0} seeds=3013 4545s
[4150/8000] {'OK': 1237, 'TIGHT': 2913, 'CE': 0} seeds=3042 4615s
[4200/8000] {'OK': 1252, 'TIGHT': 2948, 'CE': 0} seeds=3077 4677s
[4250/8000] {'OK': 1269, 'TIGHT': 2981, 'CE': 0} seeds=3110 4740s
[4300/8000] {'OK': 1286, 'TIGHT': 3014, 'CE': 0} seeds=3143 4808s
