n=17: 884 dense candidates (shard 0/1)
[100/884] {'OK': 21, 'TIGHT': 79, 'CE': 0} 709s
[200/884] {'OK': 25, 'TIGHT': 175, 'CE': 0} 1495s
[300/884] {'OK': 25, 'TIGHT': 275, 'CE': 0} 2224s
[400/884] {'OK': 25, 'TIGHT': 375, 'CE': 0} 3208s
[500/884] {'OK': 25, 'TIGHT': 475, 'CE': 0} 4126s
[600/884] {'OK': 25, 'TIGHT': 575, 'CE': 0} 4710s
[700/884] {'OK': 25, 'TIGHT': 675, 'CE': 0} 5138s
[800/884] {'OK': 25, 'TIGHT': 775, 'CE': 0} 5633s
DONE dense n=17 {'OK': 25, 'TIGHT': 859, 'CE': 0} total=5974s
